sn	zhel	zcmb	st	est	Mmax	eMmax	t0	EBVmw	eEBVmw	covMs	BV	eBV	covBV_M	ml	m	mu	host	dist	edist	caltype
SN2008bi	0.0134367	0.0143882	0.512	0.022	17.044	0.103	7.3	0.037	0.0037	5.169E-05	0.591	0.123	0.010609	10.27	10.38	10.48	-1.0	-1.0	-1.0	none
SN2008bq	0.0339767	0.0344433	1.153	0.009	16.711	0.007	-0.2	0.0774	0.0077	-2.175E-05	0.04	0.009	4.9E-05	10.74	10.82	10.91	-1.0	-1.0	-1.0	none
SN2008bt	0.0153533	0.0165796	0.498	0.008	16.757	0.01	-1.1	0.0445	0.0044	5.945E-06	0.508	0.013	0.0001	10.7	10.85	10.91	-1.0	-1.0	-1.0	none
SN2008bz	0.0602367	0.0613265	0.948	0.023	17.952	0.051	1.4	0.0226	0.0023	-3.339E-05	-0.044	0.064	0.002601	10.44	10.5	10.56	-1.0	-1.0	-1.0	none
SN2008cc	0.0103867	0.0101222	0.813	0.018	14.334	0.053	8.5	0.0355	0.0035	-2.788E-05	0.158	0.065	0.002809	10.4	10.48	10.64	-1.0	-1.0	-1.0	none
SN2008cd	0.0074067	0.0084623	1.08	0.144	18.809	0.115	9.3	0.0592	0.0059	-0.003924	1.662	0.136	0.013225	9.43	9.54	9.64	-1.0	-1.0	-1.0	none
SN2008cf	0.0459682	0.0468269	1.092	0.035	17.061	0.05	0.8	0.0577	0.0058	-6.784E-05	0.009	0.062	0.0025	8.59	8.73	8.97	-1.0	-1.0	-1.0	none
SN2008fl	0.0199	0.0194172	0.883	0.017	15.682	0.048	3.0	0.1569	0.0157	-8.998E-06	0.056	0.059	0.002304	10.87	10.94	11.01	-1.0	-1.0	-1.0	none
SN2008fp	0.00566	0.0062867	1.108	0.008	13.936	0.005	-5.5	0.1686	0.0169	1.326E-06	0.479	0.007	2.5E-05	10.15	10.2	10.63	-1.0	-1.0	-1.0	none
SN2008fr	0.0389733	0.0379062	1.035	0.023	16.826	0.055	7.6	0.0395	0.004	-3.986E-05	-0.014	0.069	0.003025	7.58	7.73	7.92	-1.0	-1.0	-1.0	none
SN2008fu	0.05237	0.0518336	0.822	0.024	17.742	0.072	6.8	0.018	0.0018	-0.0001104	-0.021	0.087	0.005184	10.66	10.72	10.8	-1.0	-1.0	-1.0	none
SN2008fw	0.0085433	0.0095066	1.117	0.023	13.992	0.052	9.1	0.1123	0.0112	-4.231E-05	0.076	0.065	0.002704	10.31	10.49	10.61	-1.0	-1.0	-1.0	none
SN2008gg	0.0319933	0.0310658	1.054	0.025	16.574	0.05	3.4	0.0195	0.002	-4.859E-05	0.149	0.063	0.0025	10.63	10.73	10.82	-1.0	-1.0	-1.0	none
SN2008gl	0.0339933	0.0329459	0.867	0.005	16.818	0.006	-2.9	0.0244	0.0024	4.414E-06	0.028	0.008	3.6E-05	10.81	10.86	10.92	-1.0	-1.0	-1.0	none
SN2008go	0.0623667	0.0613133	0.939	0.018	18.041	0.008	-0.5	0.032	0.0032	2.488E-06	0.04	0.01	6.4E-05	10.89	10.94	11.0	-1.0	-1.0	-1.0	none
SN2008gp	0.03339	0.0328233	0.979	0.004	16.431	0.008	-10.6	0.1042	0.0104	8.298E-06	-0.031	0.011	6.4E-05	10.64	10.73	10.79	-1.0	-1.0	-1.0	none
SN2008hj	0.0378667	0.0367224	1.008	0.005	16.783	0.005	-6.3	0.0303	0.003	9.609E-06	-0.008	0.007	2.5E-05	10.2	10.4	10.69	-1.0	-1.0	-1.0	none
SN2008hu	0.0496656	0.050526	0.827	0.023	17.848	0.056	0.2	0.0921	0.0092	-2.648E-05	0.021	0.07	0.003136	10.84	10.99	11.07	-1.0	-1.0	-1.0	none
SN2008hv	0.01254	0.01358	0.867	0.004	14.74	0.009	-10.7	0.0279	0.0028	9.466E-06	-0.047	0.011	8.1E-05	10.29	10.55	10.67	-1.0	-1.0	-1.0	none
SN2008ia	0.0219833	0.02254	0.834	0.006	15.88	0.011	-3.7	0.1954	0.0195	8.762E-06	-0.035	0.016	0.000121	10.54	10.77	11.23	-1.0	-1.0	-1.0	none
SN2009D	0.02499	0.024654	1.159	0.007	15.752	0.004	-6.5	0.0441	0.0044	-8.095E-07	-0.021	0.006	1.6E-05	10.35	10.43	10.5	-1.0	-1.0	-1.0	none
SN2009F	0.0129467	0.01291	0.386	0.007	16.91	0.019	-4.8	0.0895	0.0089	2.457E-05	0.551	0.025	0.000361	10.61	10.79	11.22	-1.0	-1.0	-1.0	none
SN2009I	0.02615	0.0254309	1.089	0.03	18.181	0.013	-3.6	0.0272	0.0027	-1.198E-05	0.651	0.017	0.000169	10.53	10.74	10.88	-1.0	-1.0	-1.0	none
SN2009P	0.0250867	0.0263202	1.08	0.042	17.023	0.017	-0.9	0.0415	0.0042	-0.0001906	0.406	0.021	0.000289	9.77	9.87	9.95	-1.0	-1.0	-1.0	none
SN2009Y	0.0093467	0.0101034	0.993	0.005	13.966	0.007	-6.9	0.0873	0.0087	9.033E-06	0.148	0.01	4.9E-05	10.66	10.76	10.95	-1.0	-1.0	-1.0	none
SN2009aa	0.02729	0.0284814	0.944	0.004	16.333	0.009	-8.9	0.0295	0.0029	8.65E-06	0.013	0.012	8.1E-05	10.1	10.6	10.8	-1.0	-1.0	-1.0	none
SN2009ab	0.0111633	0.0108624	0.903	0.006	14.713	0.008	-9.1	0.1838	0.0184	1.606E-05	0.035	0.011	6.4E-05	10.2	10.35	10.78	-1.0	-1.0	-1.0	none
SN2009ad	0.02838	0.0283174	1.107	0.014	16.203	0.008	-7.7	0.0953	0.0095	9.946E-06	0.032	0.011	6.4E-05	10.5	10.58	10.64	-1.0	-1.0	-1.0	none
