\begin{table}
\begin{tabular}{cccccccccccccc}
$Name$ & $z_{cmb}$ & $z_{zhel}$ & $B_{max}$ & $eB_{max}$ & $s_{BV}$ & $es_{BV}$ & $B-V$ & $eB-V$ & $cov_{ms}$ & $cov_{mbv}$ & $M_{host}$ & $Sample$ & $Subclass$ \\
SN2007bm & 0.0074 & 0.00621 & 15.294 & 0.017 & 0.906 & 0.006 & 0.421 & 0.01 & 0.0 & 0.0 & 10.27 & CSPI & Ia \\
SN2007ca & 0.0151 & 0.01406 & 16.526 & 0.02 & 1.077 & 0.012 & 0.26 & 0.0099 & 5e-05 & 0.0 & 9.69 & CSPI & Ia \\
SN2007cg & 0.0342 & 0.03317 & 19.204 & 0.146 & 1.069 & 0.053 & 0.688 & 0.09701 & -0.00129 & 0.0 & 10.37 & CSPI & Ia \\
SN2007hj & 0.0129 & 0.0141 & 16.44 & 0.012 & 0.636 & 0.005 & 0.216 & 0.00922 & -1e-05 & 0.0 & 10.45 & CSPI & Ia \\
SN2007hx & 0.0789 & 0.07976 & 19.729 & 0.141 & 1.017 & 0.03 & 0.217 & 0.07382 & -0.00018 & 0.0 & 10.55 & CSPI & Ia \\
SN2007jd & 0.0719 & 0.07258 & 19.847 & 0.18 & 0.893 & 0.035 & 0.095 & 0.07981 & -0.00042 & 0.0 & 10.13 & CSPI & Ia \\
SN2007jg & 0.0366 & 0.03711 & 18.09 & 0.015 & 0.94 & 0.006 & 0.03 & 0.01 & 1e-05 & 0.0 & 8.1 & CSPI & Ia \\
SN2007le & 0.0055 & 0.00672 & 14.689 & 0.012 & 1.019 & 0.004 & 0.292 & 0.0064 & 1e-05 & 0.0 & 9.85 & CSPI & Ia \\
SN2007nq & 0.0439 & 0.045 & 17.885 & 0.02 & 0.78 & 0.006 & 0.059 & 0.0114 & -1e-05 & 0.0 & 11.21 & CSPI & Ia \\
SN2007ol & 0.0549 & 0.05587 & 18.533 & 0.03 & 0.678 & 0.029 & -0.073 & 0.02907 & 3e-05 & 0.0 & 9.82 & CSPI & Ia \\
SN2007on & 0.0062 & 0.00649 & 13.629 & 0.012 & 0.588 & 0.003 & 0.116 & 0.01204 & 0.0 & 0.0 & 11.04 & CSPI & Ia \\
SN2007so & 0.0289 & 0.02967 & 16.512 & 0.162 & 0.923 & 0.009 & 0.012 & 0.07803 & 3e-05 & 0.0 & 10.97 & CSPI & Ia \\
SN2007st & 0.0207 & 0.02117 & 16.275 & 0.1 & 0.862 & 0.022 & 0.148 & 0.0836 & -0.00012 & 0.0 & 10.95 & CSPI & Ia \\
