\begin{table}
\begin{tabular}{cccccccccccccc}
$Name$ & $z_{cmb}$ & $z_{zhel}$ & $B_{max}$ & $eB_{max}$ & $s_{BV}$ & $es_{BV}$ & $B-V$ & $eB-V$ & $cov_{ms}$ & $cov_{mbv}$ & $M_{host}$ & $Sample$ & $Subclass$ \\
CSP13aay & 0.0588 & 0.05896 & 18.814 & 0.012 & 1.14 & 0.012 & 0.039 & 0.00922 & 2e-05 & 0.0 & 11.5 & CSPII & Ia \\
CSP13abl & 0.0406 & 0.04037 & 19.374 & 0.028 & 0.817 & 0.051 & 1.073 & 0.06265 & 0.00048 & 0.0 & 8.91 & CSPII & Ia \\
CSP13abm & 0.0275 & 0.02818 & 17.152 & 0.01 & 1.129 & 0.01 & -0.006 & 0.00849 & 2e-05 & 0.0 & 11.5 & CSPII & Ia \\
CSP13abs & 0.0783 & 0.07715 & 18.92 & 0.019 & 1.208 & 0.014 & -0.061 & 0.01628 & 4e-05 & 0.0 & 6.36 & CSPII & Ia-91T \\
CSP14aaq & 0.0362 & 0.03591 & 17.37 & 0.03 & 0.898 & 0.015 & -0.09 & 0.02052 & 6e-05 & 0.0 & 11.08 & CSPII & Ia \\
CSP14aar & 0.0424 & 0.04217 & 17.812 & 0.011 & 0.982 & 0.022 & -0.021 & 0.00721 & -2e-05 & 0.0 & 9.07 & CSPII & Ia \\
CSP14abk & 0.0797 & 0.07974 & 18.338 & 0.033 & 0.96 & 0.025 & 0.081 & 0.02832 & -6e-05 & 0.0 & 11.5 & CSPII & Ia \\
CSP14abn & 0.0233 & 0.0225 & 16.372 & 0.007 & 1.007 & 0.005 & -0.026 & 0.00424 & -1e-05 & 0.0 & 9.75 & CSPII & Ia \\
CSP14acl & 0.0289 & 0.02998 & 17.507 & 0.019 & 0.96 & 0.008 & -0.071 & 0.015 & -3e-05 & 0.0 & 11.5 & CSPII & Ia \\
CSP14acy & 0.066 & 0.06637 & 18.306 & 0.021 & 0.966 & 0.011 & 0.122 & 0.0178 & -5e-05 & 0.0 & 8.19 & CSPII & Ia-91T \\
CSP14adc & 0.0317 & 0.03244 & 17.462 & 0.015 & 0.811 & 0.01 & 0.232 & 0.0114 & 1e-05 & 0.0 & 10.81 & CSPII & Ia \\
CSP14ade & 0.0626 & 0.06246 & 18.454 & 0.017 & 1.228 & 0.013 & 0.035 & 0.01204 & 3e-05 & 0.0 & 10.49 & CSPII & Ia-91T \\
CSP15B & 0.0208 & 0.01989 & 16.444 & 0.011 & 0.718 & 0.006 & 0.14 & 0.01082 & -1e-05 & 0.0 & 10.95 & CSPII & Ia \\
CSP15aae & 0.017 & 0.01618 & 16.521 & 0.011 & 0.505 & 0.004 & 0.454 & 0.01063 & 1e-05 & 0.0 & 11.14 & CSPII & Ia-91bg \\
KISS13j & 0.0776 & 0.07653 & 19.364 & 0.026 & 0.895 & 0.026 & 0.132 & 0.02081 & -1e-05 & 0.0 & 9.83 & CSPII & Ia \\
KISS13l & 0.133 & 0.13201 & 20.29 & 0.09 & 1.087 & 0.115 & -0.038 & 0.09964 & -0.00096 & 0.0 & 8.69 & CSPII & Ia \\
KISS13v & 0.0962 & 0.0954 & 19.619 & 0.022 & 0.984 & 0.014 & 0.094 & 0.01769 & 3e-05 & 0.0 & 11.5 & CSPII & Ia \\
KISS15m & 0.0254 & 0.02432 & 17.743 & 0.031 & 0.425 & 0.009 & 0.622 & 0.03176 & 0.00016 & 0.0 & 9.78 & CSPII & Ia-91bg \\
KISS15n & 0.024 & 0.02308 & 16.055 & 0.015 & 1.225 & 0.009 & 0.097 & 0.01063 & 3e-05 & 0.0 & 8.0 & CSPII & Ia-91T \\
LSQ11bk & 0.04 & 0.04027 & 17.859 & 0.013 & 1.071 & 0.016 & -0.078 & 0.01063 & -2e-05 & 0.0 & 6.53 & CSPII & Ia \\
LSQ11ot & 0.0273 & 0.02732 & 17.732 & 0.008 & 0.982 & 0.004 & 0.32 & 0.0064 & -0.0 & 0.0 & 10.17 & CSPII & Ia \\
LSQ11pn & 0.0327 & 0.03265 & 17.563 & 0.018 & 0.503 & 0.008 & 0.287 & 0.01769 & 2e-05 & 0.0 & 10.7 & CSPII & Ia \\
LSQ12agq & 0.0654 & 0.06416 & 18.947 & 0.067 & 1.152 & 0.027 & 0.089 & 0.07301 & 9e-05 & 0.0 & 9.3 & CSPII & Ia \\
LSQ12aor & 0.0946 & 0.09334 & 19.813 & 0.023 & 0.923 & 0.018 & -0.069 & 0.0247 & -6e-05 & 0.0 & 9.85 & CSPII & Ia \\
LSQ12bld & 0.0843 & 0.08336 & 19.477 & 0.012 & 0.896 & 0.009 & 0.078 & 0.01442 & 3e-05 & 0.0 & 10.55 & CSPII & Ia \\
LSQ12btn & 0.0553 & 0.05417 & 18.662 & 0.015 & 0.829 & 0.01 & 0.1 & 0.01063 & -3e-05 & 0.0 & 10.9 & CSPII & Ia \\
LSQ12ca & 0.0995 & 0.0994 & 19.681 & 0.076 & 0.947 & 0.032 & -0.05 & 0.0728 & -0.00024 & 0.0 & 10.44 & CSPII & Ia \\
LSQ12cda & 0.1384 & 0.13749 & 20.552 & 0.11 & 0.813 & 0.126 & 0.045 & 0.12657 & -0.00529 & 0.0 & 9.82 & CSPII & Ia \\
LSQ12cdl & 0.109 & 0.10793 & 19.848 & 0.074 & 0.994 & 0.044 & -0.141 & 0.0728 & -0.0003 & 0.0 & 8.81 & CSPII & Ia \\
LSQ12fuk & 0.0206 & 0.02059 & 16.336 & 0.01 & 1.004 & 0.006 & -0.008 & 0.01204 & -2e-05 & 0.0 & 8.34 & CSPII & Ia \\
LSQ12fvl & 0.056 & 0.05593 & 18.895 & 0.017 & 0.596 & 0.009 & 0.246 & 0.01703 & -3e-05 & 0.0 & 10.74 & CSPII & Ia \\
LSQ12fxd & 0.0313 & 0.03122 & 16.968 & 0.008 & 1.16 & 0.006 & -0.006 & 0.00566 & 1e-05 & 0.0 & 10.28 & CSPII & Ia \\
LSQ12gdj & 0.0293 & 0.0303 & 16.669 & 0.009 & 1.165 & 0.007 & -0.031 & 0.00707 & 1e-05 & 0.0 & 8.66 & CSPII & Ia-91T \\
LSQ12gef & 0.0632 & 0.06416 & 19.003 & 0.066 & 1.176 & 0.033 & 0.269 & 0.0658 & 0.00012 & 0.0 & 11.5 & CSPII & Ia \\
LSQ12gln & 0.1022 & 0.10203 & 19.801 & 0.01 & 1.109 & 0.014 & -0.066 & 0.00781 & 2e-05 & 0.0 & 8.75 & CSPII & Ia \\
LSQ12gxj & 0.0346 & 0.0353 & 18.163 & 0.007 & 1.092 & 0.01 & 0.264 & 0.00566 & 1e-05 & 0.0 & 9.18 & CSPII & Ia \\
LSQ12gyc & 0.0925 & 0.09314 & 19.564 & 0.015 & 1.148 & 0.028 & -0.046 & 0.01082 & 5e-05 & 0.0 & 11.5 & CSPII & Ia \\
LSQ12gzm & 0.0994 & 0.09993 & 19.991 & 0.016 & 1.143 & 0.026 & 0.03 & 0.01421 & 2e-05 & 0.0 & 11.5 & CSPII & Ia \\
LSQ12hjm & 0.0708 & 0.07135 & 18.982 & 0.007 & 0.962 & 0.005 & -0.068 & 0.00566 & 0.0 & 0.0 & 10.09 & CSPII & Ia \\
LSQ12hno & 0.0468 & 0.04727 & 18.43 & 0.015 & 0.989 & 0.014 & 0.049 & 0.01 & -5e-05 & 0.0 & 7.7 & CSPII & Ia \\
LSQ12hnr & 0.1255 & 0.1243 & 20.331 & 0.076 & 1.095 & 0.07 & 0.006 & 0.07684 & -0.00024 & 0.0 & 8.05 & CSPII & Ia \\
LSQ12hvj & 0.0724 & 0.07125 & 19.062 & 0.015 & 1.167 & 0.015 & 0.081 & 0.0099 & 6e-05 & 0.0 & 9.05 & CSPII & Ia \\
LSQ12hxx & 0.0689 & 0.06936 & 18.893 & 0.021 & 1.19 & 0.024 & 0.078 & 0.0164 & 0.00015 & 0.0 & 10.45 & CSPII & Ia \\
LSQ12hzj & 0.0346 & 0.0334 & 17.277 & 0.009 & 0.969 & 0.004 & -0.069 & 0.00707 & -0.0 & 0.0 & 9.35 & CSPII & Ia \\
LSQ12hzs & 0.0718 & 0.07208 & 19.226 & 0.013 & 1.02 & 0.018 & 0.1 & 0.01063 & 2e-05 & 0.0 & 10.02 & CSPII & Ia \\
LSQ13abo & 0.0681 & 0.06745 & 19.158 & 0.023 & 0.88 & 0.019 & 0.207 & 0.02778 & 0.00014 & 0.0 & 10.31 & CSPII & Ia \\
LSQ13aiz & 0.0102 & 0.0092 & 14.244 & 0.018 & 0.964 & 0.006 & 0.08 & 0.0086 & 1e-05 & 0.0 & 8.24 & CSPII & Ia \\
LSQ13cwp & 0.0662 & 0.0666 & 18.948 & 0.025 & 0.944 & 0.017 & 0.088 & 0.0228 & 3e-05 & 0.0 & 10.54 & CSPII & Ia \\
LSQ13dby & 0.0996 & 0.09993 & 19.928 & 0.012 & 1.139 & 0.014 & -0.04 & 0.01063 & 2e-05 & 0.0 & 11.5 & CSPII & Ia \\
LSQ13dcy & 0.0801 & 0.0801 & 19.487 & 0.019 & 0.94 & 0.025 & 0.116 & 0.0191 & -7e-05 & 0.0 & 9.18 & CSPII & Ia \\
LSQ13dhj & 0.0929 & 0.0935 & 19.704 & 0.02 & 1.167 & 0.019 & 0.06 & 0.0191 & 0.0001 & 0.0 & 8.63 & CSPII & Ia \\
LSQ13dkp & 0.0685 & 0.06894 & 19.175 & 0.016 & 0.646 & 0.009 & 0.01 & 0.01345 & -3e-05 & 0.0 & 10.8 & CSPII & Ia \\
LSQ13dpm & 0.0521 & 0.05086 & 18.369 & 0.007 & 1.054 & 0.009 & -0.01 & 0.005 & -0.0 & 0.0 & 9.17 & CSPII & Ia \\
LSQ13dqh & 0.1035 & 0.1038 & 19.902 & 0.017 & 1.19 & 0.022 & -0.031 & 0.01703 & 8e-05 & 0.0 & 11.5 & CSPII & Ia \\
LSQ13dsm & 0.042 & 0.04237 & 17.845 & 0.01 & 0.909 & 0.004 & -0.016 & 0.00781 & 0.0 & 0.0 & 9.01 & CSPII & Ia \\
LSQ13lq & 0.0765 & 0.07555 & 18.889 & 0.007 & 1.069 & 0.026 & -0.071 & 0.00566 & 0.0 & 0.0 & 8.44 & CSPII & Ia \\
LSQ13pf & 0.087 & 0.08604 & 19.684 & 0.072 & 0.915 & 0.039 & 0.233 & 0.07301 & -0.00012 & 0.0 & 10.26 & CSPII & Ia-91T \\
LSQ13ry & 0.031 & 0.02984 & 17.253 & 0.014 & 0.881 & 0.006 & -0.048 & 0.0114 & 1e-05 & 0.0 & 9.64 & CSPII & Ia \\
LSQ13vy & 0.0421 & 0.04177 & 18.124 & 0.011 & 0.891 & 0.005 & 0.076 & 0.00781 & 1e-05 & 0.0 & 10.17 & CSPII & Ia \\
LSQ14act & 0.0595 & 0.05905 & 18.866 & 0.013 & 0.691 & 0.007 & 0.003 & 0.0099 & -3e-05 & 0.0 & 10.17 & CSPII & Ia \\
LSQ14age & 0.0816 & 0.08054 & 19.314 & 0.013 & 1.115 & 0.014 & -0.009 & 0.01281 & 4e-05 & 0.0 & 8.42 & CSPII & Ia \\
LSQ14ahc & 0.0518 & 0.05086 & 18.054 & 0.011 & 1.222 & 0.01 & -0.029 & 0.01063 & 1e-05 & 0.0 & 9.13 & CSPII & Ia \\
LSQ14ahm & 0.051 & 0.04977 & 18.115 & 0.012 & 1.156 & 0.009 & -0.051 & 0.01063 & 2e-05 & 0.0 & 8.2 & CSPII & Ia \\
LSQ14ajn & 0.0222 & 0.02101 & 16.655 & 0.01 & 0.654 & 0.004 & 0.075 & 0.00922 & -2e-05 & 0.0 & 10.11 & CSPII & Ia \\
LSQ14asu & 0.0696 & 0.0684 & 19.37 & 0.013 & 0.767 & 0.013 & 0.004 & 0.0114 & -2e-05 & 0.0 & 10.67 & CSPII & Ia \\
LSQ14auy & 0.0832 & 0.08241 & 19.385 & 0.015 & 1.147 & 0.017 & -0.012 & 0.01273 & 5e-05 & 0.0 & 10.74 & CSPII & Ia \\
LSQ14azy & 0.0469 & 0.04576 & 18.172 & 0.063 & 1.134 & 0.026 & 0.073 & 0.06661 & 2e-05 & 0.0 & 9.94 & CSPII & Ia \\
LSQ14ba & 0.0788 & 0.07755 & 19.323 & 0.012 & 0.958 & 0.006 & 0.035 & 0.01345 & 0.0 & 0.0 & 9.47 & CSPII & Ia \\
LSQ14bbv & 0.0584 & 0.05876 & 18.599 & 0.009 & 1.039 & 0.011 & 0.008 & 0.00707 & -2e-05 & 0.0 & 11.02 & CSPII & Ia \\
LSQ14bjj & 0.082 & 0.08114 & 19.25 & 0.011 & 1.01 & 0.009 & -0.075 & 0.0086 & -2e-05 & 0.0 & 8.46 & CSPII & Ia \\
LSQ14fms & 0.0773 & 0.07795 & 19.32 & 0.018 & 0.848 & 0.015 & 0.171 & 0.01628 & -4e-05 & 0.0 & 10.11 & CSPII & Ia \\
