\begin{table}
\begin{tabular}{cccccccccccccc}
$Name$ & $z_{cmb}$ & $z_{zhel}$ & $B_{max}$ & $eB_{max}$ & $s_{BV}$ & $es_{BV}$ & $B-V$ & $eB-V$ & $cov_{ms}$ & $cov_{mbv}$ & $M_{host}$ & $Sample$ & $Subclass$ \\
SN2005kc & 0.0139 & 0.01511 & 15.473 & 0.007 & 0.932 & 0.006 & 0.238 & 0.01063 & 1e-05 & 0.0 & 11.06 & CSPI & Ia \\
SN2005ke & 0.0045 & 0.00488 & 14.436 & 0.009 & 0.438 & 0.003 & 0.67 & 0.01204 & 0.0 & 0.0 & 10.43 & CSPI & Ia-91bg \\
SN2005ki & 0.0204 & 0.01919 & 15.54 & 0.005 & 0.839 & 0.003 & -0.018 & 0.00707 & 0.0 & 0.0 & 10.8 & CSPI & Ia \\
SN2005ku & 0.0442 & 0.04541 & 17.526 & 0.039 & 0.969 & 0.034 & 0.093 & 0.0778 & -5e-05 & 0.0 & 10.04 & CSPI & Ia \\
SN2005lu & 0.0313 & 0.03199 & 17.097 & 0.034 & 1.063 & 0.03 & 0.247 & 0.07201 & -2e-05 & 0.0 & 9.86 & CSPI & Ia \\
SN2005mc & 0.026 & 0.0252 & 17.06 & 0.033 & 0.664 & 0.02 & 0.314 & 0.06742 & -3e-05 & 0.0 & 10.95 & CSPI & Ia \\
SN2005na & 0.0268 & 0.0263 & 15.961 & 0.006 & 0.971 & 0.018 & -0.02 & 0.00781 & 0.0 & 0.0 & 10.97 & CSPI & Ia \\
SN2006X & 0.0063 & 0.00524 & 14.68 & 0.008 & 0.971 & 0.004 & 1.214 & 0.01131 & 1e-05 & 0.0 & 9.33 & CSPI & Ia \\
SN2006ax & 0.018 & 0.01673 & 15.01 & 0.007 & 1.003 & 0.004 & -0.072 & 0.00781 & 1e-05 & 0.0 & 10.92 & CSPI & Ia \\
SN2006bd & 0.0268 & 0.02571 & 18.444 & 0.025 & 0.398 & 0.009 & 0.712 & 0.03912 & 6e-05 & 0.0 & 10.77 & CSPI & Ia-91bg \\
SN2006br & 0.0255 & 0.02457 & 18.504 & 0.035 & 0.962 & 0.032 & 0.849 & 0.09626 & 1e-05 & 0.0 & 10.97 & CSPI & Ia \\
SN2006ef & 0.017 & 0.01787 & 15.383 & 0.042 & 0.857 & 0.02 & -0.024 & 0.08071 & -3e-05 & 0.0 & 10.35 & CSPI & Ia \\
SN2006ej & 0.0193 & 0.02044 & 15.688 & 0.026 & 0.842 & 0.018 & 0.029 & 0.06022 & -1e-05 & 0.0 & 10.63 & CSPI & Ia \\
SN2006eq & 0.0484 & 0.04947 & 18.402 & 0.039 & 0.649 & 0.023 & 0.31 & 0.07742 & -3e-05 & 0.0 & 10.19 & CSPI & Ia \\
SN2006et & 0.0216 & 0.02216 & 15.882 & 0.006 & 1.18 & 0.006 & 0.141 & 0.00781 & 0.0 & 0.0 & 10.8 & CSPI & Ia \\
SN2006ev & 0.0276 & 0.02871 & 17.043 & 0.034 & 0.843 & 0.021 & 0.175 & 0.07021 & -1e-05 & 0.0 & 10.75 & CSPI & Ia \\
SN2006fw & 0.082 & 0.08294 & 18.845 & 0.048 & 0.922 & 0.045 & 0.104 & 0.06155 & 0.00063 & 0.0 & 9.42 & CSPI & Ia \\
SN2006gj & 0.027 & 0.02833 & 17.5 & 0.008 & 0.708 & 0.007 & 0.298 & 0.01204 & 0.0 & 0.0 & 10.53 & CSPI & Ia \\
SN2006gt & 0.0436 & 0.04474 & 18.053 & 0.011 & 0.575 & 0.01 & 0.249 & 0.01628 & 2e-05 & 0.0 & 9.93 & CSPI & Ia-91bg \\
SN2006hb & 0.0153 & 0.01533 & 15.426 & 0.031 & 0.685 & 0.018 & 0.185 & 0.06603 & -2e-05 & 0.0 & 10.22 & CSPI & Ia-86G \\
SN2006hx & 0.0444 & 0.04546 & 17.474 & 0.028 & 0.977 & 0.012 & 0.116 & 0.03538 & 0.00014 & 0.0 & 10.31 & CSPI & Ia \\
SN2006is & 0.0314 & 0.03133 & 16.107 & 0.034 & 1.092 & 0.037 & 0.039 & 0.0672 & -5e-05 & 0.0 & 7.1 & CSPI & Ia \\
SN2006kf & 0.0208 & 0.02129 & 15.922 & 0.006 & 0.771 & 0.005 & 0.026 & 0.00922 & 1e-05 & 0.0 & 10.82 & CSPI & Ia \\
SN2006lu & 0.0544 & 0.05337 & 17.503 & 0.031 & 1.002 & 0.019 & -0.018 & 0.0658 & -1e-05 & 0.0 & 10.29 & CSPI & Ia \\
SN2006mr & 0.0055 & 0.00587 & 14.968 & 0.019 & 0.335 & 0.004 & 0.731 & 0.02759 & 1e-05 & 0.0 & 11.19 & CSPI & Ia-91bg \\
SN2006ob & 0.0583 & 0.0592 & 18.177 & 0.01 & 0.743 & 0.009 & 0.111 & 0.01487 & 2e-05 & 0.0 & 11.26 & CSPI & Ia \\
SN2006os & 0.0321 & 0.03279 & 17.449 & 0.03 & 0.944 & 0.02 & 0.317 & 0.065 & -1e-05 & 0.0 & 10.81 & CSPI & Ia \\
SN2006py & 0.0566 & 0.05786 & 17.827 & 0.012 & 0.975 & 0.018 & 0.077 & 0.02062 & 2e-05 & 0.0 & 9.1 & CSPI & Ia \\
SN2007N & 0.014 & 0.01287 & 17.538 & 0.017 & 0.375 & 0.006 & 0.953 & 0.0236 & 2e-05 & 0.0 & 10.19 & CSPI & Ia-91bg \\
SN2007S & 0.015 & 0.01387 & 15.583 & 0.007 & 1.187 & 0.007 & 0.366 & 0.01082 & 1e-05 & 0.0 & 9.98 & CSPI & Ia-91T \\
SN2007ai & 0.032 & 0.03164 & 16.932 & 0.031 & 1.195 & 0.015 & 0.182 & 0.0136 & -2e-05 & 0.0 & 9.91 & CSPI & Ia-91T \\
SN2007al & 0.0133 & 0.01211 & 16.955 & 0.02 & 0.385 & 0.006 & 0.7 & 0.025 & 2e-05 & 0.0 & 9.47 & CSPI & Ia-91bg \\
SN2007as & 0.0179 & 0.01756 & 15.417 & 0.006 & 0.89 & 0.004 & 0.08 & 0.0086 & 0.0 & 0.0 & 10.36 & CSPI & Ia \\
SN2007ax & 0.0076 & 0.00686 & 15.849 & 0.018 & 0.404 & 0.008 & 0.689 & 0.02561 & 6e-05 & 0.0 & 10.23 & CSPI & Ia-91bg \\
SN2007ba & 0.0391 & 0.03849 & 17.556 & 0.014 & 0.556 & 0.008 & 0.328 & 0.01921 & 3e-05 & 0.0 & 10.99 & CSPI & Ia-91bg \\
SN2007bc & 0.0218 & 0.02076 & 15.81 & 0.006 & 0.909 & 0.005 & 0.033 & 0.0086 & 0.0 & 0.0 & 10.73 & CSPI & Ia \\
SN2007bd & 0.0318 & 0.031 & 16.507 & 0.012 & 0.917 & 0.006 & -0.001 & 0.01562 & 3e-05 & 0.0 & 10.82 & CSPI & Ia \\
SN2007bm & 0.0074 & 0.00621 & 14.209 & 0.028 & 0.906 & 0.006 & 0.421 & 0.01 & 0.0 & 0.0 & 10.27 & CSPI & Ia \\
SN2007ca & 0.0151 & 0.01406 & 15.752 & 0.007 & 1.077 & 0.012 & 0.26 & 0.0099 & 2e-05 & 0.0 & 9.69 & CSPI & Ia \\
SN2007cg & 0.0342 & 0.03317 & 17.806 & 0.047 & 1.069 & 0.053 & 0.688 & 0.09701 & -0.00029 & 0.0 & 10.37 & CSPI & Ia \\
SN2007hj & 0.0129 & 0.0141 & 15.488 & 0.007 & 0.636 & 0.005 & 0.216 & 0.00922 & 0.0 & 0.0 & 10.45 & CSPI & Ia \\
SN2007hx & 0.0789 & 0.07976 & 19.104 & 0.036 & 1.017 & 0.03 & 0.217 & 0.07382 & -2e-05 & 0.0 & 10.55 & CSPI & Ia \\
SN2007jd & 0.0719 & 0.07258 & 18.794 & 0.038 & 0.893 & 0.035 & 0.095 & 0.07981 & -9e-05 & 0.0 & 10.13 & CSPI & Ia \\
SN2007jg & 0.0366 & 0.03711 & 17.214 & 0.007 & 0.94 & 0.006 & 0.03 & 0.01 & 1e-05 & 0.0 & 8.1 & CSPI & Ia \\
SN2007jh & 0.0403 & 0.04077 & 18.146 & 0.016 & 0.6 & 0.015 & 0.272 & 0.02625 & 0.0001 & 0.0 & 10.99 & CSPI & Ia-86G \\
SN2007le & 0.0055 & 0.00672 & 13.74 & 0.005 & 1.019 & 0.004 & 0.292 & 0.0064 & 1e-05 & 0.0 & 9.85 & CSPI & Ia \\
SN2007mm & 0.0689 & 0.06635 & 19.444 & 0.02 & 0.506 & 0.016 & 0.406 & 0.0372 & 7e-05 & 0.0 & 11.36 & CSPI & Ia-86G \\
SN2007nq & 0.0439 & 0.045 & 17.349 & 0.008 & 0.78 & 0.006 & 0.059 & 0.0114 & 0.0 & 0.0 & 11.21 & CSPI & Ia \\
SN2007ol & 0.0549 & 0.05587 & 17.971 & 0.021 & 0.678 & 0.029 & -0.073 & 0.02907 & 0.00025 & 0.0 & 9.82 & CSPI & Ia \\
