\begin{table}
\begin{tabular}{cccccccccccccc}
$Name$ & $z_{cmb}$ & $z_{zhel}$ & $B_{max}$ & $eB_{max}$ & $s_{BV}$ & $es_{BV}$ & $B-V$ & $eB-V$ & $cov_{ms}$ & $cov_{mbv}$ & $M_{host}$ & $Sample$ & $Subclass$ \\
SN2006hx & 0.0444 & 0.04546 & 17.929 & 0.055 & 0.977 & 0.012 & 0.116 & 0.03538 & -3e-05 & 0.0 & 10.31 & CSPI & Ia \\
SN2006is & 0.0314 & 0.03133 & 17.219 & 0.049 & 1.092 & 0.037 & 0.039 & 0.0672 & 0.00011 & 0.0 & 7.1 & CSPI & Ia \\
SN2006kf & 0.0208 & 0.02129 & 16.371 & 0.017 & 0.771 & 0.005 & 0.026 & 0.00922 & -0.0 & 0.0 & 10.82 & CSPI & Ia \\
SN2006mr & 0.0055 & 0.00587 & 13.866 & 0.033 & 0.335 & 0.004 & 0.731 & 0.02759 & 3e-05 & 0.0 & 11.19 & CSPI & Ia-91bg \\
SN2006ob & 0.0583 & 0.0592 & 18.64 & 0.088 & 0.743 & 0.009 & 0.111 & 0.01487 & -4e-05 & 0.0 & 11.26 & CSPI & Ia \\
SN2006os & 0.0321 & 0.03279 & 17.287 & 0.06 & 0.944 & 0.02 & 0.317 & 0.065 & 1e-05 & 0.0 & 10.81 & CSPI & Ia \\
SN2007N & 0.014 & 0.01287 & 16.308 & 0.045 & 0.375 & 0.006 & 0.953 & 0.0236 & 2e-05 & 0.0 & 10.19 & CSPI & Ia-91bg \\
SN2007S & 0.015 & 0.01387 & 15.516 & 0.009 & 1.187 & 0.007 & 0.366 & 0.01082 & -1e-05 & 0.0 & 9.98 & CSPI & Ia-91T \\
SN2007ai & 0.032 & 0.03164 & 17.146 & 0.028 & 1.195 & 0.015 & 0.182 & 0.0136 & -4e-05 & 0.0 & 9.91 & CSPI & Ia-91T \\
SN2007al & 0.0133 & 0.01211 & 15.921 & 0.053 & 0.385 & 0.006 & 0.7 & 0.025 & 6e-05 & 0.0 & 9.47 & CSPI & Ia-91bg \\
SN2007as & 0.0179 & 0.01756 & 16.075 & 0.017 & 0.89 & 0.004 & 0.08 & 0.0086 & 2e-05 & 0.0 & 10.36 & CSPI & Ia \\
SN2007ax & 0.0076 & 0.00686 & 15.092 & 0.05 & 0.404 & 0.008 & 0.689 & 0.02561 & 7e-05 & 0.0 & 10.23 & CSPI & Ia-91bg \\
SN2007ba & 0.0391 & 0.03849 & 17.618 & 0.073 & 0.556 & 0.008 & 0.328 & 0.01921 & 0.0 & 0.0 & 10.99 & CSPI & Ia-91bg \\
SN2007bc & 0.0218 & 0.02076 & 16.471 & 0.028 & 0.909 & 0.005 & 0.033 & 0.0086 & 2e-05 & 0.0 & 10.73 & CSPI & Ia \\
SN2007bd & 0.0318 & 0.031 & 17.374 & 0.042 & 0.917 & 0.006 & -0.001 & 0.01562 & -2e-05 & 0.0 & 10.82 & CSPI & Ia \\
SN2007bm & 0.0074 & 0.00621 & 13.994 & 0.013 & 0.906 & 0.006 & 0.421 & 0.01 & 2e-05 & 0.0 & 10.27 & CSPI & Ia \\
SN2007ca & 0.0151 & 0.01406 & 15.723 & 0.016 & 1.077 & 0.012 & 0.26 & 0.0099 & 0.0 & 0.0 & 9.69 & CSPI & Ia \\
SN2007hj & 0.0129 & 0.0141 & 15.705 & 0.034 & 0.636 & 0.005 & 0.216 & 0.00922 & -2e-05 & 0.0 & 10.45 & CSPI & Ia \\
SN2007jg & 0.0366 & 0.03711 & 17.575 & 0.043 & 0.94 & 0.006 & 0.03 & 0.01 & -1e-05 & 0.0 & 8.1 & CSPI & Ia \\
SN2007le & 0.0055 & 0.00672 & 13.955 & 0.008 & 1.019 & 0.004 & 0.292 & 0.0064 & 1e-05 & 0.0 & 9.85 & CSPI & Ia \\
SN2007nq & 0.0439 & 0.045 & 17.705 & 0.067 & 0.78 & 0.006 & 0.059 & 0.0114 & 9e-05 & 0.0 & 11.21 & CSPI & Ia \\
SN2007on & 0.0062 & 0.00649 & 13.264 & 0.013 & 0.588 & 0.003 & 0.116 & 0.01204 & -0.0 & 0.0 & 11.04 & CSPI & Ia \\
SN2007so & 0.0289 & 0.02967 & 16.639 & 0.06 & 0.923 & 0.009 & 0.012 & 0.07803 & 0.00013 & 0.0 & 10.97 & CSPI & Ia \\
SN2007st & 0.0207 & 0.02117 & 16.259 & 0.056 & 0.862 & 0.022 & 0.148 & 0.0836 & 0.00013 & 0.0 & 10.95 & CSPI & Ia \\
SN2007ux & 0.032 & 0.03089 & 17.502 & 0.022 & 0.624 & 0.006 & 0.213 & 0.01 & -6e-05 & 0.0 & 10.3 & CSPI & Ia-86G \\
SN2008C & 0.0171 & 0.01661 & 16.063 & 0.043 & 0.969 & 0.024 & 0.165 & 0.0744 & 6e-05 & 0.0 & 10.49 & CSPI & Ia \\
SN2008O & 0.0393 & 0.03883 & 17.922 & 0.049 & 0.683 & 0.01 & 0.314 & 0.0164 & -0.00012 & 0.0 & 11.33 & CSPI & Ia \\
SN2008R & 0.0129 & 0.01349 & 15.478 & 0.044 & 0.633 & 0.006 & 0.12 & 0.01063 & -4e-05 & 0.0 & 11.25 & CSPI & Ia \\
SN2008ar & 0.0272 & 0.02613 & 16.862 & 0.031 & 0.975 & 0.004 & 0.009 & 0.0114 & 0.0 & 0.0 & 10.21 & CSPI & Ia \\
SN2008bc & 0.0157 & 0.01508 & 15.729 & 0.011 & 1.058 & 0.005 & -0.028 & 0.00566 & 2e-05 & 0.0 & 10.1 & CSPI & Ia \\
