sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
SN2006mr,-0.16838448290555874,0.49371888129939395,0.00551,0.333,0.728,11.19,10.79,11.38,CSPI,none
SN2006ob,-0.16057329027106704,0.18192793209900252,0.0582567,0.739,0.124,11.26,11.08,11.33,CSPI,none
SN2006os,-0.023256990337834793,0.18206067415843605,0.03208,0.941,0.318,10.81,10.66,10.87,CSPI,none
SN2007A,0.19439646553831835,0.21972663919055782,0.0164633,1.05,0.202,10.57,10.57,10.57,CSPI,none
SN2007N,0.1427272887837958,0.2438991715503791,0.014,0.376,0.953,10.19,10.1,10.57,CSPI,none
SN2007S,-0.07930907565746281,0.23072546291737872,0.0150233,1.186,0.366,9.98,9.63,10.16,CSPI,none
SN2007af,0.1443692130000045,0.050572831491458976,0.00629,0.949,0.065,9.82,9.69,9.87,CSPI,c
SN2007ai,-0.0965008034240995,0.17484566405496196,0.0319867,1.223,0.183,9.91,9.76,10.18,CSPI,none
SN2007al,0.03589953552333469,0.254404207544739,0.0132629,0.383,0.693,9.47,9.33,9.91,CSPI,none
SN2007as,0.060248436480847545,0.20893601679360277,0.0178967,0.889,0.08,10.36,10.24,10.43,CSPI,none
SN2007ax,0.31179250938354386,0.3802003175110192,0.0076367,0.353,0.682,10.23,10.13,10.29,CSPI,none
SN2007ba,-0.3912839576889482,0.17982564751346397,0.0390533,0.568,0.327,10.99,10.9,11.06,CSPI,none
SN2007bc,0.058568895512017605,0.19304098227956054,0.02185,0.907,0.033,10.73,10.65,10.78,CSPI,none
SN2007bd,0.1455827684817379,0.17647132032388027,0.0318267,0.917,-0.001,10.82,10.68,10.89,CSPI,none
SN2007bm,-0.1763650901685665,0.3796923714777812,0.00744,0.906,0.421,10.27,10.09,10.72,CSPI,none
SN2007ca,0.09027721365495012,0.22851977236575888,0.01507,1.078,0.26,9.69,9.52,9.74,CSPI,none
SN2007hj,0.22495911306155847,0.25561315799958395,0.0128818,0.633,0.215,10.45,10.3,10.89,CSPI,none
SN2007jg,-0.055276406379682896,0.1721019646376944,0.0365767,0.939,0.028,8.1,7.95,8.22,CSPI,none
SN2007le,0.5014178321072542,0.490381932077912,0.0055233,1.02,0.292,9.85,9.71,10.16,CSPI,none
SN2007nq,-0.39101415819475704,0.17448564195857566,0.0439033,0.769,0.056,11.21,11.15,11.28,CSPI,none
SN2007on,-0.617108232895248,0.44531994375038025,0.0061833,0.589,0.115,11.04,10.78,11.45,CSPI,none
SN2007so,-0.36233262886042894,0.18639219352847455,0.0289285,0.925,0.014,10.97,10.89,11.07,CSPI,none
SN2007sr,0.4058649729999999,0.10557985244356731,0.0066557,0.989,0.159,10.05,9.85,10.17,CSPI,c
SN2007st,-0.0715328002486757,0.2086777346364097,0.0206508,0.863,0.149,10.95,10.85,11.4,CSPI,none
SN2007ux,0.007162083071307279,0.17160207687093024,0.031996,0.628,0.21,10.3,10.23,10.34,CSPI,none
SN2008C,0.1585705568186384,0.21908776930438467,0.0170667,0.967,0.167,10.49,10.35,10.55,CSPI,none
SN2008O,-0.01861458228605528,0.17418964958975766,0.039318,0.688,0.313,11.33,11.12,11.59,CSPI,none
SN2008R,0.051541540810134734,0.25419942721190397,0.0128867,0.632,0.12,11.25,11.07,11.31,CSPI,none
SN2008ar,-0.018736937700474243,0.18036770826861864,0.0272474,0.976,0.008,10.21,10.11,10.28,CSPI,none
SN2008bc,0.10310670950267564,0.22325952526966747,0.0157067,1.057,-0.028,10.1,9.95,10.23,CSPI,none
SN2008bd,-0.0021711948596561115,0.20421670144427542,0.0312803,0.66,0.339,11.07,10.99,11.13,CSPI,none
SN2008bf,0.32963890582335154,0.18445755970092803,0.0245538,1.019,-0.046,11.4,11.4,11.4,CSPI,none
SN2008bi,0.3105807099683986,0.24341489271364275,0.0143882,0.512,0.591,10.38,10.27,10.48,CSPI,none
SN2008bq,0.04804615265469181,0.18630695330355518,0.0344433,1.153,0.04,10.82,10.74,10.91,CSPI,none
SN2008bt,0.1870979698561328,0.25627445182613,0.0165796,0.498,0.508,10.85,10.7,10.91,CSPI,none
SN2008cc,-0.18606924844196726,0.2968793582155772,0.0101222,0.813,0.158,10.48,10.4,10.64,CSPI,none
SN2008cf,-0.03174486205941207,0.17050600419647402,0.0468269,1.092,0.009,8.73,8.59,8.97,CSPI,none
SN2008ff,0.20078318229420944,0.2045243280682357,0.0186725,1.083,0.177,10.8,10.8,10.8,CSPI,none
SN2008fl,0.031566295465729866,0.20355799510657727,0.0194172,0.883,0.056,10.94,10.87,11.01,CSPI,none
SN2008fp,-0.16107392838061685,0.43724085469623897,0.0062867,1.108,0.479,10.2,10.15,10.63,CSPI,none
SN2008fr,0.05611491988894812,0.17259448897266963,0.0379062,1.035,-0.014,7.73,7.58,7.92,CSPI,none
SN2008fu,-0.05741972056889466,0.1695705896880078,0.0518336,0.822,-0.021,10.72,10.66,10.8,CSPI,none
SN2008fw,0.1763067051453362,0.31202315338357556,0.0095066,1.117,0.076,10.49,10.31,10.61,CSPI,none
SN2008gg,0.24086992384550854,0.17782818887561655,0.0310658,1.054,0.149,10.73,10.63,10.82,CSPI,none
SN2008gl,0.14026834587441783,0.1727196253655396,0.0329459,0.867,0.028,10.86,10.81,10.92,CSPI,none
SN2008gp,0.17143551491209053,0.17283476078019042,0.0328233,0.979,-0.031,10.73,10.64,10.79,CSPI,none
SN2008hj,0.1275140434097537,0.1729222814524354,0.0367224,1.008,-0.008,10.4,10.2,10.69,CSPI,none
SN2008hu,-0.1284942722891813,0.17524472219701878,0.050526,0.827,0.021,10.99,10.84,11.07,CSPI,none
SN2008hv,0.17258485881391294,0.24354378837611032,0.01358,0.867,-0.047,10.55,10.29,10.67,CSPI,none
SN2008ia,-0.15373801356432182,0.19691284874700302,0.02254,0.834,-0.035,10.77,10.54,11.23,CSPI,none
SN2009D,0.06385014541376677,0.1836155271808699,0.024654,1.159,-0.021,10.43,10.35,10.5,CSPI,none
SN2009F,0.2339623413746068,0.25576200597626425,0.01291,0.386,0.551,10.79,10.61,11.22,CSPI,none
SN2009I,0.11662583414449301,0.18691329663520442,0.0254309,1.089,0.651,10.74,10.53,10.88,CSPI,none
SN2009Y,-0.036207122525063085,0.2967219294043611,0.0101034,0.993,0.148,10.76,10.66,10.95,CSPI,none
SN2009aa,-0.01972130281853879,0.1828510987699932,0.0284814,0.944,0.013,10.6,10.1,10.8,CSPI,none
SN2009ab,0.3500280573408716,0.28371755915107827,0.0108624,0.903,0.035,10.35,10.2,10.78,CSPI,none
SN2009ad,0.18697570942124742,0.17806980716999704,0.0283174,1.107,0.032,10.58,10.5,10.64,CSPI,none
SN2009ag,0.22760696278445636,0.3191220236800347,0.0092477,0.966,0.149,10.2,9.99,10.6,CSPI,none
SN2009al,0.01988559126716183,0.18978193573452137,0.0232764,0.92,0.186,10.72,10.66,10.77,CSPI,none
SN2009cz,0.1663296391027913,0.19230940231736543,0.0219786,1.173,0.017,10.75,10.68,10.84,CSPI,none
SN2009ds,0.09486667360528855,0.19975035757046355,0.0204662,1.121,0.107,10.77,10.62,10.97,CSPI,none
SN2009ig,0.09841977300000337,0.09719146008605498,0.0080401,1.061,0.103,10.35,10.35,10.35,,c
SN2011by,0.22992375700000167,0.07168819754500093,0.003405,0.967,-0.006,9.47,9.47,9.47,,c
SN2011fe,-0.03151720800000035,0.040624198213595995,0.0012072,0.972,0.01,10.23,10.23,10.23,,c
SN2011iy,-0.6371282765466724,0.5073289288572728,0.0053357,1.033,0.244,10.39,10.21,10.83,CSPII,none
