sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,Ho,eHo,meth,BV,eBV,covBV_M,host,dist,edist,kmag,ekmag,dsbf,ed,m,ml,mu,sample,subtype,quality,caltype
PTF14aje,0.0276708,0.0282271,0.685,0.006,17.108,0.02,0.5,0.1524,0.0152,-3.06e-05,,,,0.582,0.014,0.0,N/A,-1.0,-1.0,,,,,10.78,10.64,10.84,CSPII,Ia,0.978,none
PTF14gnl,0.05369,0.0525349,1.02,0.006,18.071,0.028,-8.9,0.0268,0.0027,4.894e-05,,,,-0.06,0.009,0.0,N/A,-1.0,-1.0,,,,,10.06,9.86,10.5,CSPII,Ia,0.984,none
PTF14w,0.0188933,0.0200839,0.743,0.004,16.322,0.013,0.4,0.0205,0.0021,-6.109e-07,,,,0.05,0.005,0.0,N/A,-1.0,-1.0,,,,,9.14,8.96,9.3,CSPII,Ia,0.975,none
PTF14yw,0.01697,0.0180604,0.854,0.008,16.469,0.042,-0.6,0.0255,0.0026,1.841e-06,,,,-0.043,0.011,0.0,N/A,-1.0,-1.0,,,,,10.24,10.16,10.59,CSPII,Ia,0.411,none
PTF14yy,0.0429703,0.0440905,0.837,0.01,18.05,0.02,-3.2,0.0198,0.002,-2.822e-06,,,,0.252,0.015,0.0,N/A,-1.0,-1.0,,,,,9.41,9.25,9.52,CSPII,Ia,0.986,none
SN1980N,0.005871,0.0055142,0.903,0.006,12.691,0.082,8.3,0.018,0.0018,3.136e-05,31.817,0.394,Ho,0.07,0.012,0.0,NGC1316,31.59,0.05,,,,,11.514,11.482,11.546,N/A,N/A,0.0,s
SN1981D,0.005871,0.0055129,0.792,0.033,12.871,0.087,6.9,0.0178,0.0018,3.485e-06,31.817,0.394,Ho,0.172,0.038,0.0,NGC1316,31.59,0.05,,,,,11.514,11.482,11.546,N/A,N/A,0.0,s
SN1996X,0.00689,0.0078918,0.918,0.013,13.471,0.15,15.4,0.0596,0.006,-6.48e-05,32.596,0.275,Ho,-0.031,0.019,0.0,NGC5061,32.26,0.19,,,,,11.057,10.971,11.143,N/A,N/A,0.0,s
SN2000cx,0.007929,0.0068909,0.843,0.005,13.91,0.028,-4.5,0.0698,0.007,1.167e-05,32.301,0.315,Ho,0.053,0.008,0.0,NGC0524,32.212,0.09,0.0,0.0,0.0,0.0,10.929,10.84,11.018,N/A,N/A,0.0,s
SN2003hv,0.005601,0.0050833,0.789,0.019,12.798,0.071,5.4,0.0133,0.0013,-4.088e-06,31.641,0.427,Ho,-0.079,0.061,0.0,NGC1201,31.347,0.074,0.0,0.0,0.0,0.0,10.565,10.504999999999999,10.625,N/A,N/A,0.0,s
SN2004ef,0.0309667,0.02977,0.84,0.003,17.049,0.086,8.6,0.0458,0.0046,3.226e-06,,,,0.119,0.006,0.0,N/A,-1.0,-1.0,,,,,10.74,10.63,10.8,CSPI,Ia,0.981,none
SN2004eo,0.01569,0.0147367,0.867,0.005,15.478,0.012,-5.7,0.093,0.0093,5.475e-06,,,,0.023,0.009,0.0,N/A,-1.0,-1.0,,,,,11.16,11.03,11.35,CSPI,Ia,0.979,none
SN2004ey,0.0157767,0.0146267,1.008,0.003,15.446,0.007,0.4,0.1197,0.012,7.873e-07,,,,-0.054,0.004,0.0,N/A,-1.0,-1.0,,,,,10.06,9.76,10.41,CSPI,Ia,0.973,none
SN2004gs,0.0266267,0.0282767,0.707,0.003,16.868,0.07,9.6,0.0257,0.0026,-2.079e-05,,,,0.205,0.006,0.0,N/A,-1.0,-1.0,,,,,10.63,10.57,10.7,CSPI,Ia,0.982,none
SN2004gu,0.0458267,0.0468967,1.153,0.011,17.766,0.09,17.1,0.0223,0.0022,9.035e-05,,,,0.149,0.014,0.0,N/A,-1.0,-1.0,,,,,10.02,9.74,10.19,CSPI,Ia-06gz,0.986,none
SN2005A,0.0191267,0.01834,0.963,0.007,16.269,0.089,9.3,0.0259,0.0026,7.842e-06,,,,0.978,0.016,0.0,N/A,-1.0,-1.0,,,,,11.19,11.07,11.26,CSPI,Ia,0.976,none
SN2005M,0.0219967,0.02558,1.205,0.004,16.565,0.012,-3.2,0.0273,0.0027,5.615e-06,,,,0.018,0.004,0.0,N/A,-1.0,-1.0,,,,,8.8,8.38,8.92,CSPI,Ia-91T,0.984,none
SN2005ag,0.07937,0.08008,1.145,0.009,19.31,0.088,10.0,0.0331,0.0033,-9.408e-06,,,,-0.036,0.008,0.0,N/A,-1.0,-1.0,,,,,10.9,10.84,10.95,CSPI,Ia,0.982,none
SN2005al,0.0123933,0.0132867,0.868,0.004,15.449,0.066,6.7,0.0483,0.0048,-3.823e-06,,,,-0.058,0.008,0.0,N/A,-1.0,-1.0,,,,,10.49,10.4,10.63,CSPI,Ia,0.909,none
SN2005am,0.0078933,0.0089667,0.765,0.004,13.896,0.051,28.3,0.0433,0.0043,4.778e-05,,,,0.065,0.008,0.0,N/A,-1.0,-1.0,,,,,10.83,10.68,11.26,CSPI,Ia,0.934,none
SN2005el,0.0149,0.0148833,0.864,0.003,15.514,0.01,-2.6,0.0976,0.0098,3.138e-06,,,,-0.08,0.012,0.0,N/A,-1.0,-1.0,,,,,10.84,10.7,11.24,CSPI,Ia,0.973,none
SN2005eq,0.0289567,0.02835,1.136,0.009,16.752,0.016,-2.0,0.0629,0.0063,2.175e-05,,,,0.055,0.01,0.0,N/A,-1.0,-1.0,,,,,10.56,10.44,10.65,CSPI,Ia-91T,0.984,none
SN2005hc,0.0459067,0.0444967,1.141,0.007,17.947,0.017,-0.8,0.028,0.0028,8.134e-06,,,,0.013,0.007,0.0,N/A,-1.0,-1.0,,,,,10.6,10.52,10.65,CSPI,Ia,0.98,none
SN2005hj,0.0579667,0.05695,1.151,0.019,18.168,0.058,2.9,0.0329,0.0033,5.708e-05,,,,0.08,0.016,0.0,N/A,-1.0,-1.0,,,,,9.32,9.22,9.38,CSPI,Ia,0.984,none
SN2005iq,0.03402,0.03293,0.882,0.006,17.279,0.023,1.2,0.0185,0.0019,5.387e-06,,,,-0.031,0.011,0.0,N/A,-1.0,-1.0,,,,,10.54,10.47,10.6,CSPI,Ia,0.965,none
SN2005kc,0.01511,0.01389,0.933,0.005,15.415,0.011,-5.7,0.1137,0.0114,1.043e-05,,,,0.234,0.011,0.0,N/A,-1.0,-1.0,,,,,11.06,10.6,11.5,CSPI,Ia,0.978,none
SN2005ke,0.0048767,0.0044833,0.436,0.003,14.007,0.009,-8.6,0.02,0.002,2.436e-06,,,,0.662,0.012,0.0,N/A,-1.0,-1.0,,,,,10.43,10.29,10.61,CSPI,Ia-91bg,0.953,none
SN2005ki,0.0191933,0.02037,0.836,0.004,16.134,0.009,-5.4,0.0267,0.0027,3.83e-06,,,,-0.019,0.007,0.0,N/A,-1.0,-1.0,,,,,10.8,10.62,10.86,CSPI,Ia,0.982,none
SN2005na,0.0263033,0.0268133,0.97,0.005,16.519,0.069,20.1,0.0681,0.0068,3.546e-05,,,,-0.015,0.009,0.0,N/A,-1.0,-1.0,,,,,10.97,10.9,11.05,CSPI,Ia,0.976,none
SN2006D,0.00852,0.00964,0.839,0.003,14.561,0.042,19.6,0.0394,0.0039,1.283e-05,,,,0.099,0.006,0.0,N/A,-1.0,-1.0,,,,,9.76,9.54,9.85,CSPI,Ia,0.972,none
SN2006X,0.0052367,0.00632,0.97,0.004,12.836,0.013,-5.7,0.0228,0.0023,5.96e-06,,,,1.213,0.012,0.0,N/A,-1.0,-1.0,,,,,9.33,9.06,9.43,CSPI,Ia,0.557,none
SN2006ax,0.0167267,0.0179567,1.003,0.004,15.692,0.008,-5.4,0.041,0.0041,5.762e-06,,,,-0.073,0.008,0.0,N/A,-1.0,-1.0,,,,,10.92,10.79,11.04,CSPI,Ia,0.981,none
SN2006bd,0.0257067,0.0267967,0.395,0.01,17.606,0.044,-3.5,0.0231,0.0023,4.468e-05,,,,0.733,0.044,0.0,N/A,-1.0,-1.0,,,,,10.77,10.6,10.8,CSPI,Ia-91bg,0.981,none
SN2006bh,0.01084,0.0104933,0.827,0.003,14.821,0.01,-0.2,0.0228,0.0023,2.701e-06,,,,-0.01,0.006,0.0,N/A,-1.0,-1.0,,,,,10.43,10.31,10.49,CSPI,Ia,0.969,none
SN2006br,0.0245733,0.0255233,0.954,0.032,16.932,0.11,8.2,0.0197,0.002,-0.0002342,,,,0.837,0.097,0.0,N/A,-1.0,-1.0,,,,,10.97,10.87,11.36,CSPI,Ia,0.982,none
SN2006dd,0.005867,0.0055089,0.951,0.003,12.739,0.008,-6.7,0.0179,0.0018,3.595e-06,31.815,0.394,Ho,-0.065,0.007,0.0,NGC1316,31.59,0.05,,,,,11.514,11.482,11.546,N/A,N/A,0.0,s
SN2006ej,0.0204367,0.0193367,0.845,0.018,16.006,0.064,7.9,0.0296,0.003,-9.35e-06,,,,0.028,0.06,0.0,N/A,-1.0,-1.0,,,,,10.63,10.48,10.7,CSPI,Ia,0.971,none
SN2006eq,0.0494667,0.0483667,0.656,0.022,18.235,0.095,4.2,0.0416,0.0042,-0.0002294,,,,0.302,0.075,0.0,N/A,-1.0,-1.0,,,,,10.19,9.79,10.65,CSPI,Ia,0.973,none
SN2006et,0.0221567,0.0216467,1.181,0.006,16.205,0.01,-6.6,0.0165,0.0017,1.743e-05,,,,0.142,0.007,0.0,N/A,-1.0,-1.0,,,,,10.8,10.7,10.88,CSPI,Ia,0.983,none
SN2006ev,0.0287133,0.0276,0.84,0.021,17.14,0.074,6.3,0.0759,0.0076,-5.232e-06,,,,0.179,0.069,0.0,N/A,-1.0,-1.0,,,,,10.75,10.65,10.91,CSPI,Ia,0.924,none
SN2006gj,0.0283333,0.0269667,0.709,0.007,16.961,0.084,5.8,0.0705,0.007,-4.927e-05,,,,0.297,0.012,0.0,N/A,-1.0,-1.0,,,,,10.53,10.36,10.6,CSPI,Ia,0.983,none
SN2006gt,0.04474,0.0436433,0.565,0.009,18.194,0.044,-0.2,0.0323,0.0032,-0.0002244,,,,0.257,0.016,0.0,N/A,-1.0,-1.0,,,,,9.93,9.87,9.94,CSPI,Ia-91bg,0.982,none
SN2006hb,0.0153333,0.0153367,0.682,0.018,15.523,0.073,6.6,0.0236,0.0024,-5.725e-05,,,,0.186,0.064,0.0,N/A,-1.0,-1.0,,,,,10.22,10.05,10.39,CSPI,Ia-86G,0.98,none
SN2006hx,0.0454633,0.0444033,0.98,0.012,17.799,0.052,-4.0,0.0256,0.0026,6.1e-05,,,,0.113,0.035,0.0,N/A,-1.0,-1.0,,,,,10.31,10.12,10.44,CSPI,Ia,0.981,none
SN2006is,0.0313333,0.03142,1.093,0.036,16.938,0.08,6.2,0.029,0.0029,-0.0001335,,,,0.038,0.066,0.0,N/A,-1.0,-1.0,,,,,7.1,6.68,7.41,CSPI,Ia,0.983,none
SN2006kf,0.0212867,0.0208,0.771,0.005,16.253,0.008,-0.0,0.2097,0.021,7.069e-07,,,,0.024,0.009,0.0,N/A,-1.0,-1.0,,,,,10.82,10.59,10.9,CSPI,Ia,0.981,none
SN2006mr,0.0058667,0.00551,0.333,0.004,14.035,0.024,-5.6,0.0179,0.0018,2.775e-05,,,,0.728,0.028,0.0,N/A,-1.0,-1.0,,,,,11.19,10.79,11.38,CSPI,Ia-91bg,0.947,none
SN2006ob,0.0591967,0.0582567,0.739,0.009,18.565,0.09,6.6,0.0285,0.0029,-1.677e-05,,,,0.124,0.016,0.0,N/A,-1.0,-1.0,,,,,11.26,11.08,11.33,CSPI,Ia,0.986,none
SN2006os,0.0327867,0.03208,0.941,0.02,17.238,0.025,2.8,0.1254,0.0125,-5.453e-05,,,,0.318,0.065,0.0,N/A,-1.0,-1.0,,,,,10.81,10.66,10.87,CSPI,Ia,0.982,none
SN2007A,0.0176333,0.0164633,1.05,0.02,15.716,0.014,-0.9,0.0631,0.0063,2.086e-05,,,,0.202,0.01,0.0,N/A,-1.0,-1.0,,,,,10.57,10.57,10.57,CSPI,Ia,0.98,none
SN2007N,0.01287,0.014,0.376,0.006,16.315,0.069,-1.2,0.0343,0.0034,3.282e-06,,,,0.953,0.024,0.0,N/A,-1.0,-1.0,,,,,10.19,10.1,10.57,CSPI,Ia-91bg,0.976,none
SN2007S,0.01387,0.0150233,1.186,0.007,15.358,0.009,-6.9,0.0224,0.0022,1.571e-05,,,,0.366,0.011,0.0,N/A,-1.0,-1.0,,,,,9.98,9.63,10.16,CSPI,Ia-91T,0.973,none
SN2007ai,0.03164,0.0319867,1.223,0.013,16.953,0.015,-0.6,0.286,0.0286,-3.473e-06,,,,0.183,0.013,0.0,N/A,-1.0,-1.0,,,,,9.91,9.76,10.18,CSPI,Ia-91T,0.985,none
SN2007al,0.0121133,0.0132629,0.383,0.006,16.108,0.073,-0.8,0.036,0.0036,1.501e-05,,,,0.693,0.026,0.0,N/A,-1.0,-1.0,,,,,9.47,9.33,9.91,CSPI,Ia-91bg,0.971,none
SN2007as,0.01756,0.0178967,0.889,0.004,15.879,0.011,-3.0,0.1229,0.0123,3.704e-07,,,,0.08,0.009,0.0,N/A,-1.0,-1.0,,,,,10.36,10.24,10.43,CSPI,Ia,0.98,none
SN2007ba,0.0384867,0.0390533,0.568,0.008,17.611,0.029,-4.9,0.0315,0.0032,-4.659e-06,,,,0.327,0.019,0.0,N/A,-1.0,-1.0,,,,,10.99,10.9,11.06,CSPI,Ia-91bg,0.796,none
SN2007bc,0.0207567,0.02185,0.907,0.005,16.329,0.013,-0.2,0.0186,0.0019,1.82e-06,,,,0.033,0.009,0.0,N/A,-1.0,-1.0,,,,,10.73,10.65,10.78,CSPI,Ia,0.983,none
SN2007bd,0.0309967,0.0318267,0.917,0.006,17.139,0.028,-4.8,0.0289,0.0029,4.934e-06,,,,-0.001,0.016,0.0,N/A,-1.0,-1.0,,,,,10.82,10.68,10.89,CSPI,Ia,0.984,none
SN2007bm,0.0062067,0.00744,0.906,0.005,13.845,0.009,-4.2,0.0354,0.0035,1.4e-05,,,,0.421,0.009,0.0,N/A,-1.0,-1.0,,,,,10.27,10.09,10.72,CSPI,Ia,0.958,none
SN2007ca,0.0140567,0.01507,1.078,0.012,15.642,0.014,-5.2,0.057,0.0057,3.918e-05,,,,0.26,0.009,0.0,N/A,-1.0,-1.0,,,,,9.69,9.52,9.74,CSPI,Ia,0.979,none
SN2007hj,0.0141033,0.0128818,0.633,0.005,15.537,0.07,3.0,0.0747,0.0075,-6.612e-05,,,,0.215,0.01,0.0,N/A,-1.0,-1.0,,,,,10.45,10.3,10.89,CSPI,Ia,0.961,none
SN2007jd,0.0725833,0.0719112,0.891,0.036,19.092,0.129,5.9,0.066,0.0066,-0.0008191,,,,0.098,0.081,0.0,N/A,-1.0,-1.0,,,,,10.13,9.93,10.18,CSPI,Ia,0.942,none
SN2007jg,0.0371067,0.0365767,0.939,0.006,17.623,0.017,0.9,0.0904,0.009,-1.596e-05,,,,0.028,0.01,0.0,N/A,-1.0,-1.0,,,,,8.1,7.95,8.22,CSPI,Ia,0.974,none
SN2007le,0.0067167,0.0055233,1.02,0.004,13.745,0.008,-6.4,0.0287,0.0029,5.017e-06,,,,0.292,0.006,0.0,N/A,-1.0,-1.0,,,,,9.85,9.71,10.16,CSPI,Ia,0.955,none
SN2007nq,0.045,0.0439033,0.769,0.006,17.62,0.08,4.5,0.0312,0.0031,3.178e-05,,,,0.056,0.011,0.0,N/A,-1.0,-1.0,,,,,11.21,11.15,11.28,CSPI,Ia,0.952,none
SN2007on,0.00649,0.0061833,0.589,0.003,13.126,0.014,-7.8,0.0098,0.001,-1.206e-05,31.998,0.004,Ho,0.115,0.012,0.0,NGC1404,31.526,0.072,,,,,10.932,10.897,10.967,N/A,N/A,0.0,s
SN2007so,0.0296667,0.0289285,0.925,0.009,15.92,0.086,34.8,0.1161,0.0116,8.478e-05,,,,0.014,0.076,0.0,N/A,-1.0,-1.0,,,,,10.97,10.89,11.07,CSPI,Ia,,none
SN2007st,0.0211667,0.0206508,0.863,0.022,15.631,0.096,7.9,0.0143,0.0014,1.864e-05,,,,0.149,0.083,0.0,N/A,-1.0,-1.0,,,,,10.95,10.85,11.4,CSPI,Ia,0.951,none
SN2007ux,0.0308933,0.031996,0.628,0.006,17.356,0.02,2.1,0.0386,0.0039,-8.186e-05,,,,0.21,0.01,0.0,N/A,-1.0,-1.0,,,,,10.3,10.23,10.34,CSPI,Ia-86G,0.981,none
SN2008C,0.01661,0.0170667,0.967,0.024,15.746,0.085,9.3,0.072,0.0072,-8.584e-05,,,,0.167,0.074,0.0,N/A,-1.0,-1.0,,,,,10.49,10.35,10.55,CSPI,Ia,0.981,none
SN2008O,0.03883,0.039318,0.688,0.01,17.757,0.036,1.1,0.0763,0.0076,-0.0001326,,,,0.313,0.016,0.0,N/A,-1.0,-1.0,,,,,11.33,11.12,11.59,CSPI,Ia,0.986,none
SN2008R,0.0134933,0.0128867,0.632,0.006,15.275,0.078,3.1,0.0618,0.0062,-0.0001117,,,,0.12,0.011,0.0,NGC1200,33.66,0.08,0.0,0.0,0.0,0.0,11.25,11.13,11.37,N/A,N/A,0.0,s
SN2008ar,0.02613,0.0272474,0.976,0.004,16.804,0.016,-2.0,0.0311,0.0031,6.189e-06,,,,0.008,0.011,0.0,N/A,-1.0,-1.0,,,,,10.21,10.11,10.28,CSPI,Ia,0.984,none
SN2008bc,0.0150767,0.0157067,1.057,0.005,15.534,0.008,-1.4,0.2251,0.0225,4.761e-06,,,,-0.028,0.006,0.0,N/A,-1.0,-1.0,,,,,10.1,9.95,10.23,CSPI,Ia,0.979,none
SN2008bd,0.0300833,0.0312803,0.66,0.038,16.397,0.128,27.4,0.0751,0.0075,-0.001294,,,,0.339,0.067,0.0,N/A,-1.0,-1.0,,,,,11.07,10.99,11.13,CSPI,Ia-91bg,,none
SN2008bf,0.0234837,0.0245538,1.019,0.004,16.414,0.007,-3.7,0.0296,0.003,2.219e-06,,,,-0.046,0.006,0.0,N/A,-1.0,-1.0,,,,,11.4,11.4,11.4,CSPI,Ia,0.982,none
SN2008bi,0.0134367,0.0143882,0.512,0.022,15.602,0.104,9.5,0.037,0.0037,-0.0002285,,,,0.591,0.123,0.0,N/A,-1.0,-1.0,,,,,10.38,10.27,10.48,CSPI,Ia-91bg,0.972,none
SN2008bq,0.0339767,0.0344433,1.153,0.009,17.114,0.078,7.8,0.0774,0.0077,2.227e-05,,,,0.04,0.009,0.0,N/A,-1.0,-1.0,,,,,10.82,10.74,10.91,CSPI,Ia,0.983,none
SN2008bt,0.0153533,0.0165796,0.498,0.008,16.273,0.094,20.8,0.0445,0.0044,2.334e-05,,,,0.508,0.013,0.0,N/A,-1.0,-1.0,,,,,10.85,10.7,10.91,CSPI,Ia-91bg,0.979,none
SN2008bz,0.0602367,0.0613265,0.948,0.023,18.902,0.08,32.3,0.0226,0.0023,-4.337e-06,,,,-0.044,0.064,0.0,N/A,-1.0,-1.0,,,,,10.5,10.44,10.56,CSPI,Ia,0.957,none
SN2008cc,0.0103867,0.0101222,0.813,0.018,14.252,0.035,18.2,0.0355,0.0035,1.949e-05,,,,0.158,0.065,0.0,N/A,-1.0,-1.0,,,,,10.48,10.4,10.64,CSPI,Ia,0.965,none
SN2008cf,0.0459682,0.0468269,1.092,0.035,18.025,0.108,6.6,0.0577,0.0058,-1.118e-05,,,,0.009,0.062,0.0,N/A,-1.0,-1.0,,,,,8.73,8.59,8.97,CSPI,Ia,0.986,none
SN2008ff,0.0191933,0.0186725,1.083,0.009,15.961,0.031,25.4,0.0436,0.0044,2.318e-05,,,,0.177,0.017,0.0,N/A,-1.0,-1.0,,,,,10.8,10.8,10.8,CSPI,Ia,0.981,none
SN2008fl,0.0199,0.0194172,0.883,0.017,15.969,0.065,7.6,0.1569,0.0157,-6.706e-06,,,,0.056,0.059,0.0,N/A,-1.0,-1.0,,,,,10.94,10.87,11.01,CSPI,Ia,0.982,none
SN2008fp,0.00566,0.0062867,1.108,0.008,13.329,0.006,0.4,0.1686,0.0169,7.204e-06,,,,0.479,0.007,0.0,N/A,-1.0,-1.0,,,,,10.2,10.15,10.63,CSPI,Ia,0.944,none
SN2008fr,0.0389733,0.0379062,1.035,0.023,17.725,0.088,10.2,0.0395,0.004,-6.32e-05,,,,-0.014,0.069,0.0,N/A,-1.0,-1.0,,,,,7.73,7.58,7.92,CSPI,Ia,0.981,none
SN2008fu,0.05237,0.0518336,0.822,0.024,18.06,0.082,15.5,0.018,0.0018,8.022e-05,,,,-0.021,0.087,0.0,N/A,-1.0,-1.0,,,,,10.72,10.66,10.8,CSPI,Ia,0.986,none
SN2008fw,0.0085433,0.0095066,1.117,0.023,14.497,0.038,22.0,0.1123,0.0112,5.816e-05,,,,0.076,0.065,0.0,N/A,-1.0,-1.0,,,,,10.49,10.31,10.61,CSPI,Ia-91T,0.971,none
SN2008gg,0.0319933,0.0310658,1.054,0.025,17.06,0.074,11.1,0.0195,0.002,-0.0001154,,,,0.149,0.063,0.0,N/A,-1.0,-1.0,,,,,10.73,10.63,10.82,CSPI,Ia,0.984,none
SN2008gl,0.0339933,0.0329459,0.867,0.005,17.161,0.016,2.7,0.0244,0.0024,-5.901e-06,,,,0.028,0.008,0.0,N/A,-1.0,-1.0,,,,,10.86,10.81,10.92,CSPI,Ia,0.977,none
SN2008gp,0.03339,0.0328233,0.979,0.004,17.079,0.017,-5.4,0.1042,0.0104,9.76e-06,,,,-0.031,0.011,0.0,N/A,-1.0,-1.0,,,,,10.73,10.64,10.79,CSPI,Ia,0.985,none
SN2008hj,0.0378667,0.0367224,1.008,0.005,17.539,0.018,-3.0,0.0303,0.003,7.219e-06,,,,-0.008,0.007,0.0,N/A,-1.0,-1.0,,,,,10.4,10.2,10.69,CSPI,Ia,0.983,none
SN2008hs,0.017349,0.0166411,0.625,0.006,16.276,0.026,-7.4,0.0497,0.005,1.698e-05,,,,0.086,0.024,0.0,NGC0910,34.459,0.093,9.357,0.033,77.9,3.3,11.504,11.401,11.607,N/A,N/A,0.0,s
SN2008hu,0.0496656,0.050526,0.827,0.023,18.281,0.029,1.8,0.0921,0.0092,-2.069e-05,,,,0.021,0.07,0.0,N/A,-1.0,-1.0,,,,,10.99,10.84,11.07,CSPI,Ia,0.985,none
SN2008hv,0.01254,0.01358,0.867,0.004,15.278,0.011,35.9,0.0279,0.0028,2.523e-06,,,,-0.047,0.011,0.0,NGC2765,33.725,0.083,0.0,0.0,0.0,0.0,10.55,10.370000000000001,10.73,N/A,N/A,0.0,s
SN2008ia,0.0219833,0.02254,0.834,0.006,16.289,0.026,37.9,0.1954,0.0195,1.469e-05,,,,-0.035,0.016,0.0,ESO125-G006,34.896,0.195,0.0,0.0,0.0,0.0,10.77,10.27,11.27,N/A,N/A,0.0,s
SN2009D,0.02499,0.024654,1.159,0.007,16.375,0.011,11.4,0.0441,0.0044,1.428e-05,,,,-0.021,0.006,0.0,N/A,-1.0,-1.0,,,,,10.43,10.35,10.5,CSPI,Ia,0.984,none
SN2009F,0.0129467,0.01291,0.386,0.007,16.001,0.023,2.7,0.0895,0.0089,3.344e-05,,,,0.551,0.025,0.0,N/A,-1.0,-1.0,,,,,10.79,10.61,11.22,CSPI,Ia-91bg,0.97,none
SN2009I,0.02615,0.0254309,1.089,0.03,16.735,0.015,-0.8,0.0272,0.0027,3.042e-05,,,,0.651,0.017,0.0,N/A,-1.0,-1.0,,,,,10.74,10.53,10.88,CSPI,Ia,0.969,none
SN2009P,0.0250867,0.0263202,1.08,0.042,16.73,0.092,4.9,0.0415,0.0042,-0.0001248,,,,0.406,0.021,0.0,N/A,-1.0,-1.0,,,,,9.87,9.77,9.95,CSPI,Ia,0.982,none
SN2009Y,0.0093467,0.0101034,0.993,0.005,14.475,0.013,0.2,0.0873,0.0087,5.56e-06,,,,0.148,0.01,0.0,N/A,-1.0,-1.0,,,,,10.76,10.66,10.95,CSPI,Ia,0.97,none
SN2009aa,0.02729,0.0284814,0.944,0.004,16.772,0.013,-1.9,0.0295,0.0029,9.358e-06,,,,0.013,0.012,0.0,N/A,-1.0,-1.0,,,,,10.6,10.1,10.8,CSPI,Ia,0.983,none
SN2009ab,0.0111633,0.0108624,0.903,0.006,14.958,0.015,-4.4,0.1838,0.0184,3.528e-05,,,,0.035,0.011,0.0,N/A,-1.0,-1.0,,,,,10.35,10.2,10.78,CSPI,Ia,0.959,none
SN2009ad,0.02838,0.0283174,1.107,0.014,16.688,0.013,1.1,0.0953,0.0095,3.005e-05,,,,0.032,0.011,0.0,N/A,-1.0,-1.0,,,,,10.58,10.5,10.64,CSPI,Ia,0.984,none
SN2009ag,0.0086333,0.0092477,0.966,0.005,14.598,0.012,0.5,0.218,0.0218,-1.602e-05,,,,0.149,0.014,0.0,N/A,-1.0,-1.0,,,,,10.2,9.99,10.6,CSPI,Ia,0.97,none
SN2009al,0.02209,0.0232764,0.92,0.013,16.351,0.022,-2.6,0.0212,0.0021,4.657e-05,,,,0.186,0.028,0.0,N/A,-1.0,-1.0,,,,,10.72,10.66,10.77,CSPI,Ia,0.98,none
SN2009cz,0.0211233,0.0219786,1.173,0.011,16.191,0.037,17.0,0.0221,0.0022,3.314e-05,,,,0.017,0.011,0.0,N/A,-1.0,-1.0,,,,,10.75,10.68,10.84,CSPI,Ia,0.982,none
SN2009ds,0.0192467,0.0204662,1.121,0.015,15.925,0.02,-1.6,0.0332,0.0033,9.43e-05,,,,0.107,0.013,0.0,N/A,-1.0,-1.0,,,,,10.77,10.62,10.97,CSPI,Ia,0.982,none
SN2009le,0.0177733,0.017027,1.087,0.011,16.017,0.026,-7.4,0.0143,0.0014,5.268e-05,,,,0.122,0.008,0.0,N/A,-1.0,-1.0,,,,,10.84,10.66,11.31,CSPI,Ia,0.976,none
SN2010Y,0.0109,0.0112644,0.66,0.006,15.287,0.023,-5.4,0.0117,0.0012,5.197e-06,,,,0.02,0.016,0.0,NGC3392,33.861,0.088,10.862,0.05,59.2,2.4,10.58,10.474,10.686,N/A,N/A,0.0,s
SN2011iv,0.00649,0.0061827,0.701,0.007,12.658,0.025,0.1,0.0098,0.001,-3.169e-05,32.066,0.351,Ho,0.03,0.011,0.0,NGC1404,31.526,0.072,,,,,10.932,10.897,10.967,N/A,N/A,0.0,s
SN2011iy,0.0042633,0.0053357,1.033,0.005,12.555,0.038,20.0,0.0529,0.0053,3.221e-06,,,,0.244,0.012,0.0,N/A,-1.0,-1.0,,,,,10.39,10.21,10.83,CSPII,Ia,0.9,none
SN2011jh,0.0077833,0.0089154,0.789,0.005,14.38,0.015,0.2,0.0322,0.0032,5.851e-06,,,,0.367,0.008,0.0,N/A,-1.0,-1.0,,,,,10.09,10.02,10.16,CSPII,Ia,0.966,none
SN2011jn,0.0474433,0.0485384,0.644,0.02,17.935,0.12,7.9,0.0593,0.0059,-0.000297,,,,0.137,0.083,0.0,N/A,-1.0,-1.0,,,,,11.35,11.23,11.78,CSPII,Ia,0.982,none
SN2012aq,0.0519633,0.0525508,0.996,0.018,18.046,0.072,15.9,0.0338,0.0034,-1.601e-05,,,,0.004,0.063,0.0,N/A,-1.0,-1.0,,,,,7.77,7.63,8.01,CSPII,Ia,0.972,none
SN2012ar,0.02824,0.028536,0.809,0.006,16.723,0.073,5.0,0.2024,0.0202,-9.198e-06,,,,0.032,0.006,0.0,N/A,-1.0,-1.0,,,,,10.94,10.84,11.02,CSPII,Ia,0.982,none
SN2012bl,0.0186933,0.0181998,1.081,0.016,15.912,0.08,7.6,0.0297,0.003,-1.49e-06,,,,0.044,0.008,0.0,N/A,-1.0,-1.0,,,,,10.09,9.85,10.24,CSPII,Ia,0.977,none
SN2012bo,0.0254133,0.0265314,1.16,0.007,16.613,0.066,5.3,0.0447,0.0045,1.422e-05,,,,0.009,0.006,0.0,N/A,-1.0,-1.0,,,,,10.32,10.15,10.4,CSPII,Ia,0.983,none
