sn	mmax_snoopy	mmax_corrected	err_mmax	host	Source
LSQ12bld	19.018	19.366	0.033		CSPII
LSQ12btn	18.234	18.702	0.033		CSPII
LSQ12ca	19.045	18.953	0.118		CSPII
LSQ12cda	20.149	20.485	0.468		CSPII
LSQ12cdl	19.134	18.744	0.125		CSPII
LSQ12fuk	15.674	15.684	0.032		CSPII
LSQ12fvl	18.75	19.791	0.034		CSPII
LSQ12fxd	16.286	16.036	0.031		CSPII
LSQ12gdj	15.852	15.551	0.032		CSPII
LSQ12gef	18.896	19.429	0.115		CSPII
LSQ12gln	18.97	18.65	0.035		CSPII
LSQ12gxj	18.071	18.768	0.031		CSPII
LSQ12gyc	18.758	18.382	0.047		CSPII
LSQ12gzm	19.506	19.369	0.048		CSPII
LSQ12hjm	18.293	18.137	0.03		CSPII
LSQ12hno	17.92	18.134	0.033		CSPII
LSQ12hnr	19.413	19.346	0.206		CSPII
LSQ12hvj	18.41	18.437	0.036		CSPII
LSQ12hxx	18.236	18.187	0.043		CSPII
LSQ12hzj	16.51	16.357	0.031		CSPII
LSQ12hzs	18.796	19.079	0.035		CSPII
LSQ13abo	18.812	19.571	0.043		CSPII
LSQ13aiz	13.71	14.037	0.031		CSPII
LSQ13cwp	18.399	18.727	0.041		CSPII
LSQ13dby	19.109	18.766	0.036		CSPII
LSQ13dcy	19.173	19.617	0.044		CSPII
LSQ13dhj	19.06	19.032	0.044		CSPII
LSQ13dkp	18.761	19.069	0.033		CSPII
LSQ13dpm	17.684	17.605	0.031		CSPII
LSQ13dqh	19.323	18.923	0.043		CSPII
LSQ13dsm	17.265	17.346	0.031		CSPII
LSQ13lq	18.007	17.737	0.04		CSPII
LSQ13pf	19.667	20.471	0.124		CSPII
LSQ13ry	16.541	16.54	0.032		CSPII
LSQ13vy	17.65	18.004	0.031		CSPII
LSQ14act	18.371	18.651	0.031		CSPII
LSQ14age	18.481	18.331	0.037		CSPII
LSQ14ahc	17.275	16.872	0.033		CSPII
LSQ14ahm	17.213	16.875	0.033		CSPII
LSQ14ajn	16.3	16.816	0.031		CSPII
LSQ14asu	18.887	19.116	0.033		CSPII
LSQ14auy	18.659	18.403	0.039		CSPII
LSQ14azy	17.685	17.724	0.11		CSPII
LSQ14ba	18.793	18.966	0.033		CSPII
LSQ14bbv	17.747	17.706	0.031		CSPII
LSQ14bjj	18.475	18.272	0.032		CSPII
LSQ14fms	19.013	19.696	0.037		CSPII
LSQ14foj	17.342	17.515	0.032		CSPII
LSQ14fom	17.794	17.941	0.033		CSPII
LSQ14gfb	19.555	21.467	0.094		CSPII
LSQ14gfn	19.366	19.418	0.163		CSPII
LSQ14ghv	18.382	18.374	0.032		CSPII
LSQ14gov	18.453	18.095	0.031		CSPII
LSQ14ie	18.748	18.527	0.035		CSPII
LSQ14ip	19.478	20.821	0.038		CSPII
LSQ14jp	18.134	18.778	0.031		CSPII
LSQ14mc	17.818	17.803	0.03		CSPII
LSQ14q	18.177	18.108	0.031		CSPII
LSQ14wp	17.88	17.634	0.035		CSPII
LSQ14xi	18.257	18.703	0.034		CSPII
LSQ15aae	17.843	17.746	0.032		CSPII
LSQ15agh	17.734	17.456	0.032		CSPII
LSQ15aja	18.036	17.788	0.032		CSPII
LSQ15alq	17.319	17.402	0.03		CSPII
LSQ15bv	18.186	18.235	0.034		CSPII
PS1-14ra	16.627	17.019	0.03		CSPII
PS1-14rx	18.545	18.65	0.042		CSPII
PS1-14xw	15.801	15.81	0.031		CSPII
PS15sv	16.426	16.508	0.031		CSPII
PTF11pbp	16.354	16.294	0.032		CSPII
