ObjID,Name,zhel,zcmb,sBV,e_sBV,mcorr,e_mcorr,BV,e_BV,mass
132,SN11fe,0.000803,0.001207,0.946,0.003,9.80628038761,0.0325707671404,0.031,0.0067082039325,10.2266886028
133,SN12cg,0.001458,0.00258,1.056,0.008,11.6716687652,0.0612433917088,0.1,0.0108166538264,9.45523216417
134,SN12fr,0.0055,0.005129,1.116,0.005,12.0821180239,0.0308775200071,-0.015,0.0080622577483,11.1422950636
135,SN12ht,0.003557,0.004685,0.853,0.002,12.5838108387,0.120100581321,0.003,0.00848528137424,8.06223309609
136,SN13dy,0.003889,0.002884,1.099,0.006,12.1528141987,0.0679474891165,0.189,0.00781024967591,9.09123399445
137,SN15F,0.004887,0.00528,0.847,0.004,12.3864604154,0.0326515502299,0.072,0.00921954445729,10.9685405283
138,SN1980N,0.005871,0.005514,0.888,0.01,12.0743203813,0.0611661616867,0.109,0.0191049731745,11.5198140525
139,SN1981D,0.005871,0.005513,0.726,0.045,11.9671292191,0.180135382021,0.133,0.057697486947,11.5196566945
140,SN06dd,0.005867,0.005509,0.935,0.004,12.4060504011,0.0326089892207,-0.068,0.00848528137424,11.5190235227
141,SN1989B,0.002425,0.003586,0.862,0.024,11.1015092206,0.0596213792326,0.374,0.0136014705087,11.025869131
142,SN1994D,0.00149,0.002609,0.816,0.004,11.758461644,0.0369576888253,-0.035,0.01,10.5121633992
