sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,sample,subtype,quality,cosmo,phys,BV,eBV,covBV_M,ml,m,mu,dist,edist,covBVs,host,caltype
LSQ13ry,0.0298367,0.031032,0.881,0.006,17.253,0.014,-12.1,0.0403,0.004,1.442e-05,CSPII,Ia,0.971,1,1,-0.047999999999998266,0.011401754250991379,0.0,9.54,9.64,9.7,-1.0,-1.0,1.1769999999999999e-05,,
LSQ13vy,0.0417711,0.0421068,0.891,0.005,18.124,0.011,-5.8,0.0676,0.0068,8.641e-06,CSPII,Ia,0.985,1,0,0.07599999999999696,0.0078102496759066544,0.0,10.15,10.17,10.33,-1.0,-1.0,6.516e-06,,
LSQ14act,0.05905,0.0594518,0.691,0.007,18.866,0.013,-3.2,0.2269,0.0227,-2.559e-05,CSPII,Ia,0.976,1,0,0.0030000000000001137,0.009899494936611667,0.0,10.07,10.17,10.61,-1.0,-1.0,-5.88e-06,,
LSQ14age,0.0805442,0.0815802,1.115,0.014,19.314,0.013,-11.9,0.0576,0.0058,4.001e-05,CSPII,Ia,0.976,1,0,-0.008999999999996788,0.012806248474865698,0.0,8.33,8.42,8.59,-1.0,-1.0,-8.5248e-05,,
LSQ14ahc,0.0508648,0.0517592,1.222,0.01,18.054,0.011,-7.9,0.0461,0.0046,1.457e-05,CSPII,Ia,0.986,1,0,-0.028999999999999915,0.01063014581273465,0.0,8.89,9.13,9.62,-1.0,-1.0,5.159999999999998e-06,,
LSQ14ahm,0.0497655,0.0509869,1.156,0.009,18.115,0.012,-10.5,0.0274,0.0027,2.374e-05,CSPII,Ia,0.986,1,0,-0.05099999999999838,0.01063014581273465,0.0,8.03,8.2,8.37,-1.0,-1.0,-3.93049e-05,,
LSQ14ajn,0.02101,0.0221584,0.654,0.004,16.655,0.01,-0.3,0.0193,0.0019,-1.764e-05,CSPII,Ia,0.979,0,1,0.07499999999999929,0.009219544457292887,0.0,9.95,10.11,10.3,-1.0,-1.0,-7.017e-06,,
LSQ14asu,0.0683967,0.069594,0.767,0.013,19.37,0.013,-3.6,0.0372,0.0037,-1.897e-05,CSPII,Ia,0.927,1,0,0.004000000000001336,0.011401754250991379,0.0,10.51,10.67,10.86,-1.0,-1.0,3.8618e-05,,
LSQ14auy,0.0824129,0.0832263,1.147,0.017,19.385,0.015,-4.1,0.0669,0.0067,5.31e-05,CSPII,Ia,0.987,1,0,-0.012000000000000455,0.012727922061357855,0.0,10.61,10.74,11.19,-1.0,-1.0,-0.00011598999999999999,,
LSQ14azy,0.0457633,0.0469322,1.134,0.026,18.172,0.063,3.6,0.0164,0.0016,1.561e-05,CSPII,Ia,0.981,0,0,0.0730000000000004,0.06661080993352356,0.0,9.75,9.94,10.1,-1.0,-1.0,-0.00013348,,
LSQ14ba,0.0775463,0.0787677,0.958,0.006,19.323,0.012,-6.9,0.0493,0.0049,3.347e-06,CSPII,Ia,0.986,1,0,0.03500000000000014,0.01345362404707371,0.0,9.3,9.47,9.87,-1.0,-1.0,7.799999999999993e-07,,
LSQ14bbv,0.0587593,0.058439,1.039,0.011,18.599,0.009,-2.5,0.0464,0.0046,-2.283e-05,CSPII,Ia,0.986,0,0,0.007999999999999119,0.007071067811865475,0.0,10.9,11.02,11.14,-1.0,-1.0,3.095e-05,,
LSQ14bjj,0.0811438,0.0819882,1.01,0.009,19.25,0.011,-4.3,0.0408,0.0041,-1.766e-05,CSPII,Ia,0.986,1,0,-0.07499999999999929,0.008602325267042627,0.0,8.3,8.46,8.91,-1.0,-1.0,1.4660000000000002e-05,,
LSQ14fms,0.077946,0.0773231,0.848,0.015,19.32,0.018,-3.2,0.0143,0.0014,-4.124e-05,CSPII,Ia,0.986,1,0,0.17100000000000293,0.016278820596099707,0.0,10.0,10.11,10.49,-1.0,-1.0,-3.62e-05,,
LSQ14foj,0.0460667,0.0451705,1.012,0.01,17.968,0.014,-10.9,0.0121,0.0012,2.158e-05,CSPII,Ia,0.986,1,0,0.04999999999999716,0.01063014581273465,0.0,8.33,8.44,8.7,-1.0,-1.0,1.3230000000000002e-05,,
LSQ14fom,0.05626,0.0553279,0.947,0.009,18.359,0.015,-8.2,0.0184,0.0018,9.748e-06,CSPII,Ia,0.978,1,0,0.022999999999999687,0.01131370849898476,0.0,9.4,9.54,9.72,-1.0,-1.0,2.1299999999999982e-06,,
LSQ14gfb,0.0527067,0.0527873,0.586,0.033,19.118,0.082,6.0,0.0159,0.0016,-0.000344,CSPII,Ia,0.985,1,0,0.5300000000000011,0.06226556030423239,0.0,10.11,10.3,10.64,-1.0,-1.0,-2.409999999999999e-05,,
LSQ14gfn,0.1216158,0.1210925,1.073,0.091,20.164,0.034,-3.0,0.0332,0.0033,-0.0001693,CSPII,Ia,0.967,1,0,0.05099999999999838,0.032015621187164243,0.0,10.42,10.54,10.88,-1.0,-1.0,-2.0300000000000006e-05,,
LSQ14ghv,0.0666539,0.0662566,0.968,0.009,19.045,0.015,-3.5,0.0088,0.0009,-3.358e-05,CSPII,Ia,0.981,1,0,-0.015999999999998238,0.011401754250991379,0.0,10.06,10.18,10.31,-1.0,-1.0,1.1220000000000001e-05,,
LSQ14gov,0.089538,0.0892443,1.052,0.011,19.384,0.009,-9.5,0.0357,0.0036,7.474e-06,CSPII,Ia,0.985,1,0,-0.1039999999999992,0.0078102496759066544,0.0,8.85,9.02,9.19,-1.0,-1.0,5.347e-05,,
LSQ14ie,0.089538,0.0905466,1.162,0.011,19.584,0.015,-8.1,0.0717,0.0072,5.311e-05,CSPII,Ia,0.983,1,0,-0.00999999999999801,0.012041594578792296,0.0,7.95,8.08,8.21,-1.0,-1.0,-4.7246e-05,,
LSQ14ip,0.0612967,0.0624196,0.509,0.01,19.343,0.02,-7.3,0.0373,0.0037,4.523e-05,CSPII,Ia,0.987,1,0,0.33800000000000097,0.022803508501982758,0.0,10.01,10.18,10.31,-1.0,-1.0,-4.4460000000000005e-05,,
LSQ14jp,0.04539,0.0464896,0.675,0.007,18.415,0.012,-8.4,0.053,0.0053,-1.698e-05,CSPII,Ia,0.986,1,0,0.12300000000000111,0.01,0.0,10.48,10.54,10.81,-1.0,-1.0,9.834e-06,,
LSQ14mc,0.05662,0.0575661,0.963,0.004,18.517,0.008,-6.6,0.0207,0.0021,2.642e-08,CSPII,Ia,0.986,1,0,-0.02699999999999747,0.006403124237432849,0.0,9.16,9.17,9.43,-1.0,-1.0,-2.48e-07,,
LSQ14q,0.0669503,0.067871,0.957,0.004,18.874,0.009,-12.7,0.0198,0.002,5.325e-06,CSPII,Ia,0.987,1,0,-0.045999999999999375,0.00848528137423857,0.0,8.92,9.32,9.42,-1.0,-1.0,-3.3000000000000023e-07,,
LSQ14wp,0.0694519,0.0706148,1.134,0.012,18.736,0.013,-7.8,0.0207,0.0021,3.392e-05,CSPII,Ia-91T,0.984,1,0,-0.037000000000002586,0.01063014581273465,0.0,7.23,7.48,7.59,-1.0,-1.0,-5.6905000000000005e-05,,
LSQ14xi,0.0507429,0.0519014,1.142,0.011,18.497,0.013,-8.6,0.0368,0.0037,2.398e-05,CSPII,Ia,0.986,1,0,0.21799999999999997,0.01063014581273465,0.0,10.77,10.9,11.07,-1.0,-1.0,-3.98226e-05,,
LSQ15aae,0.0515643,0.0517701,1.218,0.007,18.298,0.01,-5.5,0.0616,0.0062,3.539e-06,CSPII,Ia-91T,0.982,1,0,0.07700000000000173,0.00848528137423857,0.0,10.1,10.27,10.46,-1.0,-1.0,-3.200000000000003e-07,,
LSQ15agh,0.0599585,0.0610193,1.134,0.008,18.472,0.009,-5.6,0.0216,0.0022,1.864e-05,CSPII,Ia,0.987,1,0,-0.031999999999996476,0.0078102496759066544,0.0,9.72,9.87,9.99,-1.0,-1.0,-3.6543999999999994e-05,,
LSQ15aja,0.0699516,0.0699657,1.032,0.011,18.855,0.018,-9.0,0.0545,0.0054,1.612e-05,CSPII,Ia,0.984,1,0,-0.08699999999999974,0.009433981132056603,0.0,7.34,7.46,7.58,-1.0,-1.0,6.0238e-05,,
LSQ15alq,0.0470667,0.0480953,0.921,0.005,17.954,0.008,-12.1,0.0668,0.0067,3.33e-06,CSPII,Ia,0.97,1,0,-0.0020000000000024443,0.006403124237432849,0.0,10.22,10.4,10.82,-1.0,-1.0,6.838999999999999e-06,,
LSQ15bv,0.0689,0.0701168,0.952,0.009,18.929,0.015,-1.8,0.0443,0.0044,-3.591e-05,CSPII,Ia,0.985,1,0,-0.0010000000000012221,0.014422205101855958,0.0,10.39,10.56,10.77,-1.0,-1.0,-3.6105999999999996e-05,,
PS1-13eao,0.0377533,0.037362,0.89,0.045,19.253,0.024,-1.9,0.0107,0.0011,-0.0001405,CSPII,Ia,0.0,1,0,1.5489999999999995,0.09631718434422801,0.0,10.56,10.73,11.04,-1.0,-1.0,-0.00015690000000000002,,
PS1-14ra,0.0280833,0.0287982,0.777,0.006,17.083,0.008,-0.1,0.023,0.0023,-3.511e-06,CSPII,Ia,0.984,1,1,0.05999999999999872,0.006403124237432849,0.0,10.35,10.65,10.72,-1.0,-1.0,-7.999999999999754e-09,,
PS1-14rx,0.0669536,0.0680019,0.846,0.018,19.13,0.03,-8.2,0.0266,0.0027,0.0001518,CSPII,Ia,0.981,1,0,-0.021999999999998465,0.02690724809414742,0.0,9.77,9.89,10.06,-1.0,-1.0,8.079999999999999e-05,,
PS1-14xw,0.0245,0.0245957,1.039,0.01,16.478,0.01,-3.2,0.0656,0.0066,-1.258e-05,CSPII,Ia,0.975,0,0,0.0259999999999998,0.006403124237432849,0.0,11.11,11.24,11.71,-1.0,-1.0,2.213e-05,,
PS15sv,0.033277,0.0335844,0.993,0.005,17.088,0.011,-3.9,0.0782,0.0078,-2.475e-06,CSPII,Ia-91T,0.977,1,1,0.010999999999999233,0.009219544457292887,0.0,8.2,8.31,8.56,-1.0,-1.0,-4.999999999999986e-07,,
PTF11pbp,0.0289033,0.0276702,1.15,0.007,16.888,0.01,-6.4,0.0507,0.0051,1.756e-05,CSPII,Ia,0.984,1,1,0.054999999999999716,0.007071067811865475,0.0,10.73,10.88,10.97,-1.0,-1.0,-2.4789e-05,,
PTF11ppn,0.0672534,0.0661869,0.641,0.037,18.86,0.094,7.4,0.132,0.0132,-0.0002791,CSPII,Ia-91bg,0.154,1,0,0.18900000000000006,0.17917589123540031,0.0,10.96,11.02,11.06,-1.0,-1.0,0.00017540000000000004,,
PTF11pra,0.0175433,0.0167242,0.439,0.017,16.995,0.059,0.9,0.0243,0.0024,4.798e-06,CSPII,Ia,0.981,0,0,0.9200000000000017,0.06,0.0,10.57,10.68,10.75,-1.0,-1.0,-3.1940000000000003e-06,,
PTF11qnr,0.0162167,0.0149985,0.806,0.008,15.923,0.013,-9.3,0.0556,0.0056,1.566e-05,CSPII,Ia,0.979,0,1,0.2550000000000008,0.009219544457292887,0.0,10.38,10.65,10.7,-1.0,-1.0,4.969999999999998e-06,,
PTF13anh,0.0614575,0.0624543,0.944,0.007,18.734,0.012,-10.7,0.0224,0.0022,1.91e-05,CSPII,Ia,0.979,1,0,-0.16999999999999815,0.018439088914585774,0.0,7.29,7.48,7.66,-1.0,-1.0,1.2420000000000003e-05,,
PTF13duj,0.01694,0.015867,1.156,0.014,15.749,0.019,-7.0,0.0665,0.0067,6.165e-05,CSPII,Ia,0.965,0,1,0.057000000000000384,0.012041594578792296,0.0,10.61,10.73,10.82,-1.0,-1.0,-5.6117e-05,,
PTF13dwl,0.0874395,0.0863561,1.088,0.04,19.31,0.015,-5.3,0.0613,0.0061,3.876e-05,CSPII,Ia,0.987,1,0,-0.03400000000000247,0.011401754250991379,0.0,8.42,8.74,8.98,-1.0,-1.0,7.794e-05,,
PTF13dym,0.04213,0.0409061,0.509,0.024,17.819,0.052,-5.8,0.0379,0.0038,0.0001216,CSPII,Ia-91bg,0.0,1,0,0.09600000000000009,0.04951767361255979,0.0,9.25,9.45,9.88,-1.0,-1.0,-9.81e-05,,
PTF13dyt,0.1099239,0.109862,0.96,0.057,19.87,0.186,-7.0,0.0458,0.0046,0.0002302,CSPII,Ia-pec,,0,0,-0.2699999999999996,0.08360023923410746,0.0,11.5,11.5,11.5,-1.0,-1.0,-0.0008759999999999998,,
PTF13ebh,0.01326,0.012484,0.636,0.004,15.326,0.011,-13.0,0.0668,0.0067,-1.262e-06,CSPII,Ia,0.975,0,1,0.12299999999999933,0.009219544457292887,0.0,10.8,10.86,11.02,-1.0,-1.0,-1.099e-06,,
PTF13efe,0.0749481,0.0758465,1.145,0.011,19.09,0.014,-9.0,0.0213,0.0021,3.282e-05,CSPII,Ia,0.987,1,0,-0.01699999999999946,0.01345362404707371,0.0,11.5,11.5,11.5,-1.0,-1.0,-6.7259e-05,,
PTF13ez,0.0434699,0.0445375,0.897,0.011,17.941,0.023,-1.8,0.0429,0.0043,-8.901e-06,CSPII,Ia,0.982,1,0,0.15900000000000247,0.02968164415931166,0.0,9.52,9.71,9.84,-1.0,-1.0,4.581e-05,,
PTF14aaf,0.0588167,0.0595653,1.161,0.009,18.608,0.012,-11.8,0.0288,0.0029,4.189e-05,CSPII,Ia,0.986,0,0,0.05000000000000071,0.009899494936611667,0.0,11.5,11.5,11.5,-1.0,-1.0,-2.4034e-05,,
PTF14aje,0.0276708,0.0282271,0.684,0.005,17.772,0.011,-5.1,0.1524,0.0152,-1.448e-05,CSPII,Ia,0.978,1,0,0.6080000000000005,0.010816653826391968,0.0,10.64,10.78,10.84,-1.0,-1.0,-2.0989999999999997e-06,,
PTF14fpg,0.034,0.03283,1.078,0.013,17.595,0.012,-8.9,0.0258,0.0026,1.105e-05,CSPII,Ia,0.784,1,1,0.010000000000001563,0.00848528137423857,0.0,11.5,11.5,11.5,-1.0,-1.0,3.515e-05,,
PTF14gnl,0.05369,0.0525349,1.021,0.006,18.202,0.011,-12.3,0.0268,0.0027,-2.652e-06,CSPII,Ia,0.984,1,0,-0.05500000000000327,0.008602325267042627,0.0,9.86,10.06,10.5,-1.0,-1.0,8.509999999999998e-06,,
PTF14uo,0.0912368,0.0922406,1.118,0.017,19.452,0.011,-5.7,0.0161,0.0016,2.321e-05,CSPII,Ia,0.987,1,0,-0.11400000000000077,0.00848528137423857,0.0,8.86,9.0,9.48,-1.0,-1.0,-5.7691e-05,,
PTF14w,0.0188933,0.0200839,0.742,0.004,16.554,0.006,-6.3,0.0205,0.0021,-7.702e-07,CSPII,Ia,0.975,0,1,0.055999999999997385,0.005,0.0,8.96,9.14,9.3,-1.0,-1.0,2.896e-06,,
PTF14yw,0.01697,0.0180604,0.856,0.008,16.522,0.015,-4.2,0.0255,0.0026,1.134e-05,CSPII,Ia,0.411,0,1,-0.038000000000000256,0.01063014581273465,0.0,10.16,10.24,10.59,-1.0,-1.0,-2.5899999999999972e-06,,
PTF14yy,0.0429703,0.0440905,0.837,0.01,18.499,0.013,-6.9,0.0198,0.002,2.478e-05,CSPII,Ia,0.986,1,0,0.2560000000000002,0.014866068747318505,0.0,9.25,9.41,9.52,-1.0,-1.0,2.980000000000002e-06,,
SN1990N,0.003,0.0040676,1.1,0.006,13.264,0.012,-10.9,0.0223,0.0022,7.632e-06,,,,,,0.06600000000000072,0.00848528137423857,0.0,10.07,10.14,10.24,31.812,0.084,-3.447000000000001e-06,N4639,c
SN1994ae,0.004,0.0051205,1.043,0.006,13.612,0.008,-12.0,0.0262,0.0026,3.84e-06,,,,,,0.05999999999999872,0.007071067811865475,0.0,9.55,9.69,9.83,32.12,0.051,2.044e-05,N3370,c
SN1995al,0.005,0.0058765,1.043,0.017,13.825,0.012,-4.1,0.0117,0.0012,-2.93e-05,,,,,,0.1379999999999999,0.01345362404707371,0.0,9.76,9.87,9.97,32.464,0.158,0.00010187,N3021,c
SN1998aq,0.003697,0.0042623,0.968,0.004,13.074,0.008,-10.3,0.0122,0.0012,2.143e-06,,,,,,-0.10400000000000098,0.0078102496759066544,0.0,9.86,10.02,10.1,31.722,0.071,-3.838e-06,N3982,c
SN2001el,0.003896,0.0036761,0.959,0.005,13.104,0.014,-10.9,0.0121,0.0012,6.601e-06,,,,,,0.14399999999999835,0.01,0.0,10.34,10.34,10.34,31.287,0.037,7.5600000000000005e-06,N1448,c
SN2002fk,0.00712,0.0066137,0.977,0.004,13.886,0.011,-12.3,0.0344,0.0034,4.032e-06,,,,,,-0.0909999999999993,0.00848528137423857,0.0,9.78,9.94,10.64,32.541,0.059,-1.7779999999999997e-06,N1309,c
SN2003du,0.0063844,0.0066521,1.002,0.004,14.218,0.009,-10.6,0.0081,0.0008,1.63e-06,,,,,,-0.0730000000000004,0.006403124237432849,0.0,8.47,8.6,8.74,32.848,0.067,1.4199999999999966e-07,U9391,c
SN2004ef,0.0309667,0.02977,0.84,0.003,17.31,0.008,-9.0,0.0458,0.0046,4.883e-06,CSPI,Ia,0.981,0,0,0.11699999999999733,0.00565685424949238,0.0,10.63,10.74,10.8,-1.0,-1.0,-1.3499999999999955e-07,,
SN2004eo,0.01569,0.0147367,0.869,0.005,15.556,0.012,-12.4,0.093,0.0093,8.206e-06,CSPI,Ia,0.979,0,0,0.02499999999999858,0.009219544457292887,0.0,11.03,11.16,11.35,-1.0,-1.0,4.8419999999999996e-06,,
SN2004ey,0.0157767,0.0146267,1.009,0.003,15.534,0.006,-8.9,0.1197,0.012,1.426e-06,CSPI,Ia,0.973,0,0,-0.051000000000000156,0.004242640687119285,0.0,9.76,10.06,10.41,-1.0,-1.0,2.31e-07,,
SN2004gs,0.0266267,0.0282767,0.705,0.003,17.346,0.008,-3.8,0.0257,0.0026,-2.553e-06,CSPI,Ia,0.982,0,0,0.20199999999999818,0.006403124237432849,0.0,10.57,10.63,10.7,-1.0,-1.0,-5.279999999999999e-07,,
SN2004gu,0.0458267,0.0468967,1.149,0.011,17.996,0.016,-4.8,0.0223,0.0022,5.125e-05,CSPI,Ia-06gz,0.986,0,0,0.14499999999999957,0.015620499351813309,0.0,9.74,10.02,10.19,-1.0,-1.0,-8.936e-05,,
SN2005A,0.0191267,0.01834,0.963,0.007,16.97,0.018,-3.5,0.0259,0.0026,-8.79e-07,CSPI,Ia,0.976,0,0,0.9839999999999982,0.015620499351813309,0.0,11.07,11.19,11.26,-1.0,-1.0,-6.619999999999999e-06,,
SN2005M,0.0219967,0.02558,1.204,0.003,16.531,0.006,-8.2,0.0273,0.0027,2.44e-06,CSPI,Ia-91T,0.984,0,0,0.017999999999998906,0.004242640687119285,0.0,8.38,8.8,8.92,-1.0,-1.0,1.1700000000000032e-07,,
SN2005W,0.0088833,0.00795,0.938,0.006,14.544,0.011,-7.8,0.0615,0.0062,1.929e-06,CSPI,Ia,0.967,0,0,0.17099999999999937,0.0078102496759066544,0.0,9.75,9.9,10.0,32.83,0.109,3.0109999999999988e-06,N0691,c
SN2005ag,0.07937,0.08008,1.145,0.009,19.164,0.01,-0.9,0.0331,0.0033,2.037e-05,CSPI,Ia,0.982,0,0,-0.030000000000001137,0.0078102496759066544,0.0,10.84,10.9,10.95,-1.0,-1.0,-3.361e-05,,
SN2005al,0.0123933,0.0132867,0.865,0.004,15.667,0.009,-1.1,0.0483,0.0048,2.196e-06,CSPI,Ia,0.909,0,0,-0.051000000000000156,0.007211102550927979,0.0,10.4,10.49,10.63,-1.0,-1.0,-5.68e-06,,
SN2005am,0.0078933,0.0089667,0.764,0.004,14.15,0.01,-0.4,0.0433,0.0043,-7.893e-07,CSPI,Ia,0.934,0,0,0.07399999999999984,0.0078102496759066544,0.0,10.68,10.83,11.26,-1.0,-1.0,3.4198999999999996e-06,,
SN2005be,0.035,0.0355767,0.761,0.023,17.543,0.063,6.3,0.0294,0.0029,-4.735e-05,CSPI,Ia,0.985,0,0,0.053000000000000824,0.0722011080247388,0.0,10.25,10.4,10.5,-1.0,-1.0,9.669999999999994e-06,,
SN2005bg,0.02307,0.0241567,1.061,0.037,16.558,0.067,3.7,0.0264,0.0026,-0.0001302,CSPI,Ia,0.983,0,0,0.04200000000000159,0.06543699259593154,0.0,9.72,9.91,10.02,-1.0,-1.0,5.059999999999998e-05,,
SN2005bl,0.0240433,0.0251133,0.427,0.011,17.803,0.037,-6.5,0.025,0.0025,9.193e-05,CSPI,Ia-91bg,0.98,0,0,0.6890000000000001,0.03360059523282288,0.0,10.89,11.01,11.2,-1.0,-1.0,8.973000000000001e-05,,
SN2005bo,0.0138867,0.0150133,0.881,0.008,15.731,0.01,-0.3,0.0396,0.004,-1.739e-05,CSPI,Ia,0.962,0,0,0.24200000000000088,0.006403124237432849,0.0,10.34,10.5,10.65,-1.0,-1.0,-6.7134e-06,,
SN2005cf,0.0064611,0.007045,0.972,0.005,14.032,0.012,-12.5,0.0968,0.0097,1.358e-06,,,,,,0.005000000000000782,0.01063014581273465,0.0,9.6,9.65,9.6,32.363,0.12,-4.0200000000000005e-06,N5917,c
SN2005el,0.0149,0.0148833,0.865,0.003,15.625,0.013,-7.2,0.0976,0.0098,5.243e-06,CSPI,Ia,0.973,0,0,-0.0730000000000004,0.01063014581273465,0.0,10.7,10.84,11.24,-1.0,-1.0,1.835999999999999e-06,,
SN2005eq,0.0289567,0.02835,1.234,0.007,16.976,0.012,-3.4,0.0629,0.0063,7.03e-06,CSPI,Ia-91T,0.984,0,0,0.03500000000000014,0.008602325267042627,0.0,10.44,10.56,10.65,-1.0,-1.0,-2.376e-06,,
SN2005hc,0.0459067,0.0444967,1.142,0.007,18.061,0.009,-4.7,0.028,0.0028,1.29e-05,CSPI,Ia,0.98,0,0,0.012000000000000455,0.006403124237432849,0.0,10.52,10.6,10.65,-1.0,-1.0,-2.0325e-05,,
SN2005hj,0.0579667,0.05695,1.152,0.019,18.466,0.021,-2.9,0.0329,0.0033,9.81e-05,CSPI,Ia,0.984,0,0,0.0799999999999983,0.015556349186104044,0.0,9.22,9.32,9.38,-1.0,-1.0,-0.00011227,,
SN2005iq,0.03402,0.03293,0.88,0.006,17.473,0.015,-5.5,0.0185,0.0019,1.045e-05,CSPI,Ia,0.965,0,0,-0.03200000000000003,0.01063014581273465,0.0,10.47,10.54,10.6,-1.0,-1.0,7.437000000000002e-06,,
SN2005ir,0.0763067,0.0752333,1.03,0.02,19.038,0.02,-2.7,0.0265,0.0027,-4.359e-05,CSPI,Ia,0.984,0,0,0.05000000000000071,0.014866068747318505,0.0,9.12,9.23,9.37,-1.0,-1.0,0.00011711,,
SN2005kc,0.01511,0.01389,0.932,0.006,15.699,0.014,-10.5,0.1137,0.0114,5.069e-06,CSPI,Ia,0.978,0,0,0.23799999999999955,0.01063014581273465,0.0,10.6,11.06,11.5,-1.0,-1.0,2.507e-06,,
SN2005ke,0.0048767,0.0044833,0.438,0.003,14.249,0.015,-9.8,0.02,0.002,6.039e-06,CSPI,Ia-91bg,0.953,0,0,0.6699999999999999,0.012041594578792296,0.0,10.29,10.43,10.61,-1.0,-1.0,2.7049999999999995e-06,,
SN2005ki,0.0191933,0.02037,0.839,0.003,16.235,0.009,-10.0,0.0267,0.0027,4.326e-06,CSPI,Ia,0.982,0,0,-0.018000000000000682,0.007071067811865475,0.0,10.62,10.8,10.86,-1.0,-1.0,-1.7119999999999994e-06,,
SN2005ku,0.0454067,0.0441833,0.969,0.034,18.075,0.087,0.4,0.0461,0.0046,-0.0001734,CSPI,Ia,0.986,0,0,0.09299999999999997,0.0778010282708397,0.0,9.96,10.04,10.1,-1.0,-1.0,-2.3600000000000045e-06,,
SN2005lu,0.0319867,0.0312933,1.063,0.03,17.512,0.065,9.2,0.0218,0.0022,-3.565e-05,CSPI,Ia,0.975,0,0,0.2469999999999999,0.07200694410957877,0.0,9.68,9.86,10.03,-1.0,-1.0,6.392e-05,,
SN2005mc,0.0252033,0.0260067,0.664,0.02,17.197,0.067,2.4,0.0379,0.0038,-6.914e-05,CSPI,Ia,0.982,0,0,0.31400000000000006,0.06742403132415029,0.0,10.85,10.95,11.1,-1.0,-1.0,-3.559e-05,,
SN2005na,0.0263033,0.0268133,0.971,0.018,16.662,0.011,-1.9,0.0681,0.0068,-6.392e-06,CSPI,Ia,0.976,0,0,-0.019999999999999574,0.0078102496759066544,0.0,10.9,10.97,11.05,-1.0,-1.0,-2.686e-06,,
SN2006D,0.00852,0.00964,0.839,0.003,14.648,0.009,-5.0,0.0394,0.0039,3.366e-06,CSPI,Ia,0.972,0,0,0.09800000000000075,0.006403124237432849,0.0,9.54,9.76,9.85,32.92,0.123,-5.059999999999995e-07,M1337,c
SN2006X,0.0052367,0.00632,0.971,0.004,13.731,0.016,-10.9,0.0228,0.0023,1.388e-06,CSPI,Ia,0.557,0,0,1.2140000000000004,0.01131370849898476,0.0,9.06,9.33,9.43,-1.0,-1.0,-1.928000000000001e-06,,
SN2006ax,0.0167267,0.0179567,1.003,0.004,15.79,0.011,-11.8,0.041,0.0041,3.286e-06,CSPI,Ia,0.981,0,0,-0.07199999999999918,0.0078102496759066544,0.0,10.79,10.92,11.04,-1.0,-1.0,9.119999999999999e-07,,
SN2006bd,0.0257067,0.0267967,0.398,0.009,17.919,0.036,-1.4,0.0231,0.0023,6.574e-05,CSPI,Ia-91bg,0.981,0,0,0.7119999999999997,0.03911521443121589,0.0,10.6,10.77,10.8,-1.0,-1.0,3.3899999999999997e-06,,
SN2006bh,0.01084,0.0104933,0.828,0.003,14.986,0.009,-4.9,0.0228,0.0023,1.232e-06,CSPI,Ia,0.969,0,0,-0.009999999999999787,0.00565685424949238,0.0,10.31,10.43,10.49,33.246,0.117,-1.5089999999999994e-06,N7329,c
SN2006br,0.0245733,0.0255233,0.962,0.032,17.892,0.083,7.5,0.0197,0.002,-0.0002797,CSPI,Ia,0.982,0,0,0.8490000000000002,0.09626006440887104,0.0,10.87,10.97,11.36,-1.0,-1.0,6.916e-05,,
SN2006ef,0.01787,0.0170267,0.857,0.02,16.147,0.066,10.0,0.0201,0.002,1.406e-05,CSPI,Ia,0.943,0,0,-0.023999999999999133,0.08070935509592429,0.0,10.18,10.35,10.49,-1.0,-1.0,-3.0235e-05,,
SN2006ej,0.0204367,0.0193367,0.842,0.018,16.366,0.065,10.2,0.0296,0.003,1.6e-05,CSPI,Ia,0.971,0,0,0.028999999999999915,0.060216276869298396,0.0,10.48,10.63,10.7,-1.0,-1.0,-8.312000000000001e-06,,
SN2006eq,0.0494667,0.0483667,0.649,0.023,18.592,0.073,2.1,0.0416,0.0042,-9.85e-05,CSPI,Ia,0.973,0,0,0.3099999999999987,0.07742092740338365,0.0,9.79,10.19,10.65,-1.0,-1.0,-5.1689e-05,,
SN2006et,0.0221567,0.0216467,1.18,0.006,16.336,0.012,-7.4,0.0165,0.0017,1.555e-05,CSPI,Ia,0.983,0,0,0.14100000000000001,0.0078102496759066544,0.0,10.7,10.8,10.88,-1.0,-1.0,-7.0337999999999995e-06,,
SN2006ev,0.0287133,0.0276,0.843,0.021,17.479,0.071,3.8,0.0759,0.0076,5.853e-06,CSPI,Ia,0.924,0,0,0.1750000000000007,0.07021395872616784,0.0,10.65,10.75,10.91,-1.0,-1.0,-2.8846e-05,,
SN2006fw,0.0829433,0.0819867,0.922,0.045,19.056,0.083,-2.2,0.028,0.0028,-0.0001672,CSPI,Ia,0.001,0,0,0.1039999999999992,0.06155485358604957,0.0,9.32,9.42,9.62,-1.0,-1.0,0.0002212,,
SN2006gj,0.0283333,0.0269667,0.708,0.007,17.529,0.017,-1.7,0.0705,0.007,-2.968e-05,CSPI,Ia,0.983,0,0,0.2980000000000018,0.012041594578792296,0.0,10.36,10.53,10.6,-1.0,-1.0,-1.3649999999999996e-06,,
SN2006gt,0.04474,0.0436433,0.575,0.01,18.359,0.019,-2.3,0.0323,0.0032,-4.636e-06,CSPI,Ia-91bg,0.982,0,0,0.24899999999999878,0.016278820596099707,0.0,9.87,9.93,9.94,-1.0,-1.0,-1.645e-05,,
