sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,Ho,eHo,meth,BV,eBV,covBV_M,host,dist,edist,m,ml,mu,sample,subtype,quality,caltype,covBVs
PS1-14ra,0.0280833,0.0287982,0.777,0.006,16.913,0.014,-0.1,0.023,0.0023,-1.546e-05,,,,0.05999999999999872,0.006403124237432849,0.0,N/A,-1.0,-1.0,10.65,10.35,10.72,CSPII,Ia,0.984,none,-7.999999999999754e-09
PS1-14rx,0.0669536,0.0680019,0.846,0.018,19.005,0.065,-8.1,0.0266,0.0027,-2.611e-06,,,,-0.021999999999998465,0.02690724809414742,0.0,N/A,-1.0,-1.0,9.89,9.77,10.06,CSPII,Ia,0.981,none,8.079999999999999e-05
PS1-14xw,0.0245,0.0245957,1.039,0.01,16.229,0.014,-0.2,0.0656,0.0066,-2.739e-05,,,,0.0259999999999998,0.006403124237432849,0.0,N/A,-1.0,-1.0,11.24,11.11,11.71,CSPII,Ia,0.975,none,2.213e-05
PS15sv,0.033277,0.0335844,0.993,0.005,16.95,0.015,-2.9,0.0782,0.0078,-1.473e-05,,,,0.010999999999999233,0.009219544457292887,0.0,N/A,-1.0,-1.0,8.31,8.2,8.56,CSPII,Ia-91T,0.977,none,-4.999999999999986e-07
PTF11pbp,0.0289033,0.0276702,1.15,0.007,16.691,0.017,-4.4,0.0507,0.0051,2.343e-06,,,,0.054999999999999716,0.007071067811865475,0.0,N/A,-1.0,-1.0,10.88,10.73,10.97,CSPII,Ia,0.984,none,-2.4789e-05
PTF11ppn,0.0672534,0.0661869,0.641,0.037,18.166,0.169,8.4,0.132,0.0132,-0.001738,,,,0.18900000000000006,0.17917589123540031,0.0,N/A,-1.0,-1.0,11.02,10.96,11.06,CSPII,Ia-91bg,0.154,none,0.00017540000000000004
PTF11pra,0.0175433,0.0167242,0.439,0.017,16.582,0.061,2.0,0.0243,0.0024,-1.374e-05,,,,0.9200000000000017,0.06,0.0,N/A,-1.0,-1.0,10.68,10.57,10.75,CSPII,Ia,0.981,none,-3.1940000000000003e-06
PTF11qnr,0.0162167,0.0149985,0.806,0.008,15.524,0.025,-1.3,0.0556,0.0056,4.783e-05,,,,0.2550000000000008,0.009219544457292887,0.0,N/A,-1.0,-1.0,10.65,10.38,10.7,CSPII,Ia,0.979,none,4.969999999999998e-06
PTF13duj,0.01694,0.015867,1.156,0.014,15.608,0.118,11.0,0.0665,0.0067,0.0001701,,,,0.057000000000000384,0.012041594578792296,0.0,N/A,-1.0,-1.0,10.73,10.61,10.82,CSPII,Ia,0.965,none,-5.6117e-05
PTF13dym,0.04213,0.0409061,0.509,0.024,16.605,0.145,1.2,0.0379,0.0038,-0.001046,,,,0.09600000000000009,0.04951767361255979,0.0,N/A,-1.0,-1.0,9.45,9.25,9.88,CSPII,Ia-91bg,0.0,none,-9.81e-05
PTF13ebh,0.01326,0.012484,0.636,0.004,15.081,0.022,-12.0,0.0668,0.0067,-1.312e-05,,,,0.12299999999999933,0.009219544457292887,0.0,NGC0890,33.296,0.081,10.86,10.809999999999999,10.91,N/A,N/A,0.0,s,-1.099e-06
PTF13efe,0.0749481,0.0758465,1.145,0.011,18.88,0.023,-5.0,0.0213,0.0021,6.189e-06,,,,-0.01699999999999946,0.01345362404707371,0.0,N/A,-1.0,-1.0,11.5,11.5,11.5,CSPII,Ia,0.987,none,-6.7259e-05
PTF13ez,0.0434699,0.0445375,0.897,0.011,17.76,0.033,-1.8,0.0429,0.0043,-7.49e-05,,,,0.15900000000000247,0.02968164415931166,0.0,N/A,-1.0,-1.0,9.71,9.52,9.84,CSPII,Ia,0.982,none,4.581e-05
PTF14aje,0.0276708,0.0282271,0.684,0.005,17.072,0.016,-2.2,0.1524,0.0152,-3.073e-05,,,,0.6080000000000005,0.010816653826391968,0.0,N/A,-1.0,-1.0,10.78,10.64,10.84,CSPII,Ia,0.978,none,-2.0989999999999997e-06
PTF14gnl,0.05369,0.0525349,1.021,0.006,18.03,0.028,-13.4,0.0268,0.0027,4.833e-05,,,,-0.05500000000000327,0.008602325267042627,0.0,N/A,-1.0,-1.0,10.06,9.86,10.5,CSPII,Ia,0.984,none,8.509999999999998e-06
PTF14w,0.0188933,0.0200839,0.742,0.004,16.315,0.013,-3.3,0.0205,0.0021,-1.874e-06,,,,0.055999999999997385,0.005,0.0,N/A,-1.0,-1.0,9.14,8.96,9.3,CSPII,Ia,0.975,none,2.896e-06
PTF14yw,0.01697,0.0180604,0.856,0.008,16.458,0.044,-4.2,0.0255,0.0026,5.894e-06,,,,-0.038000000000000256,0.01063014581273465,0.0,N/A,-1.0,-1.0,10.24,10.16,10.59,CSPII,Ia,0.411,none,-2.5899999999999972e-06
PTF14yy,0.0429703,0.0440905,0.837,0.01,18.027,0.02,-6.8,0.0198,0.002,4.347e-06,,,,0.2560000000000002,0.014866068747318505,0.0,N/A,-1.0,-1.0,9.41,9.25,9.52,CSPII,Ia,0.986,none,2.980000000000002e-06
SN1980N,0.005871,0.0055142,0.904,0.006,12.684,0.082,4.6,0.018,0.0018,3.07e-05,31.817,0.394,Ho,0.07000000000000028,0.012041594578792296,0.0,NGC1316,31.59,0.05,11.514,11.482,11.546,N/A,N/A,0.0,s,4.924800000000001e-06
SN1981D,0.005871,0.0055129,0.793,0.033,12.861,0.087,3.2,0.0178,0.0018,3.643e-06,31.817,0.394,Ho,0.17300000000000004,0.03847076812334269,0.0,NGC1316,31.59,0.05,11.514,11.482,11.546,N/A,N/A,0.0,s,3.280000000000001e-05
SN1996X,0.00689,0.0078918,0.917,0.013,13.434,0.15,11.6,0.0596,0.006,-6.259e-05,32.596,0.275,Ho,-0.03300000000000125,0.018867962264113206,0.0,NGC5061,32.26,0.19,11.057,10.971,11.143,N/A,N/A,0.0,s,1.9609999999999997e-05
SN2000cx,0.007929,0.0068909,0.842,0.005,13.878,0.028,-8.1,0.0698,0.007,1.163e-05,32.301,0.315,Ho,0.05299999999999905,0.0078102496759066544,0.0,NGC0524,32.212,0.09,10.929,10.84,11.018,N/A,N/A,0.0,s,1.5359999999999985e-06
SN2003hv,0.005601,0.0050833,0.788,0.019,12.757,0.07,1.7,0.0133,0.0013,-3.858e-06,31.641,0.427,Ho,-0.08000000000000007,0.060802960454241044,0.0,NGC1201,31.347,0.074,10.565,10.504999999999999,10.625,N/A,N/A,0.0,s,-1.5009999999999997e-06
SN2004ef,0.0309667,0.02977,0.84,0.003,17.029,0.089,5.0,0.0458,0.0046,3.782e-06,,,,0.11699999999999733,0.00565685424949238,0.0,N/A,-1.0,-1.0,10.74,10.63,10.8,CSPI,Ia,0.981,none,-1.3499999999999955e-07
SN2004eo,0.01569,0.0147367,0.869,0.005,15.475,0.013,-9.3,0.093,0.0093,8.202e-06,,,,0.02499999999999858,0.009219544457292887,0.0,N/A,-1.0,-1.0,11.16,11.03,11.35,CSPI,Ia,0.979,none,4.8419999999999996e-06
SN2004ey,0.0157767,0.0146267,1.009,0.003,15.452,0.007,-3.9,0.1197,0.012,2.508e-07,,,,-0.051000000000000156,0.004242640687119285,0.0,N/A,-1.0,-1.0,10.06,9.76,10.41,CSPI,Ia,0.973,none,2.31e-07
SN2004gs,0.0266267,0.0282767,0.705,0.003,16.924,0.07,6.1,0.0257,0.0026,-2.017e-05,,,,0.20199999999999818,0.006403124237432849,0.0,N/A,-1.0,-1.0,10.63,10.57,10.7,CSPI,Ia,0.982,none,-5.279999999999999e-07
SN2004gu,0.0458267,0.0468967,1.149,0.011,17.727,0.095,12.2,0.0223,0.0022,6.887e-05,,,,0.14499999999999957,0.015620499351813309,0.0,N/A,-1.0,-1.0,10.02,9.74,10.19,CSPI,Ia-06gz,0.986,none,-8.936e-05
SN2005A,0.0191267,0.01834,0.963,0.007,16.267,0.089,5.3,0.0259,0.0026,5.541e-06,,,,0.9839999999999982,0.015620499351813309,0.0,N/A,-1.0,-1.0,11.19,11.07,11.26,CSPI,Ia,0.976,none,-6.619999999999999e-06
SN2005M,0.0219967,0.02558,1.204,0.003,16.552,0.012,-8.1,0.0273,0.0027,1.281e-06,,,,0.017999999999998906,0.004242640687119285,0.0,N/A,-1.0,-1.0,8.8,8.38,8.92,CSPI,Ia-91T,0.984,none,1.1700000000000032e-07
SN2005ag,0.07937,0.08008,1.145,0.009,19.136,0.09,5.1,0.0331,0.0033,-1.501e-05,,,,-0.030000000000001137,0.0078102496759066544,0.0,N/A,-1.0,-1.0,10.9,10.84,10.95,CSPI,Ia,0.982,none,-3.361e-05
SN2005al,0.0123933,0.0132867,0.865,0.004,15.452,0.067,3.0,0.0483,0.0048,-1.011e-06,,,,-0.051000000000000156,0.007211102550927979,0.0,N/A,-1.0,-1.0,10.49,10.4,10.63,CSPI,Ia,0.909,none,-5.68e-06
SN2005am,0.0078933,0.0089667,0.764,0.004,13.873,0.054,24.5,0.0433,0.0043,5.238e-05,,,,0.07399999999999984,0.0078102496759066544,0.0,N/A,-1.0,-1.0,10.83,10.68,11.26,CSPI,Ia,0.934,none,3.4198999999999996e-06
SN2005el,0.0149,0.0148833,0.865,0.003,15.517,0.01,-6.2,0.0976,0.0098,3.947e-06,,,,-0.0730000000000004,0.01063014581273465,0.0,N/A,-1.0,-1.0,10.84,10.7,11.24,CSPI,Ia,0.973,none,1.835999999999999e-06
SN2005eq,0.0289567,0.02835,1.234,0.007,16.752,0.015,-6.4,0.0629,0.0063,-5.91e-06,,,,0.03500000000000014,0.008602325267042627,0.0,N/A,-1.0,-1.0,10.56,10.44,10.65,CSPI,Ia-91T,0.984,none,-2.376e-06
SN2005hc,0.0459067,0.0444967,1.142,0.007,17.941,0.017,-5.8,0.028,0.0028,4.455e-06,,,,0.012000000000000455,0.006403124237432849,0.0,N/A,-1.0,-1.0,10.6,10.52,10.65,CSPI,Ia,0.98,none,-2.0325e-05
SN2005hj,0.0579667,0.05695,1.152,0.019,18.154,0.058,-2.0,0.0329,0.0033,2.57e-06,,,,0.0799999999999983,0.015556349186104044,0.0,N/A,-1.0,-1.0,9.32,9.22,9.38,CSPI,Ia,0.984,none,-0.00011227
SN2005iq,0.03402,0.03293,0.88,0.006,17.284,0.023,-2.5,0.0185,0.0019,7.954e-06,,,,-0.03200000000000003,0.01063014581273465,0.0,N/A,-1.0,-1.0,10.54,10.47,10.6,CSPI,Ia,0.965,none,7.437000000000002e-06
SN2005kc,0.01511,0.01389,0.932,0.006,15.417,0.012,-9.5,0.1137,0.0114,1.257e-05,,,,0.23799999999999955,0.01063014581273465,0.0,N/A,-1.0,-1.0,11.06,10.6,11.5,CSPI,Ia,0.978,none,2.507e-06
SN2005ke,0.0048767,0.0044833,0.438,0.003,14.023,0.009,-7.8,0.02,0.002,3.124e-06,,,,0.6699999999999999,0.012041594578792296,0.0,N/A,-1.0,-1.0,10.43,10.29,10.61,CSPI,Ia-91bg,0.953,none,2.7049999999999995e-06
SN2005ki,0.0191933,0.02037,0.839,0.003,16.132,0.009,-9.1,0.0267,0.0027,3.647e-06,,,,-0.018000000000000682,0.007071067811865475,0.0,N/A,-1.0,-1.0,10.8,10.62,10.86,CSPI,Ia,0.982,none,-1.7119999999999994e-06
SN2005na,0.0263033,0.0268133,0.971,0.018,16.539,0.068,16.1,0.0681,0.0068,2.727e-05,,,,-0.019999999999999574,0.0078102496759066544,0.0,N/A,-1.0,-1.0,10.97,10.9,11.05,CSPI,Ia,0.976,none,-2.686e-06
SN2006D,0.00852,0.00964,0.839,0.003,14.563,0.043,16.0,0.0394,0.0039,1.215e-05,,,,0.09800000000000075,0.006403124237432849,0.0,N/A,-1.0,-1.0,9.76,9.54,9.85,CSPI,Ia,0.972,none,-5.059999999999995e-07
SN2006X,0.0052367,0.00632,0.971,0.004,12.847,0.014,-9.7,0.0228,0.0023,6.628e-06,,,,1.2140000000000004,0.01131370849898476,0.0,N/A,-1.0,-1.0,9.33,9.06,9.43,CSPI,Ia,0.557,none,-1.928000000000001e-06
SN2006ax,0.0167267,0.0179567,1.003,0.004,15.7,0.008,-9.7,0.041,0.0041,5.24e-06,,,,-0.07199999999999918,0.0078102496759066544,0.0,N/A,-1.0,-1.0,10.92,10.79,11.04,CSPI,Ia,0.981,none,9.119999999999999e-07
SN2006bd,0.0257067,0.0267967,0.398,0.009,17.651,0.041,-2.3,0.0231,0.0023,5.867e-05,,,,0.7119999999999997,0.03911521443121589,0.0,N/A,-1.0,-1.0,10.77,10.6,10.8,CSPI,Ia-91bg,0.981,none,3.3899999999999997e-06
SN2006bh,0.01084,0.0104933,0.828,0.003,14.823,0.011,-3.9,0.0228,0.0023,2.609e-06,,,,-0.009999999999999787,0.00565685424949238,0.0,N/A,-1.0,-1.0,10.43,10.31,10.49,CSPI,Ia,0.969,none,-1.5089999999999994e-06
SN2006br,0.0245733,0.0255233,0.962,0.032,16.91,0.111,4.4,0.0197,0.002,-0.00021,,,,0.8490000000000002,0.09626006440887104,0.0,N/A,-1.0,-1.0,10.97,10.87,11.36,CSPI,Ia,0.982,none,6.916e-05
SN2006dd,0.005867,0.0055089,0.951,0.003,12.751,0.008,-10.6,0.0179,0.0018,3.847e-06,31.815,0.394,Ho,-0.08800000000000097,0.007071067811865475,0.0,NGC1316,31.59,0.05,11.514,11.482,11.546,N/A,N/A,0.0,s,-1.4750000000000003e-06
SN2006ej,0.0204367,0.0193367,0.842,0.018,15.992,0.064,4.2,0.0296,0.003,-2.631e-06,,,,0.028999999999999915,0.060216276869298396,0.0,N/A,-1.0,-1.0,10.63,10.48,10.7,CSPI,Ia,0.971,none,-8.312000000000001e-06
SN2006eq,0.0494667,0.0483667,0.649,0.023,18.253,0.102,1.1,0.0416,0.0042,-0.0003139,,,,0.3099999999999987,0.07742092740338365,0.0,N/A,-1.0,-1.0,10.19,9.79,10.65,CSPI,Ia,0.973,none,-5.1689e-05
SN2006et,0.0221567,0.0216467,1.18,0.006,16.187,0.01,-11.4,0.0165,0.0017,1.276e-05,,,,0.14100000000000001,0.0078102496759066544,0.0,N/A,-1.0,-1.0,10.8,10.7,10.88,CSPI,Ia,0.983,none,-7.0337999999999995e-06
SN2006ev,0.0287133,0.0276,0.843,0.021,17.103,0.075,2.8,0.0759,0.0076,-8.604e-07,,,,0.1750000000000007,0.07021395872616784,0.0,N/A,-1.0,-1.0,10.75,10.65,10.91,CSPI,Ia,0.924,none,-2.8846e-05
SN2006gj,0.0283333,0.0269667,0.708,0.007,16.957,0.086,2.3,0.0705,0.007,-5.976e-05,,,,0.2980000000000018,0.012041594578792296,0.0,N/A,-1.0,-1.0,10.53,10.36,10.6,CSPI,Ia,0.983,none,-1.3649999999999996e-06
SN2006gt,0.04474,0.0436433,0.575,0.01,18.116,0.045,-1.3,0.0323,0.0032,-0.000254,,,,0.24899999999999878,0.016278820596099707,0.0,N/A,-1.0,-1.0,9.93,9.87,9.94,CSPI,Ia-91bg,0.982,none,-1.645e-05
SN2006hb,0.0153333,0.0153367,0.685,0.018,15.521,0.077,3.4,0.0236,0.0024,-7.893e-05,,,,0.1850000000000005,0.0660302960768767,0.0,N/A,-1.0,-1.0,10.22,10.05,10.39,CSPI,Ia-86G,0.98,none,-1.7909e-05
SN2006hx,0.0454633,0.0444033,0.977,0.012,17.808,0.053,-8.1,0.0256,0.0026,7.932e-05,,,,0.11599999999999966,0.03538361202590826,0.0,N/A,-1.0,-1.0,10.31,10.12,10.44,CSPI,Ia,0.981,none,-1.909999999999999e-05
SN2006is,0.0313333,0.03142,1.092,0.037,16.908,0.082,1.5,0.029,0.0029,-0.0001788,,,,0.038999999999997925,0.06720119046564577,0.0,N/A,-1.0,-1.0,7.1,6.68,7.41,CSPI,Ia,0.983,none,-0.00012373
SN2006kf,0.0212867,0.0208,0.771,0.005,16.245,0.009,-3.8,0.2097,0.021,9.228e-07,,,,0.0259999999999998,0.009219544457292887,0.0,N/A,-1.0,-1.0,10.82,10.59,10.9,CSPI,Ia,0.981,none,3.766e-06
SN2006mr,0.0058667,0.00551,0.335,0.004,14.052,0.025,-3.4,0.0179,0.0018,2.662e-05,,,,0.7310000000000016,0.02758622844826744,0.0,N/A,-1.0,-1.0,11.19,10.79,11.38,CSPI,Ia-91bg,0.947,none,-1.0749999999999999e-05
SN2006ob,0.0591967,0.0582567,0.743,0.009,18.446,0.09,2.9,0.0285,0.0029,-1.881e-05,,,,0.1109999999999971,0.014866068747318505,0.0,N/A,-1.0,-1.0,11.26,11.08,11.33,CSPI,Ia,0.986,none,1.9908e-05
SN2006os,0.0327867,0.03208,0.944,0.02,17.22,0.027,-0.9,0.1254,0.0125,-5.642e-05,,,,0.31700000000000017,0.065,0.0,N/A,-1.0,-1.0,10.81,10.66,10.87,CSPI,Ia,0.982,none,-4.1e-06
SN2007A,0.0176333,0.0164633,1.047,0.02,15.721,0.014,-5.6,0.0631,0.0063,5.979e-06,,,,0.2010000000000005,0.01,0.0,N/A,-1.0,-1.0,10.57,10.57,10.57,CSPI,Ia,0.98,none,0.00012521
SN2007N,0.01287,0.014,0.375,0.006,16.307,0.069,0.3,0.0343,0.0034,5.13e-06,,,,0.9529999999999994,0.023600847442411893,0.0,N/A,-1.0,-1.0,10.19,10.1,10.57,CSPI,Ia-91bg,0.976,none,6.75e-06
SN2007S,0.01387,0.0150233,1.187,0.007,15.356,0.009,-11.7,0.0224,0.0022,9.874e-06,,,,0.36599999999999966,0.010816653826391968,0.0,N/A,-1.0,-1.0,9.98,9.63,10.16,CSPI,Ia-91T,0.973,none,-8.710000000000002e-07
SN2007ai,0.03164,0.0319867,1.195,0.015,16.923,0.017,-5.6,0.286,0.0286,-6.417e-05,,,,0.1819999999999986,0.013601470508735444,0.0,N/A,-1.0,-1.0,9.91,9.76,10.18,CSPI,Ia-91T,0.985,none,-2.3566e-05
SN2007al,0.0121133,0.0132629,0.385,0.006,16.129,0.072,0.6,0.036,0.0036,2.384e-05,,,,0.6999999999999993,0.025,0.0,N/A,-1.0,-1.0,9.47,9.33,9.91,CSPI,Ia-91bg,0.971,none,3.759999999999998e-06
SN2007as,0.01756,0.0178967,0.89,0.004,15.874,0.011,-6.6,0.1229,0.0123,2.002e-06,,,,0.08000000000000007,0.008602325267042627,0.0,N/A,-1.0,-1.0,10.36,10.24,10.43,CSPI,Ia,0.98,none,-8.719e-07
SN2007ba,0.0384867,0.0390533,0.556,0.008,17.588,0.03,-6.1,0.0315,0.0032,2.47e-06,,,,0.32800000000000296,0.019209372712298545,0.0,N/A,-1.0,-1.0,10.99,10.9,11.06,CSPI,Ia-91bg,0.796,none,-1.856e-05
SN2007bc,0.0207567,0.02185,0.909,0.005,16.325,0.014,-3.9,0.0186,0.0019,2.663e-06,,,,0.03300000000000125,0.008602325267042627,0.0,N/A,-1.0,-1.0,10.73,10.65,10.78,CSPI,Ia,0.983,none,5.470000000000002e-07
SN2007bd,0.0309967,0.0318267,0.917,0.006,17.123,0.028,-8.6,0.0289,0.0029,8.344e-06,,,,-0.0010000000000012221,0.015620499351813309,0.0,N/A,-1.0,-1.0,10.82,10.68,10.89,CSPI,Ia,0.984,none,1.4954999999999998e-05
SN2007bm,0.0062067,0.00744,0.906,0.006,13.845,0.01,-7.8,0.0354,0.0035,1.842e-05,,,,0.4209999999999994,0.01,0.0,N/A,-1.0,-1.0,10.27,10.09,10.72,CSPI,Ia,0.958,none,2.7202e-06
SN2007ca,0.0140567,0.01507,1.077,0.012,15.638,0.014,-10.0,0.057,0.0057,1.648e-05,,,,0.2599999999999998,0.009899494936611667,0.0,N/A,-1.0,-1.0,9.69,9.52,9.74,CSPI,Ia,0.979,none,1.5218999999999998e-05
SN2007hj,0.0141033,0.0128818,0.636,0.005,15.537,0.069,0.6,0.0747,0.0075,-6.085e-05,,,,0.21600000000000108,0.009219544457292887,0.0,N/A,-1.0,-1.0,10.45,10.3,10.89,CSPI,Ia,0.961,none,-5.622e-06
SN2007jd,0.0725833,0.0719112,0.893,0.035,18.984,0.126,2.4,0.066,0.0066,-0.0006733,,,,0.09499999999999886,0.07981227975693966,0.0,N/A,-1.0,-1.0,10.13,9.93,10.18,CSPI,Ia,0.942,none,-7.623e-05
SN2007jg,0.0371067,0.0365767,0.94,0.006,17.614,0.017,-3.0,0.0904,0.009,-1.475e-05,,,,0.029999999999997584,0.01,0.0,N/A,-1.0,-1.0,8.1,7.95,8.22,CSPI,Ia,0.974,none,3.5699999999999997e-06
SN2007le,0.0067167,0.0055233,1.019,0.004,13.751,0.008,-10.8,0.0287,0.0029,4.094e-06,,,,0.2919999999999998,0.006403124237432849,0.0,N/A,-1.0,-1.0,9.85,9.71,10.16,CSPI,Ia,0.955,none,3.0399999999999997e-06
SN2007nq,0.045,0.0439033,0.78,0.006,17.536,0.082,0.8,0.0312,0.0031,3.537e-05,,,,0.05900000000000105,0.011401754250991379,0.0,N/A,-1.0,-1.0,11.21,11.15,11.28,CSPI,Ia,0.952,none,5.108e-06
SN2007on,0.00649,0.0061833,0.588,0.003,13.146,0.014,-9.5,0.0098,0.001,-1.224e-05,31.998,0.004,Ho,0.11599999999999966,0.012041594578792296,0.0,NGC1404,31.526,0.072,10.932,10.897,10.967,N/A,N/A,0.0,s,1.651e-06
SN2007so,0.0296667,0.0289285,0.923,0.009,15.918,0.081,30.9,0.1161,0.0116,0.0001201,,,,0.012000000000000455,0.07803204469959761,0.0,N/A,-1.0,-1.0,10.97,10.89,11.07,CSPI,Ia,,none,0.00012331
SN2007st,0.0211667,0.0206508,0.862,0.022,15.63,0.098,4.3,0.0143,0.0014,2.861e-05,,,,0.1479999999999997,0.08360023923410746,0.0,N/A,-1.0,-1.0,10.95,10.85,11.4,CSPI,Ia,0.951,none,-6.425e-05
SN2007ux,0.0308933,0.031996,0.624,0.006,17.359,0.021,-0.4,0.0386,0.0039,-8.511e-05,,,,0.21300000000000097,0.01,0.0,N/A,-1.0,-1.0,10.3,10.23,10.34,CSPI,Ia-86G,0.981,none,-1.3426e-05
SN2008C,0.01661,0.0170667,0.969,0.024,15.733,0.087,5.4,0.072,0.0072,-7.285e-05,,,,0.16500000000000092,0.07440430095095309,0.0,N/A,-1.0,-1.0,10.49,10.35,10.55,CSPI,Ia,0.981,none,-1.7829999999999997e-05
SN2008O,0.03883,0.039318,0.683,0.01,17.721,0.04,-2.2,0.0763,0.0076,-0.0001747,,,,0.31400000000000006,0.016401219466856725,0.0,N/A,-1.0,-1.0,11.33,11.12,11.59,CSPI,Ia,0.986,none,-1.83118e-05
SN2008R,0.0134933,0.0128867,0.633,0.006,15.289,0.079,0.6,0.0618,0.0062,-0.0001152,,,,0.11999999999999922,0.01063014581273465,0.0,NGC1200,33.66,0.08,11.25,11.13,11.37,N/A,N/A,0.0,s,-7.641e-06
SN2008ar,0.02613,0.0272474,0.975,0.004,16.807,0.016,-6.1,0.0311,0.0031,7.658e-06,,,,0.009000000000000341,0.011401754250991379,0.0,N/A,-1.0,-1.0,10.21,10.11,10.28,CSPI,Ia,0.984,none,5.309999999999998e-06
SN2008bc,0.0150767,0.0157067,1.058,0.005,15.542,0.008,-6.0,0.2251,0.0225,3.379e-06,,,,-0.02800000000000047,0.00565685424949238,0.0,N/A,-1.0,-1.0,10.1,9.95,10.23,CSPI,Ia,0.979,none,1.2013e-05
SN2008bd,0.0300833,0.0312803,0.656,0.04,16.372,0.152,24.4,0.0751,0.0075,-0.002889,,,,0.34499999999999886,0.06762396025078685,0.0,N/A,-1.0,-1.0,11.07,10.99,11.13,CSPI,Ia-91bg,,none,-0.0017958000000000002
SN2008bf,0.0234837,0.0245538,1.019,0.004,16.419,0.008,-8.1,0.0296,0.003,1.247e-06,,,,-0.045999999999999375,0.006403124237432849,0.0,N/A,-1.0,-1.0,11.4,11.4,11.4,CSPI,Ia,0.982,none,5.211999999999999e-06
SN2008bi,0.0134367,0.0143882,0.512,0.023,15.621,0.108,9.5,0.037,0.0037,-0.0002708,,,,0.5790000000000006,0.1292478239662084,0.0,N/A,-1.0,-1.0,10.38,10.27,10.48,CSPI,Ia-91bg,0.972,none,-5.9090000000000005e-05
SN2008bq,0.0339767,0.0344433,1.146,0.009,17.099,0.078,2.9,0.0774,0.0077,1.014e-05,,,,0.045000000000001705,0.009219544457292887,0.0,N/A,-1.0,-1.0,10.82,10.74,10.91,CSPI,Ia,0.983,none,-4.504e-05
SN2008bt,0.0153533,0.0165796,0.492,0.008,16.278,0.099,20.8,0.0445,0.0044,7.087e-05,,,,0.5249999999999986,0.01345362404707371,0.0,N/A,-1.0,-1.0,10.85,10.7,10.91,CSPI,Ia-91bg,0.979,none,-1.492e-05
SN2008bz,0.0602367,0.0613265,0.944,0.023,18.812,0.083,28.4,0.0226,0.0023,-3.141e-05,,,,-0.04299999999999926,0.06420280367709809,0.0,N/A,-1.0,-1.0,10.5,10.44,10.56,CSPI,Ia,0.957,none,-1.3999999999999527e-07
SN2008cc,0.0103867,0.0101222,0.809,0.018,14.25,0.036,14.5,0.0355,0.0035,1.694e-05,,,,0.15999999999999837,0.0660302960768767,0.0,N/A,-1.0,-1.0,10.48,10.4,10.64,CSPI,Ia,0.965,none,-1.845e-05
SN2008cf,0.0459682,0.0468269,1.093,0.036,17.979,0.11,1.9,0.0577,0.0058,-0.0001017,,,,0.010999999999999233,0.06280127387243033,0.0,N/A,-1.0,-1.0,8.73,8.59,8.97,CSPI,Ia,0.986,none,-5.8689999999999995e-05
SN2008ff,0.0191933,0.0186725,1.087,0.009,15.955,0.032,20.6,0.0436,0.0044,1.713e-05,,,,0.17900000000000027,0.018357559750685818,0.0,N/A,-1.0,-1.0,10.8,10.8,10.8,CSPI,Ia,0.981,none,-4.120000000000001e-06
SN2008fl,0.0199,0.0194172,0.882,0.017,15.96,0.065,4.0,0.1569,0.0157,-5.659e-06,,,,0.05599999999999916,0.05940538696111658,0.0,N/A,-1.0,-1.0,10.94,10.87,11.01,CSPI,Ia,0.982,none,-4.447000000000001e-06
SN2008fp,0.00566,0.0062867,1.103,0.008,13.322,0.006,-4.5,0.1686,0.0169,-3.616e-06,,,,0.4800000000000004,0.006403124237432849,0.0,N/A,-1.0,-1.0,10.2,10.15,10.63,CSPI,Ia,0.944,none,-1.1782e-05
SN2008fr,0.0389733,0.0379062,1.043,0.026,17.712,0.093,5.8,0.0395,0.004,-0.0001387,,,,-0.00999999999999801,0.07200694410957877,0.0,N/A,-1.0,-1.0,7.73,7.58,7.92,CSPI,Ia,0.981,none,4.157e-05
SN2008fu,0.05237,0.0518336,0.824,0.024,17.956,0.086,12.1,0.018,0.0018,0.0001235,,,,-0.03400000000000247,0.08736704184073076,0.0,N/A,-1.0,-1.0,10.72,10.66,10.8,CSPI,Ia,0.986,none,-0.000104288
SN2008fw,0.0085433,0.0095066,1.117,0.024,14.47,0.041,17.1,0.1123,0.0112,7.256e-05,,,,0.07600000000000051,0.0658027355054484,0.0,N/A,-1.0,-1.0,10.49,10.31,10.61,CSPI,Ia-91T,0.971,none,-0.00010585999999999999
SN2008gg,0.0319933,0.0310658,1.058,0.026,17.032,0.076,6.5,0.0195,0.002,-0.0001429,,,,0.14999999999999858,0.06420280367709809,0.0,N/A,-1.0,-1.0,10.73,10.63,10.82,CSPI,Ia,0.984,none,2.1629999999999995e-05
SN2008gl,0.0339933,0.0329459,0.867,0.005,17.142,0.017,-0.9,0.0244,0.0024,-3.126e-06,,,,0.028000000000002245,0.0078102496759066544,0.0,N/A,-1.0,-1.0,10.86,10.81,10.92,CSPI,Ia,0.977,none,-3.1259999999999994e-06
SN2008gp,0.03339,0.0328233,0.979,0.004,17.082,0.018,-9.5,0.1042,0.0104,1.145e-05,,,,-0.029999999999997584,0.01063014581273465,0.0,N/A,-1.0,-1.0,10.73,10.64,10.79,CSPI,Ia,0.985,none,-2.4489999999999998e-06
