,sn,res_u,eres_u,zcmb_u,st_u,B-V_u,m_u,ml_u,mu_u,sample_u,cal_u,res_B,eres_B,zcmb_B,st_B,B-V_B,m_B,ml_B,mu_B,sample_B,cal_B,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal,res_V,eres_V,zcmb_V,st_V,B-V_V,m_V,ml_V,mu_V,sample_V,cal_V,res_r,eres_r,zcmb_r,st_r,B-V_r,m_r,ml_r,mu_r,sample_r,cal_r,res_i,eres_i,zcmb_i,st_i,B-V_i,m_i,ml_i,mu_i,sample_i,cal_i,res_Y,eres_Y,zcmb_Y,st_Y,B-V_Y,m_Y,ml_Y,mu_Y,sample_Y,cal_Y,res_J,eres_J,zcmb_J,st_J,B-V_J,m_J,ml_J,mu_J,sample_J,cal_J,res_H,eres_H,zcmb_H,st_H,B-V_H,m_H,ml_H,mu_H,sample_H,cal_H
28,ASAS15eb,0.2869200332553063,0.3272138540238339,0.0173082,0.82,-0.136,10.96,10.79,11.4,CSPII,none,0.2526143849428521,0.2572415195056374,0.0173082,0.82,-0.136,10.96,10.79,11.4,CSPII,none,0.2661411022666797,0.2512099515426557,0.0173082,0.82,-0.136,10.96,10.79,11.4,CSPII,none,0.264233217395585,0.2690636910832921,0.0173082,0.82,-0.136,10.96,10.79,11.4,CSPII,none,0.2403606400116515,0.2485068969372251,0.0173082,0.82,-0.136,10.96,10.79,11.4,CSPII,none,0.1361044503918194,0.2382511132663958,0.0173082,0.82,-0.136,10.96,10.79,11.4,CSPII,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,ASAS15fr,0.422503548964805,0.3942567209062606,0.0345082,0.905,-0.147,9.98,9.89,10.06,CSPII,none,0.2877601506523461,0.2545979720361574,0.0345082,0.905,-0.147,9.98,9.89,10.06,CSPII,none,0.2956571179761695,0.2448260561801457,0.0345082,0.905,-0.147,9.98,9.89,10.06,CSPII,none,0.294658608105081,0.2707569166836959,0.0345082,0.905,-0.147,9.98,9.89,10.06,CSPII,none,0.2653716557211538,0.2163103450680145,0.0345082,0.905,-0.147,9.98,9.89,10.06,CSPII,none,0.2767238411013153,0.197411272224444,0.0345082,0.905,-0.147,9.98,9.89,10.06,CSPII,none,0.0497665699957039,0.1635874963053232,0.0345082,0.905,-0.147,9.98,9.89,10.06,CSPII,none,0.0660845917936967,0.2129596385181559,0.0345082,0.905,-0.147,9.98,9.89,10.06,CSPII,none,0.1029417957846305,0.1747430692907616,0.0345082,0.905,-0.147,9.98,9.89,10.06,CSPII,none
30,ASAS15ga,0.6728431557136574,0.5610071346421839,0.0076517,0.5,0.421,10.38,10.18,10.48,CSPII,none,0.5282217074012152,0.4843104931487034,0.0076517,0.5,0.421,10.38,10.18,10.48,CSPII,none,0.6037866247250108,0.4989060023834537,0.0076517,0.5,0.421,10.38,10.18,10.48,CSPII,none,0.5477903398539254,0.5062722292656596,0.0076517,0.5,0.421,10.38,10.18,10.48,CSPII,none,0.4969947624700097,0.5247743510158009,0.0076517,0.5,0.421,10.38,10.18,10.48,CSPII,none,0.3232277728501671,0.4847008300803828,0.0076517,0.5,0.421,10.38,10.18,10.48,CSPII,none,0.1440522267445629,0.3793235420892229,0.0076517,0.5,0.421,10.38,10.18,10.48,CSPII,none,-0.0988074014574422,0.4427547850681625,0.0076517,0.5,0.421,10.38,10.18,10.48,CSPII,none,0.1271213275334872,0.413114164431121,0.0076517,0.5,0.421,10.38,10.18,10.48,CSPII,none
31,ASAS15go,0.1766305063174726,0.2957992519383282,0.0192546,1.072,0.214,10.18,10.04,10.27,CSPII,none,0.0624521060050184,0.2384227539743105,0.0192546,1.072,0.214,10.18,10.04,10.27,CSPII,none,0.1057220713288416,0.2311767229110204,0.0192546,1.072,0.214,10.18,10.04,10.27,CSPII,none,0.0529362504577477,0.2475658429439285,0.0192546,1.072,0.214,10.18,10.04,10.27,CSPII,none,0.0526009530738136,0.2300209145725724,0.0192546,1.072,0.214,10.18,10.04,10.27,CSPII,none,0.1360894514539765,0.2189816733586391,0.0192546,1.072,0.214,10.18,10.04,10.27,CSPII,none,0.1935041293483763,0.1827308679949406,0.0192546,1.072,0.214,10.18,10.04,10.27,CSPII,none,0.1318596851463951,0.2344132713305801,0.0192546,1.072,0.214,10.18,10.04,10.27,CSPII,none,0.1171707901373082,0.2039370750296702,0.0192546,1.072,0.214,10.18,10.04,10.27,CSPII,none
32,ASAS15gr,0.104118260795623,0.2693818571099213,0.0247678,1.031,-0.046,8.94,8.82,9.02,CSPII,none,-0.0116655455168341,0.2109357577327299,0.0247678,1.031,-0.046,8.94,8.82,9.02,CSPII,none,0.0214010138069795,0.2001418998771139,0.0247678,1.031,-0.046,8.94,8.82,9.02,CSPII,none,-0.0117904400641108,0.2179194852556147,0.0247678,1.031,-0.046,8.94,8.82,9.02,CSPII,none,-0.0391412724480275,0.2017202805100451,0.0247678,1.031,-0.046,8.94,8.82,9.02,CSPII,none,-0.0386287350678742,0.1901323877274343,0.0247678,1.031,-0.046,8.94,8.82,9.02,CSPII,none,0.0451680898265252,0.170967040818689,0.0247678,1.031,-0.046,8.94,8.82,9.02,CSPII,none,-0.0917239523754744,0.2264056714199644,0.0247678,1.031,-0.046,8.94,8.82,9.02,CSPII,none,-0.0210854443845462,0.1876936053558677,0.0247678,1.031,-0.046,8.94,8.82,9.02,CSPII,none
33,ASAS15hf,0.5887497637290764,0.5302857521835671,0.0072452,0.939,0.004,9.56,9.39,9.97,CSPII,none,0.6223286774166255,0.4791423010253172,0.0072452,0.939,0.004,9.56,9.39,9.97,CSPII,none,0.6516219567404349,0.5014236274316958,0.0072452,0.939,0.004,9.56,9.39,9.97,CSPII,none,0.6201384628693489,0.5021929860231241,0.0072452,0.939,0.004,9.56,9.39,9.97,CSPII,none,0.6081378304854184,0.4771377540256155,0.0072452,0.939,0.004,9.56,9.39,9.97,CSPII,none,0.5583856878655737,0.4711934795324334,0.0072452,0.939,0.004,9.56,9.39,9.97,CSPII,none,0.2325728727599809,0.3856745396731671,0.0072452,0.939,0.004,9.56,9.39,9.97,CSPII,none,0.0847405905579847,0.4431381143139195,0.0072452,0.939,0.004,9.56,9.39,9.97,CSPII,none,0.4212767385489044,0.3906806521750752,0.0072452,0.939,0.004,9.56,9.39,9.97,CSPII,none
34,ASAS15hg,0.2045693199579119,0.3794174478784348,0.0308678,0.824,0.048,10.42,10.3,10.51,CSPII,none,0.0912243436454574,0.2516186729676792,0.0308678,0.824,0.048,10.42,10.3,10.51,CSPII,none,0.142811732969271,0.2407735275040841,0.0308678,0.824,0.048,10.42,10.3,10.51,CSPII,none,0.0921603440981826,0.264140314686385,0.0308678,0.824,0.048,10.42,10.3,10.51,CSPII,none,0.0589236867142588,0.2161657557852959,0.0308678,0.824,0.048,10.42,10.3,10.51,CSPII,none,0.0531983290944211,0.1987678051972604,0.0308678,0.824,0.048,10.42,10.3,10.51,CSPII,none,-0.0037576810111872,0.1734150720511079,0.0308678,0.824,0.048,10.42,10.3,10.51,CSPII,none,0.0486676667868124,0.2247886673972007,0.0308678,0.824,0.048,10.42,10.3,10.51,CSPII,none,,,,,,,,,,
35,ASAS15hx,-0.5361980563096438,0.4427461553764842,0.0092051,1.034,-0.035,7.45,7.06,7.89,CSPII,none,-0.5577720726221003,0.3901536286735815,0.0092051,1.034,-0.035,7.45,7.06,7.89,CSPII,none,-0.5172497232982778,0.4038309897720333,0.0092051,1.034,-0.035,7.45,7.06,7.89,CSPII,none,-0.5613583321693767,0.4081668658396425,0.0092051,1.034,-0.035,7.45,7.06,7.89,CSPII,none,-0.5778718895532933,0.3871732593032258,0.0092051,1.034,-0.035,7.45,7.06,7.89,CSPII,none,-0.5077959871731395,0.3807164700354639,0.0092051,1.034,-0.035,7.45,7.06,7.89,CSPII,none,-0.4894920172787422,0.3061966225000482,0.0092051,1.034,-0.035,7.45,7.06,7.89,CSPII,none,-0.4791359894807385,0.3625847653989846,0.0092051,1.034,-0.035,7.45,7.06,7.89,CSPII,none,-0.4576273764898104,0.3202194017946435,0.0092051,1.034,-0.035,7.45,7.06,7.89,CSPII,none
36,CSP12J,0.4550564910838801,0.6657916190018729,0.0149235,0.484,0.555,10.09,9.97,10.2,CSPII,none,-0.4704853252285517,0.4314916918966666,0.0149235,0.484,0.555,10.09,9.97,10.2,CSPII,none,-0.410250775904764,0.4272398623419953,0.0149235,0.484,0.555,10.09,9.97,10.2,CSPII,none,-0.4554172847758408,0.4269552979125406,0.0149235,0.484,0.555,10.09,9.97,10.2,CSPII,none,-0.3607113421597674,0.3428462758455674,0.0149235,0.484,0.555,10.09,9.97,10.2,CSPII,none,-0.4074297397796016,0.3077139612746917,0.0149235,0.484,0.555,10.09,9.97,10.2,CSPII,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,CSP13abm,0.760623438489155,0.2652587543350366,0.027529,1.14,-0.018,11.5,11.5,11.5,CSPII,none,0.355754190176718,0.2048135839322852,0.027529,1.14,-0.018,11.5,11.5,11.5,CSPII,none,0.3368133075005204,0.1916329535430382,0.027529,1.14,-0.018,11.5,11.5,11.5,CSPII,none,0.3644446226294278,0.2123116407483579,0.027529,1.14,-0.018,11.5,11.5,11.5,CSPII,none,0.3439460452455023,0.1945379202188571,0.027529,1.14,-0.018,11.5,11.5,11.5,CSPII,none,0.4176242556256682,0.1819831614753094,0.027529,1.14,-0.018,11.5,11.5,11.5,CSPII,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,CSP14aaq,-0.0862495938124112,0.2784982318056639,0.0361755,0.905,-0.085,11.08,11.01,11.48,CSPII,none,-0.03389099212486,0.2009800418025535,0.0361755,0.905,-0.085,11.08,11.01,11.48,CSPII,none,-0.0116680248010467,0.1826620862193638,0.0361755,0.905,-0.085,11.08,11.01,11.48,CSPII,none,-0.0279545346721405,0.2078745653948654,0.0361755,0.905,-0.085,11.08,11.01,11.48,CSPII,none,-0.0588114870560545,0.185745223207721,0.0361755,0.905,-0.085,11.08,11.01,11.48,CSPII,none,-0.0405633016759026,0.172316391303915,0.0361755,0.905,-0.085,11.08,11.01,11.48,CSPII,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,CSP14abn,-0.0708669024099961,0.2822383909744507,0.0232746,1.004,-0.036,9.75,9.59,10.24,CSPII,none,-0.1432369987224433,0.2158591213325716,0.0232746,1.004,-0.036,9.75,9.59,10.24,CSPII,none,-0.1190527293986392,0.2059579726474623,0.0232746,1.004,-0.036,9.75,9.59,10.24,CSPII,none,-0.1428122782697158,0.2232310892096501,0.0232746,1.004,-0.036,9.75,9.59,10.24,CSPII,none,-0.1459821356536537,0.2081711196676962,0.0232746,1.004,-0.036,9.75,9.59,10.24,CSPII,none,-0.1027742132734843,0.1980321163867652,0.0232746,1.004,-0.036,9.75,9.59,10.24,CSPII,none,-0.1079567833790875,0.1664531538032837,0.0232746,1.004,-0.036,9.75,9.59,10.24,CSPII,none,-0.1285283955810854,0.222930144453508,0.0232746,1.004,-0.036,9.75,9.59,10.24,CSPII,none,-0.0944932425901612,0.1916226618774647,0.0232746,1.004,-0.036,9.75,9.59,10.24,CSPII,none
40,CSP14acl,0.5973639499069492,0.2776255856204271,0.0289327,0.959,-0.081,11.5,11.5,11.5,CSPII,none,0.4287729835944915,0.2025596565667994,0.0289327,0.959,-0.081,11.5,11.5,11.5,CSPII,none,0.4142863829182985,0.1899190598828677,0.0289327,0.959,-0.081,11.5,11.5,11.5,CSPII,none,0.4346840490472132,0.2097214136438431,0.0289327,0.959,-0.081,11.5,11.5,11.5,CSPII,none,0.4530666166632855,0.1915275859609289,0.0289327,0.959,-0.081,11.5,11.5,11.5,CSPII,none,0.5988981940434357,0.178938587052665,0.0289327,0.959,-0.081,11.5,11.5,11.5,CSPII,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,CSP14adc,-0.1366962789487757,0.266521880316753,0.031651,0.815,0.219,10.81,10.67,11.14,CSPII,none,-0.2137392772612329,0.1967963846058332,0.031651,0.815,0.219,10.81,10.67,11.14,CSPII,none,-0.1267799099374329,0.182069104691024,0.031651,0.815,0.219,10.81,10.67,11.14,CSPII,none,-0.2202432198085162,0.2030880672926771,0.031651,0.815,0.219,10.81,10.67,11.14,CSPII,none,-0.1933561721924377,0.1863155891697152,0.031651,0.815,0.219,10.81,10.67,11.14,CSPII,none,-0.0814795868122786,0.174369421117545,0.031651,0.815,0.219,10.81,10.67,11.14,CSPII,none,0.0339323420821173,0.1510386287064473,0.031651,0.815,0.219,10.81,10.67,11.14,CSPII,none,0.1852295638801209,0.2061889464821168,0.031651,0.815,0.219,10.81,10.67,11.14,CSPII,none,0.1116215678710474,0.1768195845855946,0.031651,0.815,0.219,10.81,10.67,11.14,CSPII,none
42,CSP15B,0.0201522952359383,0.2976879811252755,0.0208198,0.72,0.132,10.95,10.78,11.42,CSPII,none,-0.1178533530765122,0.2288691774289518,0.0208198,0.72,0.132,10.95,10.78,11.42,CSPII,none,-0.0442406357527076,0.2209402435517427,0.0208198,0.72,0.132,10.95,10.78,11.42,CSPII,none,-0.1124445206237894,0.2367934309566365,0.0208198,0.72,0.132,10.95,10.78,11.42,CSPII,none,-0.158387098007708,0.2208774364387915,0.0208198,0.72,0.132,10.95,10.78,11.42,CSPII,none,-0.1079272876275538,0.211149430494976,0.0208198,0.72,0.132,10.95,10.78,11.42,CSPII,none,-0.193088433733152,0.1783662275928602,0.0208198,0.72,0.132,10.95,10.78,11.42,CSPII,none,-0.6554156619351446,0.2568136272692795,0.0208198,0.72,0.132,10.95,10.78,11.42,CSPII,none,,,,,,,,,,
43,CSP15aae,0.0788395544597833,0.3105286882737452,0.0169733,0.505,0.455,11.14,10.96,11.26,CSPII,none,-0.051629843852659,0.2538775526347622,0.0169733,0.505,0.455,11.14,10.96,11.26,CSPII,none,-0.0042548765288756,0.2506576303041934,0.0169733,0.505,0.455,11.14,10.96,11.26,CSPII,none,-0.0331653863999505,0.2633130928245027,0.0169733,0.505,0.455,11.14,10.96,11.26,CSPII,none,-0.040742338783879,0.2461655947793447,0.0169733,0.505,0.455,11.14,10.96,11.26,CSPII,none,-0.0008221534037176,0.2366308606762074,0.0169733,0.505,0.455,11.14,10.96,11.26,CSPII,none,-0.1231594245093177,0.1964700630810592,0.0169733,0.505,0.455,11.14,10.96,11.26,CSPII,none,0.1168025972886823,0.2520303548372913,0.0169733,0.505,0.455,11.14,10.96,11.26,CSPII,none,0.0855578012796129,0.2173588003550533,0.0169733,0.505,0.455,11.14,10.96,11.26,CSPII,none
44,KISS15m,0.2398543453878971,0.3369861577390845,0.0253844,0.429,0.62,9.78,9.67,9.94,CSPII,none,0.0929402990754582,0.224102391092692,0.0253844,0.429,0.62,9.78,9.67,9.94,CSPII,none,0.1368926183992798,0.213236015198082,0.0253844,0.429,0.62,9.78,9.67,9.94,CSPII,none,0.1148418445281791,0.2273763226570826,0.0253844,0.429,0.62,9.78,9.67,9.94,CSPII,none,0.0902756121442607,0.2080001692801695,0.0253844,0.429,0.62,9.78,9.67,9.94,CSPII,none,0.1333337095244076,0.1945723787211825,0.0253844,0.429,0.62,9.78,9.67,9.94,CSPII,none,0.2534044144188172,0.1632289937143115,0.0253844,0.429,0.62,9.78,9.67,9.94,CSPII,none,0.3616484522168193,0.2142143349418261,0.0253844,0.429,0.62,9.78,9.67,9.94,CSPII,none,0.2544630802077421,0.1861448952236909,0.0253844,0.429,0.62,9.78,9.67,9.94,CSPII,none
45,KISS15n,-0.4323539839195902,0.278250304572823,0.0239783,1.241,0.102,8.0,7.8,8.17,CSPII,none,-0.4172531502320495,0.2163581182527075,0.0239783,1.241,0.102,8.0,7.8,8.17,CSPII,none,-0.4123259509082402,0.20521306864674,0.0239783,1.241,0.102,8.0,7.8,8.17,CSPII,none,-0.4128418847793327,0.2240759198561951,0.0239783,1.241,0.102,8.0,7.8,8.17,CSPII,none,-0.3444323171632533,0.2065670154199815,0.0239783,1.241,0.102,8.0,7.8,8.17,CSPII,none,-0.4619499397830893,0.1949198272340722,0.0239783,1.241,0.102,8.0,7.8,8.17,CSPII,none,-0.366042794888699,0.1819927223695438,0.0239783,1.241,0.102,8.0,7.8,8.17,CSPII,none,-0.4825057170906888,0.230091736778849,0.0239783,1.241,0.102,8.0,7.8,8.17,CSPII,none,-0.3629675290997625,0.1951764390254644,0.0239783,1.241,0.102,8.0,7.8,8.17,CSPII,none
46,LSQ11bk,-0.0833226084103202,0.2571357642080835,0.0400251,1.071,-0.079,6.53,6.5,6.59,CSPII,none,0.0902703452772328,0.1909666120052954,0.0400251,1.071,-0.079,6.53,6.5,6.59,CSPII,none,0.1367176646010435,0.1713205892772985,0.0400251,1.071,-0.079,6.53,6.5,6.59,CSPII,none,0.0883558907299502,0.197589120876993,0.0400251,1.071,-0.079,6.53,6.5,6.59,CSPII,none,0.0840236583460196,0.1780741070030222,0.0400251,1.071,-0.079,6.53,6.5,6.59,CSPII,none,0.1964247557261842,0.1624103476243901,0.0400251,1.071,-0.079,6.53,6.5,6.59,CSPII,none,0.1678244606205794,0.1378668340388311,0.0400251,1.071,-0.079,6.53,6.5,6.59,CSPII,none,0.1264244984185936,0.1934840776339974,0.0400251,1.071,-0.079,6.53,6.5,6.59,CSPII,none,0.1289651264095113,0.1656870954887482,0.0400251,1.071,-0.079,6.53,6.5,6.59,CSPII,none
47,LSQ11ot,0.5100944270367904,0.2624005805037149,0.0273222,0.982,0.318,10.17,10.0,10.22,CSPII,none,0.6767231067243458,0.2027610710014597,0.0273222,0.982,0.318,10.17,10.0,10.22,CSPII,none,0.7376381520481488,0.1908116565667604,0.0273222,0.982,0.318,10.17,10.0,10.22,CSPII,none,0.6596852711770751,0.2091061045411441,0.0273222,0.982,0.318,10.17,10.0,10.22,CSPII,none,0.6053312737931407,0.1933704922167525,0.0273222,0.982,0.318,10.17,10.0,10.22,CSPII,none,0.4839497521733022,0.1815931875275583,0.0273222,0.982,0.318,10.17,10.0,10.22,CSPII,none,0.3760909700677004,0.153192542998906,0.0273222,0.982,0.318,10.17,10.0,10.22,CSPII,none,0.2909001658657075,0.2078303461153763,0.0273222,0.982,0.318,10.17,10.0,10.22,CSPII,none,0.3272617308566268,0.1784928900231542,0.0273222,0.982,0.318,10.17,10.0,10.22,CSPII,none
48,LSQ11pn,-0.4394758977438471,0.2660535690942921,0.0326611,0.507,0.285,10.7,10.52,10.8,CSPII,none,-0.2684427680562891,0.19845134351367,0.0326611,0.507,0.285,10.7,10.52,10.8,CSPII,none,-0.2665892727324745,0.1835092867859867,0.0326611,0.507,0.285,10.7,10.52,10.8,CSPII,none,-0.2425416786035654,0.2035362638741002,0.0326611,0.507,0.285,10.7,10.52,10.8,CSPII,none,-0.2420755509874794,0.1851983548486885,0.0326611,0.507,0.285,10.7,10.52,10.8,CSPII,none,-0.2044919976073274,0.1720144671776002,0.0326611,0.507,0.285,10.7,10.52,10.8,CSPII,none,-0.19276180471293,0.1472703682684747,0.0326611,0.507,0.285,10.7,10.52,10.8,CSPII,none,-0.1786487589149246,0.2018524835245489,0.0326611,0.507,0.285,10.7,10.52,10.8,CSPII,none,-0.4271694189240023,0.17382176871838,0.0326611,0.507,0.285,10.7,10.52,10.8,CSPII,none
49,LSQ12ca,0.5884457453818683,0.4796053907785156,0.0995466,1.195,-0.084,10.44,10.34,10.64,CSPII,none,0.3153633470694146,0.289005860160602,0.0995466,1.195,-0.084,10.44,10.34,10.64,CSPII,none,0.293867314393232,0.2697242787042483,0.0995466,1.195,-0.084,10.44,10.34,10.64,CSPII,none,0.3296258045221378,0.3289892234698515,0.0995466,1.195,-0.084,10.44,10.34,10.64,CSPII,none,0.3771288521382061,0.2433188803737322,0.0995466,1.195,-0.084,10.44,10.34,10.64,CSPII,none,0.0856280375183686,0.2100814732387013,0.0995466,1.195,-0.084,10.44,10.34,10.64,CSPII,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,LSQ12fxd,0.0922448124156716,0.2569504432656712,0.0313344,1.161,-0.008,10.28,10.16,10.4,CSPII,none,-0.0049918738967775,0.1951890593275146,0.0313344,1.161,-0.008,10.28,10.16,10.4,CSPII,none,,,,,,,,,,,0.0022625115559407,0.201239565478092,0.0313344,1.161,-0.008,10.28,10.16,10.4,CSPII,none,-0.0105251208279852,0.1851032539515914,0.0313344,1.161,-0.008,10.28,10.16,10.4,CSPII,none,-0.0644958634478385,0.1726276086261987,0.0313344,1.161,-0.008,10.28,10.16,10.4,CSPII,none,-0.1105504785534208,0.1472844855500975,0.0313344,1.161,-0.008,10.28,10.16,10.4,CSPII,none,0.0609544392445755,0.2021987515500427,0.0313344,1.161,-0.008,10.28,10.16,10.4,CSPII,none,-0.0950996127645069,0.1731813853863881,0.0313344,1.161,-0.008,10.28,10.16,10.4,CSPII,none
51,LSQ13aiz,-0.8189864487765419,0.4073356197454505,0.0102493,0.964,0.08,8.24,8.12,8.34,CSPII,none,-0.6466323850889921,0.3583917640307226,0.0102493,0.964,0.08,8.24,8.12,8.34,CSPII,none,-0.57886195576517,0.3686734830709568,0.0102493,0.964,0.08,8.24,8.12,8.34,CSPII,none,-0.6554566246362654,0.3744948574861286,0.0102493,0.964,0.08,8.24,8.12,8.34,CSPII,none,-0.7670088820201855,0.3541741817341894,0.0102493,0.964,0.08,8.24,8.12,8.34,CSPII,none,-0.6323099996400359,0.346784901007908,0.0102493,0.964,0.08,8.24,8.12,8.34,CSPII,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,LSQ13dsm,0.0421112454695489,0.2465150321746836,0.0419767,0.908,-0.024,9.01,8.85,9.14,CSPII,none,0.0527710051570906,0.1822928693463122,0.0419767,0.908,-0.024,9.01,8.85,9.14,CSPII,none,0.1143411304809092,0.1651948646118514,0.0419767,0.908,-0.024,9.01,8.85,9.14,CSPII,none,0.0513901896098261,0.1869149650859738,0.0419767,0.908,-0.024,9.01,8.85,9.14,CSPII,none,0.0424844922258884,0.1711779165184121,0.0419767,0.908,-0.024,9.01,8.85,9.14,CSPII,none,-0.0415580493939558,0.1579386725658915,0.0419767,0.908,-0.024,9.01,8.85,9.14,CSPII,none,0.0765147085004471,0.1570234871182074,0.0419767,0.908,-0.024,9.01,8.85,9.14,CSPII,none,-0.1446244557015461,0.1939778834631852,0.0419767,0.908,-0.024,9.01,8.85,9.14,CSPII,none,-0.2228534307106215,0.1693918434788888,0.0419767,0.908,-0.024,9.01,8.85,9.14,CSPII,none
53,LSQ13ry,-0.1794446216436895,0.2593360857210304,0.031032,0.88,-0.05,9.64,9.54,9.7,CSPII,none,0.0702197300438598,0.196841785354924,0.031032,0.88,-0.05,9.64,9.54,9.7,CSPII,none,0.1009684473676628,0.1832455550068404,0.031032,0.88,-0.05,9.64,9.54,9.7,CSPII,none,0.0721785624965747,0.2027470292088983,0.031032,0.88,-0.05,9.64,9.54,9.7,CSPII,none,0.0885859851126582,0.186038066793177,0.031032,0.88,-0.05,9.64,9.54,9.7,CSPII,none,0.0698517954928235,0.1734751982850944,0.031032,0.88,-0.05,9.64,9.54,9.7,CSPII,none,0.119992649387207,0.1552243590526984,0.031032,0.88,-0.05,9.64,9.54,9.7,CSPII,none,0.1176134211852044,0.2039998202566324,0.031032,0.88,-0.05,9.64,9.54,9.7,CSPII,none,0.1832767501761409,0.1768442801181058,0.031032,0.88,-0.05,9.64,9.54,9.7,CSPII,none
54,LSQ13vy,0.3953026874404841,0.2461614991121583,0.0421068,0.892,0.075,10.17,10.15,10.33,CSPII,none,0.133847847128024,0.1824114096921033,0.0421068,0.892,0.075,10.17,10.15,10.33,CSPII,none,0.1270733724518393,0.1653328188096379,0.0421068,0.892,0.075,10.17,10.15,10.33,CSPII,none,0.1301316315807597,0.1870316546937723,0.0421068,0.892,0.075,10.17,10.15,10.33,CSPII,none,0.1050929341968327,0.1711083992958678,0.0421068,0.892,0.075,10.17,10.15,10.33,CSPII,none,0.1408387925769787,0.1576657289664167,0.0421068,0.892,0.075,10.17,10.15,10.33,CSPII,none,-0.1110092495286068,0.1592609151905777,0.0421068,0.892,0.075,10.17,10.15,10.33,CSPII,none,0.0298967862693899,0.219707077843257,0.0421068,0.892,0.075,10.17,10.15,10.33,CSPII,none,0.0387016112603078,0.1990829957927788,0.0421068,0.892,0.075,10.17,10.15,10.33,CSPII,none
55,LSQ14ajn,0.2258343690039623,0.2808128358375166,0.0221584,0.654,0.066,10.11,9.95,10.3,CSPII,none,0.0898296726915148,0.2210196783948603,0.0221584,0.654,0.066,10.11,9.95,10.3,CSPII,none,0.1174833420153191,0.2124529702125847,0.0221584,0.654,0.066,10.11,9.95,10.3,CSPII,none,0.1039744931442356,0.2284302825095006,0.0221584,0.654,0.066,10.11,9.95,10.3,CSPII,none,0.1069811357603143,0.2123077909074203,0.0221584,0.654,0.066,10.11,9.95,10.3,CSPII,none,-0.0052470418595191,0.2016010025377565,0.0221584,0.654,0.066,10.11,9.95,10.3,CSPII,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,LSQ14wp,-0.2503812887774614,0.2452232580630794,0.0706148,1.138,-0.05,7.48,7.23,7.59,CSPII,none,-0.1760247690899063,0.1757419676102605,0.0706148,1.138,-0.05,7.48,7.23,7.59,CSPII,none,-0.1548198837660948,0.1536920872240183,0.0706148,1.138,-0.05,7.48,7.23,7.59,CSPII,none,-0.1738776446371801,0.1816283132455634,0.0706148,1.138,-0.05,7.48,7.23,7.59,CSPII,none,-0.120957242021106,0.1627090316599126,0.0706148,1.138,-0.05,7.48,7.23,7.59,CSPII,none,-0.1552697236409557,0.147357761932116,0.0706148,1.138,-0.05,7.48,7.23,7.59,CSPII,none,-0.1302685857465562,0.1299037272619538,0.0706148,1.138,-0.05,7.48,7.23,7.59,CSPII,none,-0.1400686699485476,0.1858138524280441,0.0706148,1.138,-0.05,7.48,7.23,7.59,CSPII,none,-0.1572430249576299,0.1639265279465483,0.0706148,1.138,-0.05,7.48,7.23,7.59,CSPII,none
57,LSQ15aae,0.5057195240289971,0.247320210501559,0.0517701,1.226,0.079,10.27,10.1,10.46,CSPII,none,0.2580057477165525,0.1787419215672033,0.0517701,1.226,0.079,10.27,10.1,10.46,CSPII,none,0.2252523370403665,0.1589543163897324,0.0517701,1.226,0.079,10.27,10.1,10.46,CSPII,none,0.2665680481692618,0.1835381069451017,0.0517701,1.226,0.079,10.27,10.1,10.46,CSPII,none,0.2083348907853448,0.166943396742845,0.0517701,1.226,0.079,10.27,10.1,10.46,CSPII,none,0.1109202331655083,0.15296059148802,0.0517701,1.226,0.079,10.27,10.1,10.46,CSPII,none,0.1472253230598923,0.1316059701031947,0.0517701,1.226,0.079,10.27,10.1,10.46,CSPII,none,,,,,,,,,,,,,,,,,,,,
58,PS1-14ra,0.0400307389330052,0.2629373884161334,0.0287982,0.778,0.052,10.65,10.35,10.72,CSPII,none,-0.0561854613794494,0.1997482922819879,0.0287982,0.778,0.052,10.65,10.35,10.72,CSPII,none,-0.0076792960556417,0.1866713188324021,0.0287982,0.778,0.052,10.65,10.35,10.72,CSPII,none,-0.0521040169267266,0.2059282757313207,0.0287982,0.778,0.052,10.65,10.35,10.72,CSPII,none,-0.0776128143106476,0.1903956101282689,0.0287982,0.778,0.052,10.65,10.35,10.72,CSPII,none,-0.0777556159304992,0.1785993562164605,0.0287982,0.778,0.052,10.65,10.35,10.72,CSPII,none,-0.0858958380360874,0.1510653146098499,0.0287982,0.778,0.052,10.65,10.35,10.72,CSPII,none,-0.0047776822380924,0.2070469966303131,0.0287982,0.778,0.052,10.65,10.35,10.72,CSPII,none,-0.0850566772471737,0.1775198265171713,0.0287982,0.778,0.052,10.65,10.35,10.72,CSPII,none
