name,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,dist,sample,subtype,quality,cosmo,phys,BV,eBV,covBV_M
SN2008fl,0.0199,0.0194172,0.8547670379454843,0.018331361671634138,16.095798029248215,0.04543400381470496,8.5,0.1569,0.0157,1.102e-05,Ho,CSPI,Ia,0.982,0,0,0.059268584354887466,0.06411835657938386,0.0
SN2008fp,0.00566,0.0062867,1.0816703155483485,0.0074846079282146726,13.603897358521717,0.009959053413125158,-0.1,0.1686,0.0169,7.643e-06,Ho,CSPI,Ia,0.944,0,0,0.46293596247475755,0.006936522429010171,0.0
SN2008fr,0.0389733,0.0379062,1.0557170982675024,0.02317920046078016,17.79076687553051,0.051387575621956186,13.0,0.0395,0.004,2.359e-05,Ho,CSPI,Ia,0.981,0,0,-0.0062891222334258146,0.06629891402878482,0.0
SN2008fu,0.05237,0.0518336,0.8220670792366843,0.021808941767316424,18.316284956232728,0.07815160581896527,16.5,0.018,0.0018,7.878e-05,Ho,CSPI,Ia,0.986,0,0,-0.07464480915523097,0.08811523990404291,0.0
SN2008fw,0.0085433,0.0095066,1.1126518063301003,0.02282683183727853,14.724487516724665,0.027281468494618516,23.4,0.1123,0.0112,-4.74e-07,Ho,CSPI,Ia-91T,0.971,0,0,0.06560986283695058,0.06129125437708686,0.0
SN2008gg,0.0319933,0.0310658,1.1143671805835944,0.0265408578412092,17.45292222168044,0.05624096815206292,10.8,0.0195,0.002,2.237e-05,Ho,CSPI,Ia,0.984,0,0,0.14200583509000708,0.06333372356759792,0.0
SN2008gl,0.0339933,0.0329459,0.8507950889933873,0.003952401935868754,17.407936088336342,0.05934206675881755,3.7,0.0244,0.0024,-1.353e-06,Ho,CSPI,Ia,0.977,0,0,0.034398962242192965,0.0060547520633589275,0.0
SN2008gp,0.03339,0.0328233,0.9730507869904497,0.00453110607118228,17.43882904912235,0.06128731888552382,-5.1,0.1042,0.0104,6.613e-06,Ho,CSPI,Ia,0.985,0,0,-0.004887121793895943,0.009254200671695488,0.0
SN2008hj,0.0378667,0.0367224,1.010184546017752,0.005747841837450636,17.65614568407785,0.06555842078825895,-2.9,0.0303,0.003,5.171e-06,Ho,CSPI,Ia,0.983,0,0,0.0010009058349176314,0.006812865600168311,0.0
SN2008hu,0.0496656,0.050526,0.7853324357977401,0.008160118969565722,18.259294134394114,0.11099204918809986,2.8,0.0921,0.0092,9.011e-05,Ho,CSPI,Ia,0.985,0,0,0.0201366431164125,0.020113740712959096,0.0
SN2008hv,0.01254,0.01358,0.8457091356641724,0.002758559362703001,15.497246113380196,0.015384352103268125,-8.1,0.0279,0.0028,7.502e-06,Ho,CSPI,Ia,0.973,0,0,-0.02952091930798062,0.007459723495693591,0.0
SN2008ia,0.0219833,0.02254,0.8409784086519746,0.00431193284426578,16.29620276090162,0.025921069421136058,2.9,0.1954,0.0195,6.571e-05,Ho,CSPI,Ia,0.983,0,0,-0.033423001645646266,0.009017796765162279,0.0
SN2009D,0.02499,0.024654,1.185004754316481,0.005645643042033447,16.66560671629612,0.020284393898076215,1.8,0.0441,0.0044,-1.368e-06,Ho,CSPI,Ia,0.984,0,0,-0.013899643511875226,0.005282128579830334,0.0
SN2009F,0.0129467,0.01291,0.3278244953258009,0.007411797736539137,16.070858585802092,0.03737347664094416,-4.9,0.0895,0.0089,4.985e-05,Ho,CSPI,Ia-91bg,0.97,0,0,0.5448200887149959,0.020416743789177176,0.0
SN2009I,0.02615,0.0254309,1.0638990417463612,0.019358018017534923,16.942377292661597,0.04214037346531373,-1.3,0.0272,0.0027,0.000128,Ho,CSPI,Ia,0.969,0,0,0.6391392153718627,0.0193216786881324,0.0
SN2009Y,0.0093467,0.0101034,1.1891006234372763,0.007903170452219747,14.708663660607243,0.030603445391675442,0.4,0.0873,0.0087,7.046e-06,Ho,CSPI,Ia,0.97,0,0,0.14940203172530353,0.010371083776258156,0.0
SN2009aa,0.02729,0.0284814,0.9082576901347421,0.004453060505922253,16.97046061871766,0.020942042434568965,-5.4,0.0295,0.0029,8.617e-06,Ho,CSPI,Ia,0.983,0,0,0.01994576080639021,0.009376268448350662,0.0
SN2009ab,0.0111633,0.0108624,0.8737303134262224,0.004755442425124276,15.193263485322204,0.022925943930442134,-3.6,0.1838,0.0184,1.483e-05,Ho,CSPI,Ia,0.959,0,0,0.04480912246271096,0.008486978812025769,0.0
SN2009ad,0.02838,0.0283174,1.0153017880236235,0.006103140456797838,17.06880542673036,0.04318603166924264,0.6,0.0953,0.0095,4.543e-05,Ho,CSPI,Ia,0.984,0,0,0.030202141132694038,0.008746905470297014,0.0
SN2009ag,0.0086333,0.0092477,0.961520038848393,0.006673396590662682,14.794264167315585,0.015958515591564696,0.9,0.218,0.0218,6.374e-06,Ho,CSPI,Ia,0.97,0,0,0.163199369116251,0.013711869690117702,0.0
SN2009al,0.02209,0.0232764,1.1741401800981328,0.04053423356384509,16.556569064770066,0.045418247617295834,-1.9,0.0212,0.0021,3.368e-05,Ho,CSPI,Ia,0.98,0,0,0.13749805215918087,0.07907408934489356,0.0
SN2009cz,0.0211233,0.0219786,1.1892682081686246,0.011511510570455049,16.509818170829366,0.045323491208795245,0.7,0.0221,0.0022,1.343e-06,Ho,CSPI,Ia,0.982,0,0,0.0258797279112688,0.010408319510625841,0.0
SN2009ds,0.0192467,0.0204662,1.1246359874932383,0.019741109475204976,16.316546074947638,0.04644211911741225,-2.2,0.0332,0.0033,7.005e-05,Ho,CSPI,Ia,0.982,0,0,0.10233461955174938,0.011565144163183038,0.0
SN2009ig,0.0088,0.0080401,1.1084463796645476,0.015822307827997085,14.328629246714584,0.10613815924584556,43.5,0.0269,0.0027,6.556e-05,Ceph,,,,,,0.07884650942695615,0.012995101770030644,0.0
SN2011by,0.002843,0.003405,0.95606749490197,0.004039575915855028,13.490361214672857,0.020750401148405512,-7.4,0.0119,0.0012,2.728e-06,Ceph,,,,,,0.04756221337811617,0.010238204405991337,0.0
SN2011fe,0.000803,0.0012072,0.9459966410134927,0.0026493296908914467,10.757177925516677,0.006611574030778533,-10.5,0.0077,0.0008,5.409e-06,"Ceph,TRGB",,,,,,0.03135669416979425,0.006687809687282316,0.0
