name,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,dist,sample,subtype,quality,cosmo,phys,BV,eBV,covBV_M
LSQ13dsm,0.0423707,0.0419767,0.908,0.004,17.363,0.006,-13.0,0.0088,0.0009,5.645e-06,Ho,CSPII,Ia,0.984,1,0,-0.024,0.008,0.000000
LSQ13lq,0.0755477,0.0765051,1.054,0.012,18.217,0.005,-7.8,0.0215,0.0022,1.885e-05,Ho,CSPII,Ia,0.951,1,0,-0.076,0.006,0.000000
LSQ13pf,0.0860404,0.0870045,0.917,0.038,19.319,0.033,-0.0,0.0558,0.0056,-5.948e-05,Ho,CSPII,Ia-91T,0.957,1,0,0.216,0.072,0.000000
LSQ13ry,0.0298367,0.031032,0.88,0.006,16.7,0.009,-13.4,0.0403,0.004,1.282e-05,Ho,CSPII,Ia,0.971,1,1,-0.050,0.011,0.000000
LSQ13vy,0.0417711,0.0421068,0.892,0.005,17.582,0.006,-7.0,0.0676,0.0068,9.22e-06,Ho,CSPII,Ia,0.985,1,0,0.075,0.008,0.000000
LSQ14act,0.05905,0.0594518,0.701,0.008,18.414,0.008,-4.7,0.2269,0.0227,2.243e-06,Ho,CSPII,Ia,0.976,1,0,-0.002,0.011,0.000000
LSQ14age,0.0805442,0.0815802,1.115,0.014,18.577,0.01,-13.9,0.0576,0.0058,6.021e-05,Ho,CSPII,Ia,0.976,1,0,-0.019,0.013,0.000000
LSQ14ahc,0.0508648,0.0517592,1.252,0.01,17.383,0.008,-11.0,0.0461,0.0046,2.864e-05,Ho,CSPII,Ia,0.986,1,0,-0.020,0.011,0.000000
LSQ14ahm,0.0497655,0.0509869,1.161,0.009,17.411,0.008,-12.9,0.0274,0.0027,1.756e-05,Ho,CSPII,Ia,0.986,1,0,-0.059,0.011,0.000000
LSQ14ajn,0.02101,0.0221584,0.654,0.004,16.299,0.006,-2.0,0.0193,0.0019,-9.294e-06,Ho,CSPII,Ia,0.979,0,1,0.066,0.009,0.000000
LSQ14asu,0.0683967,0.069594,0.775,0.012,18.937,0.008,-4.8,0.0372,0.0037,7.111e-06,Ho,CSPII,Ia,0.927,1,0,0.004,0.011,0.000000
LSQ14auy,0.0824129,0.0832263,1.136,0.014,18.749,0.008,-6.4,0.0669,0.0067,1.998e-05,Ho,CSPII,Ia,0.987,1,0,-0.009,0.011,0.000000
LSQ14azy,0.0457633,0.0469322,1.136,0.027,17.618,0.031,1.5,0.0164,0.0016,2.649e-05,Ho,CSPII,Ia,0.981,0,0,0.066,0.067,0.000000
LSQ14ba,0.0775463,0.0787677,0.959,0.006,18.843,0.008,-8.2,0.0493,0.0049,1.308e-05,Ho,CSPII,Ia,0.986,1,0,0.034,0.013,0.000000
