     name      zhel      zcmb f    st   est   Mmax  eMmax    t0  EBVmw eEBVmw  covMs     dist
ASAS14lt   0.0320233 0.0314552 r 0.947 0.008 16.456 0.012  -4.9 0.0474 0.0047  8.117e-06    Ho
ASAS14lt   0.0320233 0.0314552 u 0.947 0.008 16.812 0.013  -3.1 0.0474 0.0047  3.992e-06    Ho
ASAS14lw   0.0208855 0.0202609 B 1.156 0.009 15.558 0.008  -9.2 0.0117 0.0012 -1.226e-06    Ho
ASAS14lw   0.0208855 0.0202609 H 1.156 0.009 16.516 0.049  -4.8 0.0117 0.0012  2.512e-05    Ho
ASAS14lw   0.0208855 0.0202609 J 1.156 0.009 16.375 0.045  -4.3 0.0117 0.0012  4.118e-05    Ho
ASAS14lw   0.0208855 0.0202609 V 1.156 0.009 15.568 0.008 -10.4 0.0117 0.0012  3.697e-05    Ho
ASAS14lw   0.0208855 0.0202609 Y 1.156 0.009 16.494 0.050  -4.5 0.0117 0.0012  6.978e-05    Ho
ASAS14lw   0.0208855 0.0202609 g 1.156 0.009 15.528 0.007  -9.4 0.0117 0.0012  3.972e-06    Ho
ASAS14lw   0.0208855 0.0202609 i 1.156 0.009 16.413 0.014  -6.3 0.0117 0.0012  2.511e-05    Ho
ASAS14lw   0.0208855 0.0202609 r 1.156 0.009 15.690 0.008 -11.5 0.0117 0.0012  2.135e-05    Ho
ASAS14lw   0.0208855 0.0202609 u 1.156 0.009 15.985 0.010  -7.5 0.0117 0.0012 -3.212e-07    Ho
ASAS14me   0.0178000 0.0173860 B 1.078 0.005 15.080 0.004 -10.4 0.0175 0.0018  4.622e-06    Ho
ASAS14me   0.0178000 0.0173860 H 1.078 0.005 15.997 0.039   5.9 0.0175 0.0018  1.005e-05    Ho
ASAS14me   0.0178000 0.0173860 J 1.078 0.005 15.542 0.073   6.3 0.0175 0.0018  6.346e-06    Ho
ASAS14me   0.0178000 0.0173860 V 1.078 0.005 15.079 0.004 -11.7 0.0175 0.0018 -1.551e-06    Ho
ASAS14me   0.0178000 0.0173860 Y 1.078 0.005 15.859 0.066   6.2 0.0175 0.0018  1.135e-05    Ho
ASAS14me   0.0178000 0.0173860 g 1.078 0.005 15.064 0.004 -11.7 0.0175 0.0018  5.119e-06    Ho
ASAS14me   0.0178000 0.0173860 i 1.078 0.005 15.798 0.008  -8.1 0.0175 0.0018  2.609e-06    Ho
ASAS14me   0.0178000 0.0173860 r 1.078 0.005 15.190 0.005 -13.2 0.0175 0.0018  6.059e-06    Ho
ASAS14me   0.0178000 0.0173860 u 1.078 0.005 15.389 0.006  -9.8 0.0175 0.0018  6.824e-06    Ho
ASAS14mf   0.0310800 0.0301521 B 0.982 0.005 16.493 0.008  -3.6 0.0125 0.0013  1.314e-05    Ho
ASAS14mf   0.0310800 0.0301521 V 0.982 0.005 16.515 0.007  -4.8 0.0125 0.0013  1.070e-05    Ho
ASAS14mf   0.0310800 0.0301521 Y 0.982 0.005 16.940 0.122  21.0 0.0125 0.0013 -2.852e-05    Ho
ASAS14mf   0.0310800 0.0301521 g 0.982 0.005 16.456 0.007  -4.9 0.0125 0.0013  1.224e-05    Ho
ASAS14mf   0.0310800 0.0301521 i 0.982 0.005 17.134 0.013  -1.2 0.0125 0.0013 -9.142e-06    Ho
ASAS14mf   0.0310800 0.0301521 r 0.982 0.005 16.558 0.008  -6.1 0.0125 0.0013  1.603e-06    Ho
ASAS14mf   0.0310800 0.0301521 u 0.982 0.005 16.985 0.010  -3.1 0.0125 0.0013  5.385e-06    Ho
ASAS14mw   0.0273867 0.0271207 B 1.063 0.007 15.841 0.004  -6.6 0.0179 0.0018  6.046e-06    Ho
ASAS14mw   0.0273867 0.0271207 H 1.063 0.007 16.899 0.016  -0.3 0.0179 0.0018  8.659e-06    Ho
ASAS14mw   0.0273867 0.0271207 J 1.063 0.007 16.587 0.013   0.1 0.0179 0.0018  2.691e-06    Ho
ASAS14mw   0.0273867 0.0271207 V 1.063 0.007 15.883 0.003  -7.9 0.0179 0.0018 -6.455e-06    Ho
ASAS14mw   0.0273867 0.0271207 Y 1.063 0.007 16.753 0.021   0.0 0.0179 0.0018  2.861e-06    Ho
ASAS14mw   0.0273867 0.0271207 g 1.063 0.007 15.831 0.003  -6.9 0.0179 0.0018  7.403e-06    Ho
ASAS14mw   0.0273867 0.0271207 i 1.063 0.007 16.688 0.007  -3.3 0.0179 0.0018  2.442e-06    Ho
ASAS14mw   0.0273867 0.0271207 r 1.063 0.007 16.014 0.004  -8.3 0.0179 0.0018  1.019e-05    Ho
ASAS14mw   0.0273867 0.0271207 u 1.063 0.007 16.235 0.006  -5.0 0.0179 0.0018 -5.114e-07    Ho
ASAS14my   0.0205000 0.0217279 B 0.921 0.005 15.565 0.008  -8.2 0.0316 0.0032  1.914e-05    Ho
ASAS14my   0.0205000 0.0217279 H 0.921 0.005 16.277 0.020  -3.8 0.0316 0.0032  1.462e-06    Ho
ASAS14my   0.0205000 0.0217279 J 0.921 0.005 16.087 0.018  -3.5 0.0316 0.0032  7.778e-07    Ho
ASAS14my   0.0205000 0.0217279 V 0.921 0.005 15.558 0.006  -9.5 0.0316 0.0032  8.487e-06    Ho
ASAS14my   0.0205000 0.0217279 Y 0.921 0.005 16.243 0.024  -3.7 0.0316 0.0032 -4.453e-06    Ho
ASAS14my   0.0205000 0.0217279 g 0.921 0.005 15.542 0.007  -8.5 0.0316 0.0032  1.529e-05    Ho
ASAS14my   0.0205000 0.0217279 i 0.921 0.005 16.148 0.011  -5.1 0.0316 0.0032  5.417e-06    Ho
