CID_1,zCMB_1,VPEC_1,VPEC_VARIANCE,NONGAUSS
LSQ14ba,0.0787677,-71.59338657161868,188033.42562709723,0.0
LSQ14bbv,0.058439,-433.21832225331326,600770.8778544669,5680.723636435756
LSQ14bjj,0.0819882,-106.16049513637049,185432.33603199213,0.0
LSQ14fms,0.0773231,-43.75970771869277,184884.9219199382,0.0
LSQ14foj,0.0451705,-12.683502863343092,197889.34559426605,0.0
LSQ14fom,0.0553279,514.6367958550849,60395.624279449075,34.55945301386108
LSQ14gfb,0.0527873,-287.70623366089836,155756.72130589714,557.5390365832233
LSQ14gfn,0.1210925,22.113162418191948,185766.0377824389,0.0
LSQ14ghv,0.0662566,-192.36549810089966,185117.76891890692,0.0
LSQ14gov,0.0892443,-28.881949224413756,188795.0894510167,0.0
LSQ14ie,0.0905466,-91.80926264190714,185668.3992920629,0.0
LSQ14ip,0.0624196,15.981458657482284,101083.3966302664,527.2228062961958
LSQ14jp,0.0464896,-389.6451252081633,1089181.3227869188,157082.11557568423
LSQ14mc,0.0575661,-232.3725060008267,46440.82661274145,62.6999680538322
LSQ14q,0.067871,351.22888047559087,50345.50557135378,131.1711067110249
LSQ14wp,0.0706148,-31.706465079015533,196021.95374196483,0.0
LSQ14xi,0.0519014,-640.9026885687622,59425.72002210198,507.5588408904234
LSQ15aae,0.0517701,-336.09058201027676,64012.493591753344,20.74864077294248
LSQ15agh,0.0610193,-116.84000859940272,194608.49691288176,0.0
LSQ15aja,0.0699657,-106.94121894253237,187100.13971397752,0.0
LSQ15alq,0.0480953,411.78012509478236,681763.5905160954,1257.967050098317
LSQ15bv,0.0701168,-101.93492803340652,191677.78479265532,0.0
PS1-13eao,0.037362,-83.97272905968572,58987.29698275159,28.899143484993083
PS1-14ra,0.0287982,165.31142487429483,347737.9708747145,1757.3779346520298
PS1-14rx,0.0680019,-104.68424950175134,188680.32234226997,0.0
PS1-14xw,0.0245957,353.98410557146315,121493.72582111428,560.5125930042129
PS15sv,0.0335844,-374.78014904409054,166016.59912378274,2406.293976447888
PTF11pbp,0.0276702,-138.6761871943772,47333.49757709691,139.2009141664755
PTF11ppn,0.0661869,-20.6700251190818,187886.3781816889,0.0
PTF11pra,0.0167242,-57.71393793898092,152176.49737725913,390.120789390532
PTF11qnr,0.0149985,-340.3638622465605,72726.48072005658,265.48884269785617
PTF13anh,0.0624543,-146.8314078855107,190407.20242535367,0.0
PTF13duj,0.015867,-469.4367086377436,101390.57327862452,393.3522841235735
