sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,sample,subtype,quality,cosmo,phys,BV,eBV,covBV_M,ml,m,mu,dist,edist,host,caltype
LSQ14ahm,0.0497655,0.0509869,1.156,0.009,17.264,0.008,-10.5,0.0274,0.0027,4.00E-05,CSPII,Ia,0.986,1,0,-0.051,0.01063014581,-6.40E-05,8.03,8.2,8.37,-1,-1,GALEXASC J114122.65-122354.9,
LSQ14ajn,0.02101,0.0221584,0.654,0.004,16.225,0.006,-0.3,0.0193,0.0019,5.37E-06,CSPII,Ia,0.979,0,1,0.075,0.009219544457,-3.60E-05,9.95,10.11,10.3,-1,-1,CGCG 068-091,
LSQ14asu,0.0683967,0.069594,0.767,0.013,18.883,0.007,-3.6,0.0372,0.0037,3.61E-06,CSPII,Ia,0.927,1,0,0.004,0.01140175425,-4.90E-05,10.51,10.67,10.86,-1,-1,2MASX J11113635-2127597,
LSQ14auy,0.0824129,0.0832263,1.147,0.017,18.671,0.009,-4.1,0.0669,0.0067,9.27E-05,CSPII,Ia,0.987,1,0,-0.012,0.01272792206,-8.10E-05,10.61,10.74,11.19,-1,-1,2MASX J14281171-0403150,
LSQ14azy,0.0457633,0.0469322,1.134,0.026,17.612,0.039,3.6,0.0164,0.0016,3.71E-05,CSPII,Ia,0.981,0,0,0.073,0.06661080993,-0.001521,9.75,9.94,10.1,-1,-1,2MASX J11123493+1204206,
LSQ14ba,0.0775463,0.0787677,0.958,0.006,18.758,0.009,-6.9,0.0493,0.0049,2.68E-05,CSPII,Ia,0.986,1,0,0.035,0.01345362405,-8.10E-05,9.3,9.47,9.87,-1,-1,GALEXASC J110123.17-153706.2,
LSQ14bbv,0.0587593,0.058439,1.039,0.011,17.739,0.005,-2.5,0.0464,0.0046,-1.06E-05,CSPII,Ia,0.986,0,0,0.008,0.007071067812,-2.50E-05,10.9,11.02,11.14,-1,-1,2MASS J19593264-5659334,
LSQ14bjj,0.0811438,0.0819882,1.01,0.009,18.55,0.005,-4.3,0.0408,0.0041,1.34E-05,CSPII,Ia,0.986,1,0,-0.075,0.008602325267,-2.50E-05,8.3,8.46,8.91,-1,-1,APMUKS(BJ) B141811.91-050120.8,
LSQ14fms,0.077946,0.0773231,0.848,0.015,18.842,0.011,-3.3,0.0143,0.0014,8.47E-05,CSPII,Ia,0.986,1,0,0.171,0.0162788206,-0.000121,10,10.11,10.49,-1,-1,2MASX J00145929-5112380,
LSQ14foj,0.0460667,0.0451705,1.012,0.01,17.292,0.007,-10.9,0.0121,0.0012,1.44E-05,CSPII,Ia,0.986,1,0,0.05,0.01063014581,-4.90E-05,8.33,8.44,8.7,-1,-1,GALEXASC J002634.59-324825.5,
LSQ14fom,0.05626,0.0553279,0.947,0.009,17.771,0.008,-8.2,0.0184,0.0018,2.91E-05,CSPII,Ia,0.978,1,0,0.023,0.0113137085,-6.40E-05,9.4,9.54,9.72,-1,-1,2MASX J21594968-3016187,
LSQ14gfb,0.0527067,0.0527873,0.586,0.033,19.025,0.031,-1,0.0159,0.0016,0.0002944,CSPII,Ia,0.985,1,0,0.53,0.0622655603,-0.000961,10.11,10.3,10.64,-1,-1,2MASX J05100559-3618388,
LSQ14gfn,0.1216158,0.1210925,1.073,0.091,19.315,0.02,-3,0.0332,0.0033,-0.0008561,CSPII,Ia,0.967,1,0,0.051,0.03201562119,-0.0004,10.42,10.54,10.88,-1,-1,2MASX J03283205-0412113,
LSQ14ghv,0.0666539,0.0662566,0.968,0.009,18.398,0.007,-3.5,0.0088,0.0009,1.66E-05,CSPII,Ia,0.981,1,0,-0.016,0.01140175425,-4.90E-05,10.06,10.18,10.31,-1,-1,2MASX J03234449-3135101,
LSQ14gov,0.089538,0.0892443,1.052,0.011,18.557,0.005,-9.5,0.0357,0.0036,-2.15E-05,CSPII,Ia,0.985,1,0,-0.104,0.007810249676,-2.50E-05,8.85,9.02,9.19,-1,-1,GALEXMSC J040601.67-160139.7,
LSQ14ie,0.089538,0.0905466,1.162,0.011,18.758,0.009,-8.1,0.0717,0.0072,4.38E-05,CSPII,Ia,0.983,1,0,-0.01,0.01204159458,-8.10E-05,7.95,8.08,8.21,-1,-1,Anonymous,
LSQ14ip,0.0612967,0.0624196,0.509,0.01,19.14,0.014,-7.3,0.0373,0.0037,6.46E-05,CSPII,Ia,0.987,1,0,0.338,0.0228035085,-0.000196,10.01,10.18,10.31,-1,-1,2MASX J09442084+0435319,
LSQ14jp,0.04539,0.0464896,0.675,0.007,18.011,0.006,-8.4,0.053,0.0053,7.23E-06,CSPII,Ia,0.986,1,0,0.123,0.01,-3.60E-05,10.48,10.54,10.81,-1,-1,2MASX J12572166-1547411,
LSQ14mc,0.05662,0.0575661,0.963,0.004,17.845,0.004,-6.6,0.0207,0.0021,8.60E-06,CSPII,Ia,0.986,1,0,-0.027,0.006403124237,-1.60E-05,9.16,9.17,9.43,-1,-1,SDSS J090213.35+170335.4,
LSQ14q,0.0669503,0.067871,0.957,0.004,18.223,0.006,-12.7,0.0198,0.002,1.14E-05,CSPII,Ia,0.987,1,0,-0.046,0.008485281374,-3.60E-05,8.92,9.32,9.42,-1,-1,SDSS J085357.19+171942.6,
LSQ14wp,0.0694519,0.0706148,1.134,0.012,17.917,0.008,-7.8,0.0207,0.0021,5.28E-05,CSPII,Ia-91T,0.984,1,0,-0.037,0.01063014581,-6.40E-05,7.23,7.48,7.59,-1,-1,SDSS J101405.83+064032.5,
LSQ14xi,0.0507429,0.0519014,1.142,0.011,18.039,0.008,-8.6,0.0368,0.0037,4.07E-05,CSPII,Ia,0.986,1,0,0.218,0.01063014581,-6.40E-05,10.77,10.9,11.07,-1,-1,2MASX J12304088-1346236,
LSQ15aae,0.0515643,0.0517701,1.218,0.007,17.766,0.006,-5.5,0.0616,0.0062,1.79E-05,CSPII,Ia-91T,0.982,1,0,0.077,0.008485281374,-3.60E-05,10.1,10.27,10.46,-1,-1,2MASX J16301506+0555514,
LSQ15agh,0.0599585,0.0610193,1.134,0.008,17.766,0.006,-5.6,0.0216,0.0022,3.25E-05,CSPII,Ia,0.987,1,0,-0.032,0.007810249676,-3.60E-05,9.72,9.87,9.99,-1,-1,2MASX J10525434+2335518,
LSQ15aja,0.0699516,0.0699657,1.032,0.011,18.123,0.005,-9,0.0545,0.0054,-1.56E-06,CSPII,Ia,0.984,1,0,-0.087,0.009433981132,-2.50E-05,7.34,7.46,7.58,-1,-1,SDSS J170308.90+122741.5,
LSQ15alq,0.0470667,0.0480953,0.921,0.005,17.321,0.004,-12.1,0.0668,0.0067,5.60E-06,CSPII,Ia,0.97,1,0,-0.002,0.006403124237,-1.60E-05,10.22,10.4,10.82,-1,-1,ESO 508- G 016,
LSQ15bv,0.0689,0.0701168,0.952,0.009,18.187,0.012,-0.7,0.0443,0.0044,3.04E-05,CSPII,Ia,0.985,1,0,-0.001,0.0144222051,-0.000144,10.39,10.56,10.77,-1,-1,2MASX J10594717-1649070,
PS1-13eao,0.0377533,0.037362,0.89,0.045,20.295,0.021,-1.9,0.0107,0.0011,0.0002683,CSPII,Ia,0,1,0,1.549,0.09631718434,-0.000441,10.56,10.73,11.04,-1,-1,ESO 418- G 007,
PS1-14ra,0.0280833,0.0287982,0.777,0.006,16.567,0.004,-0.1,0.023,0.0023,-3.74E-06,CSPII,Ia,0.984,1,1,0.06,0.006403124237,-1.60E-05,10.35,10.65,10.72,-1,-1,IC 1044,
PS1-14rx,0.0669536,0.0680019,0.846,0.018,18.567,0.018,-8.2,0.0266,0.0027,0.0001039,CSPII,Ia,0.981,1,0,-0.022,0.02690724809,-0.000324,9.77,9.89,10.06,-1,-1,SDSS J124653.32+144748.4,
PS1-14xw,0.0245,0.0245957,1.039,0.01,15.775,0.004,-3.2,0.0656,0.0066,-1.02E-05,CSPII,Ia,0.975,0,0,0.026,0.006403124237,-1.60E-05,11.11,11.24,11.71,-1,-1,NGC 6240,
PS15sv,0.033277,0.0335844,0.993,0.005,16.415,0.006,-3.9,0.0782,0.0078,1.05E-05,CSPII,Ia-91T,0.977,1,1,0.011,0.009219544457,-3.60E-05,8.2,8.31,8.56,-1,-1,GALEXASC J161311.68+013532.2,
PTF11pbp,0.0289033,0.0276702,1.15,0.007,16.299,0.005,-6.4,0.0507,0.0051,2.12E-05,CSPII,Ia,0.984,1,1,0.055,0.007071067812,-2.50E-05,10.73,10.88,10.97,-1,-1,NGC 7674,
PTF11ppn,0.0672534,0.0661869,0.641,0.037,18.494,0.098,7.4,0.132,0.0132,0.0007386,CSPII,Ia-91bg,0.154,1,0,0.189,0.1791758912,-0.009604,10.96,11.02,11.06,-1,-1,2MASX J21352164+2656051,
PTF11pra,0.0175433,0.0167242,0.439,0.017,17.165,0.036,1,0.0243,0.0024,-1.39E-06,CSPII,Ia,0.981,0,0,0.92,0.06,-0.001296,10.57,10.68,10.75,-1,-1,NGC 881,
PTF11qnr,0.0162167,0.0149985,0.806,0.008,15.507,0.006,-9.3,0.0556,0.0056,1.94E-05,CSPII,Ia,0.979,0,1,0.255,0.009219544457,-3.60E-05,10.38,10.65,10.7,-1,-1,NGC 7364,
PTF13anh,0.0614575,0.0624543,0.944,0.007,18.101,0.014,-10.7,0.0224,0.0022,2.56E-05,CSPII,Ia,0.979,1,0,-0.17,0.01843908891,-0.000196,7.29,7.48,7.66,-1,-1,SDSS J130650.44+153432.7,
PTF13duj,0.01694,0.015867,1.156,0.014,14.997,0.008,-7,0.0665,0.0067,5.00E-05,CSPII,Ia,0.965,0,1,0.057,0.01204159458,-6.40E-05,10.61,10.73,10.82,-1,-1,NGC 7042,
PTF13dwl,0.0874395,0.0863561,1.088,0.04,18.498,0.007,-5.3,0.0613,0.0061,3.24E-05,CSPII,Ia,0.987,1,0,-0.034,0.01140175425,-4.90E-05,8.42,8.74,8.98,-1,-1,GALEXASC J211648.97+120052.8,
PTF13dym,0.04213,0.0409061,0.509,0.024,17.465,0.034,-5.8,0.0379,0.0038,0.0004004,CSPII,Ia-91bg,0,1,0,0.096,0.04951767361,-0.001156,9.25,9.45,9.88,-1,-1,SDSS J232430.20+143903.6,
PTF13dyt,0.1099239,0.109862,0.96,0.057,19.565,0.067,-7,0.0458,0.0046,0.00224,CSPII,Ia-pec,,0,0,-0.27,0.08360023923,-0.004489,11.5,11.5,11.5,-1,-1,,
PTF13ebh,0.01326,0.012484,0.636,0.004,14.92,0.006,-13,0.0668,0.0067,7.47E-06,CSPII,Ia,0.975,0,1,0.123,0.009219544457,-3.60E-05,10.8,10.86,11.02,-1,-1,NGC 0890,
PTF13efe,0.0749481,0.0758465,1.145,0.011,18.229,0.01,-9,0.0213,0.0021,6.54E-05,CSPII,Ia,0.987,1,0,-0.017,0.01345362405,-0.0001,11.5,11.5,11.5,-1,-1,SDSS J084339.26+161037.5,
PTF13ez,0.0434699,0.0445375,0.897,0.011,17.214,0.016,-1.9,0.0429,0.0043,-1.16E-05,CSPII,Ia,0.982,1,0,0.159,0.02968164416,-0.000256,9.52,9.71,9.84,-1,-1,SDSS J120951.25+194716.5,
PTF14aaf,0.0588167,0.0595653,1.161,0.009,17.991,0.007,-11.8,0.0288,0.0029,2.74E-05,CSPII,Ia,0.986,0,0,0.05,0.009899494937,-4.90E-05,11.5,11.5,11.5,-1,-1,,
PTF14aje,0.0276708,0.0282271,0.684,0.005,17.923,0.006,-3.2,0.1524,0.0152,1.15E-05,CSPII,Ia,0.978,1,0,0.608,0.01081665383,-3.60E-05,10.64,10.78,10.84,-1,-1,SDSS J152512.43-014840.1,
PTF14fpg,0.034,0.03283,1.078,0.013,16.75,0.006,-8.9,0.0258,0.0026,-1.29E-05,CSPII,Ia,0.784,1,1,0.01,0.008485281374,-3.60E-05,11.5,11.5,11.5,-1,-1,SDSS J002812.09+070940.0,
PTF14gnl,0.05369,0.0525349,1.021,0.006,17.484,0.005,-13.4,0.0268,0.0027,1.25E-05,CSPII,Ia,0.984,1,0,-0.055,0.008602325267,-2.50E-05,9.86,10.06,10.5,-1,-1,LCSB S0066P,
PTF14uo,0.0912368,0.0922406,1.118,0.017,18.826,0.006,-5.7,0.0161,0.0016,5.53E-05,CSPII,Ia,0.987,1,0,-0.114,0.008485281374,-3.60E-05,8.86,9,9.48,-1,-1,GALEXASC J131857.37+094244.0,
PTF14w,0.0188933,0.0200839,0.742,0.004,16.03,0.003,-6.3,0.0205,0.0021,1.40E-06,CSPII,Ia,0.975,0,1,0.056,0.005,-9.00E-06,8.96,9.14,9.3,-1,-1,UGC 07034,
PTF14yw,0.01697,0.0180604,0.856,0.008,15.767,0.007,-4.2,0.0255,0.0026,2.17E-05,CSPII,Ia,0.411,0,1,-0.038,0.01063014581,-4.90E-05,10.16,10.24,10.59,-1,-1,NGC 3861,
PTF14yy,0.0429703,0.0440905,0.837,0.01,18.226,0.01,-6.9,0.0198,0.002,4.96E-05,CSPII,Ia,0.986,1,0,0.256,0.01486606875,-0.0001,9.25,9.41,9.52,-1,-1,SDSS J122608.78+095847.1,
SN1981B,0.006027,0.0071693,0.941,0.019,11.911,0.006,-1.5,0.0157,0.0016,1.14E-05,,,,,,0.068,0.007810249676,-3.60E-05,10.42,10.47,10.68,30.835,0.05,N4536,c
SN1990N,0.003,0.0040676,1.1,0.006,12.648,0.006,-10.9,0.0223,0.0022,8.46E-06,,,,,,0.066,0.008485281374,-3.60E-05,10.07,10.14,10.24,31.812,0.084,N4639,c
SN1994ae,0.004,0.0051205,1.043,0.006,13.082,0.005,-12,0.0262,0.0026,-2.44E-06,,,,,,0.06,0.007071067812,-2.50E-05,9.55,9.69,9.83,32.12,0.051,N3370,c
SN1995al,0.005,0.0058765,1.043,0.017,13.205,0.009,-4.1,0.0117,0.0012,-4.92E-05,,,,,,0.138,0.01345362405,-8.10E-05,9.76,9.87,9.97,32.464,0.158,N3021,c
SN1998aq,0.003697,0.0042623,0.968,0.004,12.461,0.005,-10.3,0.0122,0.0012,9.68E-06,,,,,,-0.104,0.007810249676,-2.50E-05,9.86,10.02,10.1,31.722,0.071,N3982,c
SN2001el,0.003896,0.0036761,0.959,0.005,12.678,0.006,-10.9,0.0121,0.0012,1.02E-05,,,,,,0.144,0.01,-3.60E-05,10.34,10.34,10.34,31.287,0.037,N1448,c
SN2002fk,0.00712,0.0066137,0.977,0.004,13.293,0.006,-12.3,0.0344,0.0034,8.91E-06,,,,,,-0.091,0.008485281374,-3.60E-05,9.78,9.94,10.64,32.541,0.059,N1309,c
SN2003du,0.0063844,0.0066521,1.002,0.004,13.551,0.004,-10.6,0.0081,0.0008,8.31E-06,,,,,,-0.073,0.006403124237,-1.60E-05,8.47,8.6,8.74,32.848,0.067,U9391,c
SN2004ef,0.0309667,0.02977,0.84,0.003,16.754,0.004,-9,0.0458,0.0046,5.40E-06,CSPI,Ia,0.981,0,0,0.117,0.005656854249,-1.60E-05,10.63,10.74,10.8,-1,-1,UGC 12158,
SN2004eo,0.01569,0.0147367,0.869,0.005,15.101,0.006,-12.3,0.093,0.0093,7.60E-06,CSPI,Ia,0.979,0,0,0.025,0.009219544457,-3.60E-05,11.03,11.16,11.35,-1,-1,NGC 6928,
SN2004ey,0.0157767,0.0146267,1.009,0.003,14.828,0.003,-8.9,0.1197,0.012,1.95E-06,CSPI,Ia,0.973,0,0,-0.051,0.004242640687,-9.00E-06,9.76,10.06,10.41,-1,-1,UGC 11816,
SN2004gs,0.0266267,0.0282767,0.705,0.003,16.98,0.004,-3.9,0.0257,0.0026,3.77E-06,CSPI,Ia,0.982,0,0,0.202,0.006403124237,-1.60E-05,10.57,10.63,10.7,-1,-1,MCG +03-22-020,
SN2004gu,0.0458267,0.0468967,1.149,0.011,17.283,0.01,-4.8,0.0223,0.0022,6.01E-05,CSPI,Ia-06gz,0.986,0,0,0.145,0.01562049935,-0.0001,9.74,10.02,10.19,-1,-1,FGC 175A,
SN2005A,0.0191267,0.01834,0.963,0.007,17.132,0.01,-3.6,0.0259,0.0026,1.86E-05,CSPI,Ia,0.976,0,0,0.984,0.01562049935,-0.0001,11.07,11.19,11.26,-1,-1,NGC 958,
SN2005M,0.0219967,0.02558,1.204,0.003,15.906,0.003,-9.1,0.0273,0.0027,2.99E-06,CSPI,Ia-91T,0.984,0,0,0.018,0.004242640687,-9.00E-06,8.38,8.8,8.92,-1,-1,NGC 2930,
SN2005W,0.0088833,0.00795,0.938,0.006,14.037,0.005,-7.8,0.0615,0.0062,9.44E-06,CSPI,Ia,0.967,0,0,0.171,0.007810249676,-2.50E-05,9.75,9.9,10,32.83,0.109,N0691,c
SN2005ag,0.07937,0.08008,1.145,0.009,18.457,0.005,-0.9,0.0331,0.0033,1.36E-05,CSPI,Ia,0.982,0,0,-0.03,0.007810249676,-2.50E-05,10.84,10.9,10.95,-1,-1,,
SN2005al,0.0123933,0.0132867,0.865,0.004,14.938,0.004,-1.1,0.0483,0.0048,4.30E-06,CSPI,Ia,0.909,0,0,-0.051,0.007211102551,-1.60E-05,10.4,10.49,10.63,-1,-1,NGC 5304,
SN2005am,0.0078933,0.0089667,0.764,0.004,13.626,0.005,-0.4,0.0433,0.0043,-3.94E-06,CSPI,Ia,0.934,0,0,0.074,0.007810249676,-2.50E-05,10.68,10.83,11.26,-1,-1,NGC 2811,
SN2005be,0.035,0.0355767,0.761,0.023,16.932,0.043,6.3,0.0294,0.0029,-6.90E-05,CSPI,Ia,0.985,0,0,0.053,0.07220110802,-0.001849,10.25,10.4,10.5,-1,-1,,
SN2005bg,0.02307,0.0241567,1.061,0.037,15.809,0.041,2.6,0.0264,0.0026,-0.0001891,CSPI,Ia,0.983,0,0,0.042,0.0654369926,-0.001681,9.72,9.91,10.02,-1,-1,MCG +03-31-93,
SN2005bl,0.0240433,0.0251133,0.427,0.011,17.788,0.02,-6.5,0.025,0.0025,1.25E-05,CSPI,Ia-91bg,0.98,0,0,0.689,0.03360059523,-0.0004,10.89,11.01,11.2,-1,-1,NGC 4059,
SN2005bo,0.0138867,0.0150133,0.881,0.008,15.431,0.004,-0.3,0.0396,0.004,-1.40E-07,CSPI,Ia,0.962,0,0,0.242,0.006403124237,-1.60E-05,10.34,10.5,10.65,-1,-1,NGC 4708,
SN2005cf,0.0064611,0.007045,0.972,0.005,13.241,0.007,-12.5,0.0968,0.0097,1.72E-05,,,,,,0.005,0.01063014581,-4.90E-05,9.6,9.65,9.6,32.363,0.12,N5917,c
SN2005el,0.0149,0.0148833,0.865,0.003,14.968,0.007,-7.2,0.0976,0.0098,6.24E-06,CSPI,Ia,0.973,0,0,-0.073,0.01063014581,-4.90E-05,10.7,10.84,11.24,-1,-1,NGC 1819,
SN2005eq,0.0289567,0.02835,1.234,0.007,16.257,0.005,-3.5,0.0629,0.0063,4.65E-06,CSPI,Ia-91T,0.984,0,0,0.035,0.008602325267,-2.50E-05,10.44,10.56,10.65,-1,-1,MCG -01-09-006,
SN2005hc,0.0459067,0.0444967,1.142,0.007,17.297,0.005,-4.7,0.028,0.0028,1.81E-05,CSPI,Ia,0.98,0,0,0.012,0.006403124237,-2.50E-05,10.52,10.6,10.65,-1,-1,MCG +00-06-003,
SN2005hj,0.0579667,0.05695,1.152,0.019,17.681,0.011,-2.9,0.0329,0.0033,8.62E-05,CSPI,Ia,0.984,0,0,0.08,0.01555634919,-0.000121,9.22,9.32,9.38,-1,-1,APMUKS(BJ) B012415.21-012950.3,
SN2005iq,0.03402,0.03293,0.88,0.006,16.827,0.007,-5.5,0.0185,0.0019,9.04E-06,CSPI,Ia,0.965,0,0,-0.032,0.01063014581,-4.90E-05,10.47,10.54,10.6,-1,-1,MCG -03-01-008,
SN2005ir,0.0763067,0.0752333,1.03,0.02,18.355,0.01,-2.7,0.0265,0.0027,-3.32E-05,CSPI,Ia,0.984,0,0,0.05,0.01486606875,-0.0001,9.12,9.23,9.37,-1,-1,,
SN2005kc,0.01511,0.01389,0.932,0.006,15.351,0.007,-10.6,0.1137,0.0114,9.98E-06,CSPI,Ia,0.978,0,0,0.238,0.01063014581,-4.90E-05,10.6,11.06,11.5,-1,-1,NGC 7311,
SN2005ke,0.0048767,0.0044833,0.438,0.003,14.125,0.008,-9.8,0.02,0.002,1.90E-06,CSPI,Ia-91bg,0.953,0,0,0.67,0.01204159458,-6.40E-05,10.29,10.43,10.61,-1,-1,NGC 1371,
SN2005ki,0.0191933,0.02037,0.839,0.003,15.605,0.005,-10,0.0267,0.0027,5.09E-06,CSPI,Ia,0.982,0,0,-0.018,0.007071067812,-2.50E-05,10.62,10.8,10.86,-1,-1,NGC 3332,
SN2005ku,0.0454067,0.0441833,0.969,0.034,17.451,0.047,0.4,0.0461,0.0046,-4.70E-05,CSPI,Ia,0.986,0,0,0.093,0.07780102827,-0.002209,9.96,10.04,10.1,-1,-1,2MASX J22594265-0000478,
SN2005lu,0.0319867,0.0312933,1.063,0.03,17.011,0.044,9.2,0.0218,0.0022,-0.0001206,CSPI,Ia,0.975,0,0,0.247,0.07200694411,-0.001936,9.68,9.86,10.03,-1,-1,ESO 545-G038,
SN2005mc,0.0252033,0.0260067,0.664,0.02,16.915,0.039,2.4,0.0379,0.0038,-1.47E-05,CSPI,Ia,0.982,0,0,0.314,0.06742403132,-0.001521,10.85,10.95,11.1,-1,-1,UGC 4414,
SN2005na,0.0263033,0.0268133,0.971,0.018,16.028,0.005,-1.9,0.0681,0.0068,4.39E-06,CSPI,Ia,0.976,0,0,-0.02,0.007810249676,-2.50E-05,10.9,10.97,11.05,-1,-1,UGC3634,
SN2006D,0.00852,0.00964,0.839,0.003,14.096,0.004,-6.1,0.0394,0.0039,3.89E-06,CSPI,Ia,0.972,0,0,0.098,0.006403124237,-1.60E-05,9.54,9.76,9.85,32.92,0.123,M1337,c
SN2006X,0.0052367,0.00632,0.971,0.004,14.03,0.008,-10.9,0.0228,0.0023,1.06E-05,CSPI,Ia,0.557,0,0,1.214,0.0113137085,-6.40E-05,9.06,9.33,9.43,-1,-1,NGC 4321,
SN2006ax,0.0167267,0.0179567,1.003,0.004,15.106,0.005,-11.8,0.041,0.0041,6.24E-06,CSPI,Ia,0.981,0,0,-0.072,0.007810249676,-2.50E-05,10.79,10.92,11.04,-1,-1,NGC 3663,
SN2006bd,0.0257067,0.0267967,0.398,0.009,18.025,0.021,-1.4,0.0231,0.0023,4.45E-05,CSPI,Ia-91bg,0.981,0,0,0.712,0.03911521443,-0.000441,10.6,10.77,10.8,-1,-1,UGC 6609,
SN2006bh,0.01084,0.0104933,0.828,0.003,14.379,0.004,-4.9,0.0228,0.0023,4.50E-06,CSPI,Ia,0.969,0,0,-0.01,0.005656854249,-1.60E-05,10.31,10.43,10.49,33.246,0.117,N7329,c
SN2006br,0.0245733,0.0255233,0.962,0.032,18.091,0.055,7.5,0.0197,0.002,-0.0001133,CSPI,Ia,0.982,0,0,0.849,0.09626006441,-0.003025,10.87,10.97,11.36,-1,-1,NGC5185,
SN2006ef,0.01787,0.0170267,0.857,0.02,15.462,0.045,10,0.0201,0.002,-5.77E-06,CSPI,Ia,0.943,0,0,-0.024,0.0807093551,-0.002025,10.18,10.35,10.49,-1,-1,NGC809,
SN2006ej,0.0204367,0.0193367,0.842,0.018,15.72,0.035,3.2,0.0296,0.003,1.71E-06,CSPI,Ia,0.971,0,0,0.029,0.06021627687,-0.001225,10.48,10.63,10.7,-1,-1,NGC 191A,
SN2006eq,0.0494667,0.0483667,0.649,0.023,18.27,0.045,2.1,0.0416,0.0042,7.95E-06,CSPI,Ia,0.973,0,0,0.31,0.0774209274,-0.002025,9.79,10.19,10.65,-1,-1,,
SN2006et,0.0221567,0.0216467,1.18,0.006,15.832,0.005,-7.4,0.0165,0.0017,7.68E-06,CSPI,Ia,0.983,0,0,0.141,0.007810249676,-2.50E-05,10.7,10.8,10.88,-1,-1,NGC 232,
SN2006ev,0.0287133,0.0276,0.843,0.021,16.979,0.041,3.7,0.0759,0.0076,7.87E-06,CSPI,Ia,0.924,0,0,0.175,0.07021395873,-0.001681,10.65,10.75,10.91,-1,-1,UGC 11758,
SN2006fw,0.0829433,0.0819867,0.922,0.045,18.988,0.042,-2.1,0.028,0.0028,0.0002162,CSPI,Ia,0.001,0,0,0.104,0.06155485359,-0.001764,9.32,9.42,9.62,-1,-1,anonymous,
SN2006gj,0.0283333,0.0269667,0.708,0.007,17.371,0.008,-1.7,0.0705,0.007,4.18E-06,CSPI,Ia,0.983,0,0,0.298,0.01204159458,-6.40E-05,10.36,10.53,10.6,-1,-1,UGC 2650,
SN2006gt,0.04474,0.0436433,0.575,0.01,17.972,0.011,-2.3,0.0323,0.0032,3.17E-05,CSPI,Ia-91bg,0.982,0,0,0.249,0.0162788206,-0.000121,9.87,9.93,9.94,-1,-1,2MASX J00561810-013732,
SN2006hb,0.0153333,0.0153367,0.685,0.018,15.398,0.038,4.4,0.0236,0.0024,-6.27E-06,CSPI,Ia-86G,0.98,0,0,0.185,0.06603029608,-0.001444,10.05,10.22,10.39,-1,-1,MCG -04-12-34,
SN2006hx,0.0454633,0.0444033,0.977,0.012,17.418,0.024,-9.2,0.0256,0.0026,0.000138,CSPI,Ia,0.981,0,0,0.116,0.03538361203,-0.000576,10.12,10.31,10.44,-1,-1,2MASX J01135716+0022171,
SN2006is,0.0313333,0.03142,1.092,0.037,16.134,0.04,0.5,0.029,0.0029,1.85E-05,CSPI,Ia,0.983,0,0,0.039,0.06720119047,-0.0016,6.68,7.1,7.41,-1,-1,APMUKS(BJ) B051529.79-235009.8,
SN2006kf,0.0212867,0.0208,0.771,0.005,15.948,0.006,-4.7,0.2097,0.021,2.88E-06,CSPI,Ia,0.981,0,0,0.026,0.009219544457,-3.60E-05,10.59,10.82,10.9,-1,-1,UGC 2829,
SN2006lu,0.0533667,0.0543967,1.002,0.019,17.566,0.039,5,0.0986,0.0099,-9.42E-06,CSPI,Ia,0.984,0,0,-0.018,0.06580273551,-0.001521,10.22,10.29,10.37,-1,-1,anonymous,
SN2006mr,0.0058667,0.00551,0.335,0.004,14.588,0.019,-4.4,0.0179,0.0018,2.43E-05,CSPI,Ia-91bg,0.947,0,0,0.731,0.02758622845,-0.000361,10.79,11.19,11.38,-1,-1,NGC1316,
SN2006ob,0.0591967,0.0582567,0.743,0.009,18.17,0.01,-3.1,0.0285,0.0029,4.45E-06,CSPI,Ia,0.986,0,0,0.111,0.01486606875,-0.0001,11.08,11.26,11.33,-1,-1,UGC 1333,
SN2006os,0.0327867,0.03208,0.944,0.02,17.294,0.039,1,0.1254,0.0125,-1.04E-05,CSPI,Ia,0.982,0,0,0.317,0.065,-0.001521,10.66,10.81,10.87,-1,-1,UGC 2384,
SN2006py,0.05786,0.0566433,0.975,0.018,17.837,0.013,-1.6,0.0518,0.0052,2.13E-05,CSPI,Ia,0.968,0,0,0.077,0.02061552813,-0.000169,8.94,9.1,9.24,-1,-1,SDSS J224142.04-000812.9,
SN2007A,0.0176333,0.0164633,1.047,0.02,15.517,0.006,-4.6,0.0631,0.0063,-4.08E-05,CSPI,Ia,0.98,0,0,0.201,0.01,-3.60E-05,10.57,10.57,10.57,34.527,0.25,N0105,c
SN2007N,0.01287,0.014,0.375,0.006,17.097,0.014,-0.7,0.0343,0.0034,1.51E-05,CSPI,Ia-91bg,0.976,0,0,0.953,0.02360084744,-0.000196,10.1,10.19,10.57,-1,-1,MCG -01-33-012,
SN2007S,0.01387,0.0150233,1.187,0.007,15.427,0.006,-10.6,0.0224,0.0022,2.27E-06,CSPI,Ia-91T,0.973,0,0,0.366,0.01081665383,-3.60E-05,9.63,9.98,10.16,-1,-1,UGC 5378,
SN2007af,0.00546,0.00629,0.949,0.002,13.119,0.005,-8.9,0.0338,0.0034,3.23E-06,CSPI,Ia,0.927,0,0,0.065,0.007071067812,-2.50E-05,9.69,9.82,9.87,31.772,0.052,N5584,c
