        sn       zhel       zcmb      st     est     Mmax   eMmax      t0    EBVmw   eEBVmw        covMs       BV     eBV    covBV_M      ml       m              mu    host      dist    edist   caltype  
  SN2008fl     0.0199   0.019417   0.856   0.019    15.64   0.052     3.0   0.1569   0.0157   -8.998e-06     0.06   0.064   0.004148   11.08   11.08   11.0759757221     N/A      -1.0     -1.0      none  
  SN2008fp    0.00566   0.006287   1.077   0.007   13.933   0.005    -5.5   0.1686   0.0169    1.326e-06    0.463   0.007      5e-05   10.37   10.37   10.3730264347     N/A      -1.0     -1.0      none  
  SN2008fr   0.038973   0.037906   1.059   0.024   16.834   0.054     7.6   0.0395    0.004   -3.986e-05   -0.001   0.067   0.004516   11.04   11.04   11.0385018967     N/A      -1.0     -1.0      none  
  SN2008fu    0.05237   0.051834   0.822   0.022   17.626   0.073     6.8    0.018   0.0018   -0.0001104   -0.074   0.088   0.007829    11.0    11.0   11.0005082613     N/A      -1.0     -1.0      none  
  SN2008fw   0.008543   0.009507   1.114   0.023   14.002   0.049     9.1   0.1123   0.0112   -4.231e-05    0.064   0.061    0.00377    11.6    11.6   11.6021338615     N/A      -1.0     -1.0      none  
  SN2008gg   0.031993   0.031066   1.114   0.027   16.554   0.051     3.4   0.0195    0.002   -4.859e-05    0.141   0.064   0.004045   10.78   10.78   10.7767884152     N/A      -1.0     -1.0      none  
  SN2008gl   0.033993   0.032946   0.851   0.004   16.809   0.004    -2.9   0.0244   0.0024    4.414e-06    0.035   0.006    3.2e-05   11.06   11.06   11.0611807323     N/A      -1.0     -1.0      none  
  SN2008go   0.062367   0.061313   0.912   0.023   18.033   0.007    -0.5    0.032   0.0032    2.488e-06     0.04    0.01    9.8e-05   11.11   11.11    11.113829727     N/A      -1.0     -1.0      none  
  SN2008gp    0.03339   0.032823   0.973   0.005   16.438   0.007   -10.6   0.1042   0.0104    8.298e-06   -0.005   0.009    8.5e-05   10.94   10.94   10.9354463729     N/A      -1.0     -1.0      none  
  SN2008hj   0.037867   0.036722   1.011   0.006    16.78   0.005    -6.3   0.0303    0.003    9.609e-06      0.0   0.007      5e-05   10.41   10.41   10.4096284578     N/A      -1.0     -1.0      none  
  SN2008hu   0.049666   0.050526   0.786   0.008   17.838   0.015     0.2   0.0921   0.0092   -2.648e-05    0.014   0.019   0.000346   11.38   11.38   11.3794921376     N/A      -1.0     -1.0      none  
  SN2008hv    0.01254    0.01358   0.846   0.003   14.736   0.006   -10.7   0.0279   0.0028    9.466e-06    -0.03   0.008    6.1e-05   10.87   10.87   10.8677541353     N/A      -1.0     -1.0      none  
  SN2008ia   0.021983    0.02254   0.843   0.004   15.875   0.006    -3.7   0.1954   0.0195    8.762e-06   -0.037   0.009    8.5e-05   11.02   11.02   11.0211425971     N/A      -1.0     -1.0      none  
   SN2009D    0.02499   0.024654   1.186   0.006   15.759   0.004    -6.5   0.0441   0.0044   -8.095e-07   -0.019   0.006    3.2e-05   10.59   10.59   10.5915916519     N/A      -1.0     -1.0      none  
   SN2009F   0.012947    0.01291   0.328   0.008   16.921   0.016    -4.8   0.0895   0.0089    2.457e-05     0.55   0.021   0.000425   10.76   10.76   10.7562755113     N/A      -1.0     -1.0      none  
   SN2009I    0.02615   0.025431   1.064   0.019   18.177   0.015    -3.6   0.0272   0.0027   -1.198e-05    0.639   0.019   0.000369   10.77   10.77   10.7673906038     N/A      -1.0     -1.0      none  
   SN2009P   0.025087    0.02632   1.093    0.03   17.018   0.019    -0.9   0.0415   0.0042   -0.0001906    0.387   0.024   0.000586   10.12   10.12   10.1241803503     N/A      -1.0     -1.0      none  
   SN2009Y   0.009347   0.010103   1.189   0.008   14.008   0.007    -6.9   0.0873   0.0087    9.033e-06     0.15   0.011   0.000113   11.03   11.03   11.0263329044     N/A      -1.0     -1.0      none  
  SN2009aa    0.02729   0.028481   0.906   0.004    16.32   0.006    -8.9   0.0295   0.0029     8.65e-06    0.019   0.008    7.2e-05   11.03   11.03   11.0303009273     N/A      -1.0     -1.0      none  
  SN2009ab   0.011163   0.010862   0.874   0.005   14.708   0.006    -9.1   0.1838   0.0184    1.606e-05    0.045   0.008    7.2e-05   10.53   10.53   10.5266772588     N/A      -1.0     -1.0      none  
  SN2009ad    0.02838   0.028317   1.015   0.006   16.191   0.006    -7.7   0.0953   0.0095    9.946e-06     0.03   0.008    7.2e-05   10.69   10.69   10.6929417706     N/A      -1.0     -1.0      none  
  SN2009ag   0.008633   0.009248   0.961   0.007   14.597    0.01    -1.5    0.218   0.0218    4.109e-06    0.162   0.013   0.000181   10.53   10.53   10.5278664827     N/A      -1.0     -1.0      none  
  SN2009al    0.02209   0.023276   1.174   0.041   16.158   0.064    -3.4   0.0212   0.0021    5.282e-05    0.137   0.079   0.006305   10.82   10.82   10.8178134961     N/A      -1.0     -1.0      none  
  SN2009cz   0.021123   0.021979   1.189   0.012   15.712   0.008    -5.9   0.0221   0.0022   -1.703e-06    0.024   0.011   0.000113    11.0    11.0   10.9962051285     N/A      -1.0     -1.0      none  
  SN2009ds   0.019247   0.020466   1.125    0.02   15.496   0.008    -8.7   0.0332   0.0033    4.033e-06    0.102   0.012   0.000145   10.96   10.96   10.9609364096     N/A      -1.0     -1.0      none  
  SN2009le   0.017773   0.017027   1.156   0.021   15.364   0.005   -10.1   0.0143   0.0014    9.491e-06    0.133   0.008    6.1e-05   10.92   10.92   10.9212964682     N/A      -1.0     -1.0      none  
  SN2012fr      0.005   0.004676   1.122   0.005   11.958   0.004   -12.7   0.0177   0.0018    1.719e-06    0.002   0.006    3.2e-05   11.01   11.01       11.007528     N/A   31.2918   0.0672      none  
 
